Strategy report
Symbol: AAPL
Work Time: 5/28/21, 9:31 AM - 6/4/21, 3:59 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;D(SellClose);Sell to Close;-1.0;$125.65;5/28/21, 9:31 AM;$0.30;$0.35;-1.0;
2;D(|125.56|125.8|125.3|125.3|125.5674);Buy to Open;1.0;$125.35;5/28/21, 9:31 AM;;$0.30;0.0;
3;D(SellClose);Sell to Close;-1.0;$125.80;5/28/21, 9:32 AM;$0.50;$1.08;-1.0;
4;D(|125.32|125.32|124.95|125.0201|125.3);Buy to Open;1.0;$125.30;5/28/21, 9:32 AM;;$0.80;0.0;
5;D(SellClose);Sell to Close;-1.0;$125.32;5/28/21, 9:33 AM;$0.37;$1.12;-1.0;
6;D(|125.03|125.1669|124.95|124.9999|125.0201);Buy to Open;1.0;$124.95;5/28/21, 9:33 AM;;$1.17;0.0;
7;D(SellClose);Sell to Close;-1.0;$125.17;5/28/21, 9:34 AM;$0.22;$1.57;-1.0;
8;D(|125|125.045|124.74|124.77|124.9999);Buy to Open;1.0;$124.95;5/28/21, 9:34 AM;;$1.39;0.0;
9;D(SellClose);Sell to Close;-1.0;$125.05;5/28/21, 9:35 AM;$0.31;$1.60;-1.0;
10;D(|124.77|124.88|124.58|124.8287|124.77);Buy to Open;1.0;$124.74;5/28/21, 9:35 AM;;$1.69;0.0;
11;D(SellClose);Sell to Close;-1.0;$124.88;5/28/21, 9:36 AM;$0.30;$1.72;-1.0;
12;D(|124.82|124.89|124.59|124.85|124.8287);Buy to Open;1.0;$124.58;5/28/21, 9:36 AM;;$1.99;0.0;
13;D(SellClose);Sell to Close;-1.0;$124.89;5/28/21, 9:37 AM;$0.30;$2.02;-1.0;
14;D(|124.855|124.94|124.84|124.86|124.85);Buy to Open;1.0;$124.59;5/28/21, 9:37 AM;;$2.29;0.0;
15;D(SellClose);Sell to Close;-1.0;$124.94;5/28/21, 9:38 AM;$0.10;$2.33;-1.0;
16;D(|124.87|124.94|124.82|124.9046|124.86);Buy to Open;1.0;$124.84;5/28/21, 9:38 AM;;$2.39;0.0;
17;D(SellClose);Sell to Close;-1.0;$124.94;5/28/21, 9:39 AM;$0.12;$2.44;-1.0;
18;D(|124.905|124.95|124.8|124.895|124.9046);Buy to Open;1.0;$124.82;5/28/21, 9:39 AM;;$2.51;0.0;
19;D(SellClose);Sell to Close;-1.0;$124.95;5/28/21, 9:40 AM;$0.15;$2.41;-1.0;
