Strategy report
Symbol: .AAPL210625C130
Work Time: 5/10/21, 11:20 AM - 6/22/21, 3:50 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;1;100.0;$3.74;5/10/21, 11:20 AM;;$6.00;100.0;
2;MACDStrategy(SELL);Sell to Close;-1;-100.0;$3.45;5/10/21, 2:30 PM;($29.00);($29.00);0.0;
3;MACDStrategy(SELL);Sell to Open;-1;-100.0;$3.45;5/10/21, 2:30 PM;;($24.00);-100.0;
4;MACDStrategy(BUY);Buy to Close;1;100.0;$2.30;5/11/21, 10:50 AM;$115.00;$86.00;0.0;
5;MACDStrategy(BUY);Buy to Open;1;100.0;$2.30;5/11/21, 10:50 AM;;$107.00;100.0;
6;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.96;5/11/21, 3:10 PM;$66.00;$152.00;0.0;
7;MACDStrategy(SELL);Sell to Open;-1;-100.0;$2.96;5/11/21, 3:10 PM;;$156.00;-100.0;
8;MACDStrategy(BUY);Buy to Close;1;100.0;$2.88;5/11/21, 3:20 PM;$8.00;$160.00;0.0;
9;MACDStrategy(BUY);Buy to Open;1;100.0;$2.88;5/11/21, 3:20 PM;;$175.00;100.0;
10;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.84;5/11/21, 3:40 PM;($4.00);$156.00;0.0;
11;MACDStrategy(SELL);Sell to Open;-1;-100.0;$2.84;5/11/21, 3:40 PM;;$141.00;-100.0;
12;MACDStrategy(BUY);Buy to Close;1;100.0;$2.86;5/11/21, 3:50 PM;($2.00);$154.00;0.0;
13;MACDStrategy(BUY);Buy to Open;1;100.0;$2.86;5/11/21, 3:50 PM;;$168.00;100.0;
14;MACDStrategy(SELL);Sell to Close;-1;-100.0;$3.00;5/12/21, 9:30 AM;$14.00;$168.00;0.0;
15;MACDStrategy(SELL);Sell to Open;-1;-100.0;$3.00;5/12/21, 9:30 AM;;$212.00;-100.0;
16;MACDStrategy(BUY);Buy to Close;1;100.0;$2.34;5/12/21, 11:10 AM;$66.00;$234.00;0.0;
17;MACDStrategy(BUY);Buy to Open;1;100.0;$2.34;5/12/21, 11:10 AM;;$235.00;100.0;
18;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.24;5/12/21, 2:10 PM;($10.00);$224.00;0.0;
19;MACDStrategy(SELL);Sell to Open;-1;-100.0;$2.24;5/12/21, 2:10 PM;;$225.00;-100.0;
20;MACDStrategy(BUY);Buy to Close;1;100.0;$2.68;5/13/21, 9:40 AM;($44.00);$180.00;0.0;
21;MACDStrategy(BUY);Buy to Open;1;100.0;$2.68;5/13/21, 9:40 AM;;$174.00;100.0;
22;MACDStrategy(SELL);Sell to Close;-1;-100.0;$3.00;5/13/21, 11:10 AM;$32.00;$212.00;0.0;
23;MACDStrategy(SELL);Sell to Open;-1;-100.0;$3.00;5/13/21, 11:10 AM;;$223.00;-100.0;
24;MACDStrategy(BUY);Buy to Close;1;100.0;$2.89;5/13/21, 11:20 AM;$11.00;$223.00;0.0;
25;MACDStrategy(BUY);Buy to Open;1;100.0;$2.89;5/13/21, 11:20 AM;;$214.00;100.0;
26;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.77;5/13/21, 11:40 AM;($12.00);$211.00;0.0;
27;MACDStrategy(SELL);Sell to Open;-1;-100.0;$2.77;5/13/21, 11:40 AM;;$220.00;-100.0;
28;MACDStrategy(BUY);Buy to Close;1;100.0;$2.76;5/13/21, 2:10 PM;$1.00;$212.00;0.0;
29;MACDStrategy(BUY);Buy to Open;1;100.0;$2.76;5/13/21, 2:10 PM;;$229.00;100.0;
30;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.92;5/13/21, 3:20 PM;$16.00;$228.00;0.0;
31;MACDStrategy(SELL);Sell to Open;-1;-100.0;$2.92;5/13/21, 3:20 PM;;$235.00;-100.0;
32;MACDStrategy(BUY);Buy to Close;1;100.0;$2.95;5/13/21, 3:50 PM;($3.00);$225.00;0.0;
33;MACDStrategy(BUY);Buy to Open;1;100.0;$2.95;5/13/21, 3:50 PM;;$210.00;100.0;
34;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.89;5/14/21, 9:30 AM;($6.00);$219.00;0.0;
35;MACDStrategy(SELL);Sell to Open;-1;-100.0;$2.89;5/14/21, 9:30 AM;;$183.00;-100.0;
36;MACDStrategy(BUY);Buy to Close;1;100.0;$3.04;5/14/21, 9:40 AM;($15.00);$204.00;0.0;
37;MACDStrategy(BUY);Buy to Open;1;100.0;$3.04;5/14/21, 9:40 AM;;$185.00;100.0;
38;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.75;5/14/21, 10:10 AM;($29.00);$175.00;0.0;
39;MACDStrategy(SELL);Sell to Open;-1;-100.0;$2.75;5/14/21, 10:10 AM;;$163.00;-100.0;
40;MACDStrategy(BUY);Buy to Close;1;100.0;$2.81;5/14/21, 12:10 PM;($6.00);$169.00;0.0;
41;MACDStrategy(BUY);Buy to Open;1;100.0;$2.81;5/14/21, 12:10 PM;;$182.00;100.0;
42;MACDStrategy(SELL);Sell to Close;-1;-100.0;$3.20;5/14/21, 3:20 PM;$39.00;$208.00;0.0;
43;MACDStrategy(SELL);Sell to Open;-1;-100.0;$3.20;5/14/21, 3:20 PM;;$218.00;-100.0;
44;MACDStrategy(BUY);Buy to Close;1;100.0;$2.66;5/17/21, 10:50 AM;$54.00;$262.00;0.0;
45;MACDStrategy(BUY);Buy to Open;1;100.0;$2.66;5/17/21, 10:50 AM;;$248.00;100.0;
46;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.50;5/18/21, 9:30 AM;($16.00);$246.00;0.0;
47;MACDStrategy(SELL);Sell to Open;-1;-100.0;$2.50;5/18/21, 9:30 AM;;$223.00;-100.0;
48;MACDStrategy(BUY);Buy to Close;1;100.0;$2.76;5/18/21, 9:50 AM;($26.00);$220.00;0.0;
49;MACDStrategy(BUY);Buy to Open;1;100.0;$2.76;5/18/21, 9:50 AM;;$208.00;100.0;
50;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.61;5/18/21, 11:30 AM;($15.00);$205.00;0.0;
51;MACDStrategy(SELL);Sell to Open;-1;-100.0;$2.61;5/18/21, 11:30 AM;;$212.00;-100.0;
52;MACDStrategy(BUY);Buy to Close;1;100.0;$2.55;5/18/21, 11:40 AM;$6.00;$211.00;0.0;
53;MACDStrategy(BUY);Buy to Open;1;100.0;$2.55;5/18/21, 11:40 AM;;$206.00;100.0;
54;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.52;5/18/21, 11:50 AM;($3.00);$208.00;0.0;
55;MACDStrategy(SELL);Sell to Open;-1;-100.0;$2.52;5/18/21, 11:50 AM;;$212.00;-100.0;
56;MACDStrategy(BUY);Buy to Close;1;100.0;$1.85;5/19/21, 10:20 AM;$67.00;$275.00;0.0;
57;MACDStrategy(BUY);Buy to Open;1;100.0;$1.85;5/19/21, 10:20 AM;;$283.00;100.0;
58;MACDStrategy(SELL);Sell to Close;-1;-100.0;$1.97;5/19/21, 2:10 PM;$12.00;$287.00;0.0;
59;MACDStrategy(SELL);Sell to Open;-1;-100.0;$1.97;5/19/21, 2:10 PM;;$297.00;-100.0;
60;MACDStrategy(BUY);Buy to Close;1;100.0;$2.10;5/19/21, 2:40 PM;($13.00);$274.00;0.0;
61;MACDStrategy(BUY);Buy to Open;1;100.0;$2.10;5/19/21, 2:40 PM;;$256.00;100.0;
62;MACDStrategy(SELL);Sell to Close;-1;-100.0;$1.93;5/19/21, 3:00 PM;($17.00);$257.00;0.0;
63;MACDStrategy(SELL);Sell to Open;-1;-100.0;$1.93;5/19/21, 3:00 PM;;$264.00;-100.0;
64;MACDStrategy(BUY);Buy to Close;1;100.0;$1.97;5/19/21, 3:30 PM;($4.00);$253.00;0.0;
65;MACDStrategy(BUY);Buy to Open;1;100.0;$1.97;5/19/21, 3:30 PM;;$252.00;100.0;
66;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.05;5/19/21, 3:40 PM;$8.00;$261.00;0.0;
67;MACDStrategy(SELL);Sell to Open;-1;-100.0;$2.05;5/19/21, 3:40 PM;;$269.00;-100.0;
68;MACDStrategy(BUY);Buy to Close;1;100.0;$1.98;5/19/21, 3:50 PM;$7.00;$268.00;0.0;
69;MACDStrategy(BUY);Buy to Open;1;100.0;$1.98;5/19/21, 3:50 PM;;$280.00;100.0;
70;MACDStrategy(SELL);Sell to Close;-1;-100.0;$1.97;5/20/21, 9:30 AM;($1.00);$267.00;0.0;
71;MACDStrategy(SELL);Sell to Open;-1;-100.0;$1.97;5/20/21, 9:30 AM;;$240.00;-100.0;
72;MACDStrategy(BUY);Buy to Close;1;100.0;$2.17;5/20/21, 9:40 AM;($20.00);$247.00;0.0;
73;MACDStrategy(BUY);Buy to Open;1;100.0;$2.17;5/20/21, 9:40 AM;;$266.00;100.0;
74;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.41;5/20/21, 11:20 AM;$24.00;$271.00;0.0;
75;MACDStrategy(SELL);Sell to Open;-1;-100.0;$2.41;5/20/21, 11:20 AM;;$255.00;-100.0;
76;MACDStrategy(BUY);Buy to Close;1;100.0;$2.44;5/20/21, 11:30 AM;($3.00);$268.00;0.0;
