Strategy report
Symbol: .AAPL210716C120
Work Time: 2/18/21, 1:30 PM - 6/21/21, 9:35 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;ema_cross_vwap(Long);Buy to Open;10;1000.0;$16.40;2/18/21, 1:30 PM;;$0.00;1000.0;
2;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$17.00;2/19/21, 9:30 AM;$600.00;$600.00;0.0;
3;ema_cross_vwap(Long);Buy to Open;10;1000.0;$12.72;2/23/21, 1:05 PM;;$600.00;1000.0;
4;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$13.45;2/24/21, 9:35 AM;$730.00;$1,330.00;0.0;
5;ema_cross_vwap(Long);Buy to Open;10;1000.0;$13.20;2/26/21, 10:50 AM;;$1,480.00;1000.0;
6;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$13.16;2/26/21, 1:15 PM;($40.00);$1,290.00;0.0;
7;ema_cross_vwap(Long);Buy to Open;10;1000.0;$10.11;3/5/21, 12:55 PM;;$1,130.00;1000.0;
8;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$10.82;3/8/21, 9:30 AM;$710.00;$2,000.00;0.0;
9;ema_cross_vwap(Long);Buy to Open;10;1000.0;$10.50;3/9/21, 10:20 AM;;$2,000.00;1000.0;
10;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$10.40;3/10/21, 9:35 AM;($100.00);$1,900.00;0.0;
11;ema_cross_vwap(Long);Buy to Open;10;1000.0;$10.25;3/10/21, 2:45 PM;;$2,150.00;1000.0;
12;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$10.47;3/10/21, 3:00 PM;$220.00;$2,120.00;0.0;
13;ema_cross_vwap(Long);Buy to Open;10;1000.0;$9.80;3/12/21, 11:25 AM;;$2,120.00;1000.0;
14;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$13.89;3/16/21, 10:05 AM;$4,090.00;$6,210.00;0.0;
