Date/Time,Id,Strategy,Side,Amount,Price,Trade P/L,P/L,Position,Unnamed: 9
2021-06-11 09:34:00,2,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$44.26,($98.03),($98.03),0.0,
2021-06-11 10:14:00,4,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$42.68,($59.00),($157.03),0.0,
2021-06-11 10:50:00,6,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$44.66,$139.38,($17.65),0.0,
2021-06-11 11:04:00,8,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$44.17,($62.88),($80.53),0.0,
2021-06-11 12:51:00,10,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$44.81,$126.00,$45.47,0.0,
2021-06-11 12:59:00,12,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$46.35,$129.61,$175.08,0.0,
2021-06-11 13:11:00,14,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$47.88,$153.50,$328.58,0.0,
2021-06-11 13:19:00,16,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$47.11,($75.04),$253.54,0.0,
2021-06-11 13:39:00,18,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$47.14,($52.21),$201.33,0.0,
2021-06-11 13:50:00,20,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$48.73,$152.24,$353.57,0.0,
2021-06-11 13:53:00,22,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$48.62,($56.80),$296.77,0.0,
2021-06-11 14:04:00,24,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$47.93,($66.18),$230.59,0.0,
2021-06-11 14:18:00,26,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$47.80,($54.80),$175.79,0.0,
2021-06-11 14:22:00,28,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$47.21,($71.55),$104.24,0.0,
2021-06-11 14:41:00,30,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$46.41,($102.00),$2.24,0.0,
2021-06-11 15:23:00,32,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$47.79,$125.00,$127.24,0.0,
2021-06-11 15:56:00,34,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$49.27,$130.51,$257.75,0.0,
2021-06-14 09:31:00,36,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$52.30,$275.51,$533.26,0.0,
2021-06-14 09:41:00,38,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$52.70,($81.65),$451.61,0.0,
2021-06-14 09:52:00,40,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$52.24,($75.99),$375.62,0.0,
2021-06-14 10:03:00,42,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$53.46,$162.90,$538.52,0.0,
2021-06-14 10:08:00,44,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$54.83,$151.45,$689.97,0.0,
2021-06-14 10:11:00,46,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$54.26,($67.00),$622.97,0.0,
2021-06-14 10:25:00,48,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$53.87,($52.90),$570.07,0.0,
2021-06-14 10:36:00,50,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$54.01,($65.01),$505.06,0.0,
2021-06-14 10:49:00,52,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$56.36,$155.50,$660.56,0.0,
2021-06-14 10:56:00,54,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$57.44,$127.00,$787.56,0.0,
2021-06-14 11:02:00,56,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$56.95,($65.97),$721.59,0.0,
2021-06-14 11:28:00,58,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$57.35,($91.00),$630.59,0.0,
2021-06-14 12:06:00,60,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$57.24,($64.40),$566.19,0.0,
2021-06-14 12:14:00,62,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$59.19,$147.00,$713.19,0.0,
2021-06-14 12:30:00,64,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$58.72,($51.84),$661.35,0.0,
2021-06-14 12:52:00,66,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$58.42,($56.00),$605.35,0.0,
2021-06-14 13:00:00,68,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$58.01,($70.50),$534.85,0.0,
2021-06-14 13:14:00,70,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$57.56,($79.01),$455.84,0.0,
2021-06-14 13:44:00,72,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$56.94,($70.00),$385.84,0.0,
2021-06-14 14:23:00,74,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$58.05,$138.90,$524.74,0.0,
2021-06-14 15:53:00,76,SuperTrendStrategy(CloseBuy),Sell to Close,-100.0,$57.25,($68.61),$456.13,0.0,
