Strategy report
Symbol: AMC
Work Time: 6/14/21, 9:35 AM - 6/18/21, 3:45 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SuperTrendStrategy(Buy);Buy to Open;100.0;$53.95;6/14/21, 9:35 AM;;($66.00);100.0;
2;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$53.31;6/14/21, 9:40 AM;($64.00);($64.00);0.0;
3;SuperTrendStrategy(Buy);Buy to Open;100.0;$52.58;6/14/21, 9:45 AM;;($39.22);100.0;
4;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$54.43;6/14/21, 10:10 AM;$185.13;$121.13;0.0;
5;SuperTrendStrategy(Buy);Buy to Open;100.0;$55.14;6/14/21, 10:15 AM;;$57.13;100.0;
6;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$54.48;6/14/21, 10:20 AM;($66.00);$55.13;0.0;
7;SuperTrendStrategy(Buy);Buy to Open;100.0;$53.87;6/14/21, 10:25 AM;;$66.25;100.0;
8;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$56.17;6/14/21, 10:50 AM;$229.90;$285.03;0.0;
9;SuperTrendStrategy(Buy);Buy to Open;100.0;$56.73;6/14/21, 10:55 AM;;$422.04;100.0;
10;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$58.70;6/14/21, 11:20 AM;$197.35;$482.38;0.0;
11;SuperTrendStrategy(Buy);Buy to Open;100.0;$58.04;6/14/21, 11:25 AM;;$373.38;100.0;
12;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$56.95;6/14/21, 11:30 AM;($109.00);$373.38;0.0;
13;SuperTrendStrategy(Sell);Sell to Open;-100.0;$56.98;6/14/21, 11:35 AM;;$282.11;-100.0;
14;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$57.88;6/14/21, 11:40 AM;($90.67);$282.71;0.0;
15;SuperTrendStrategy(Sell);Sell to Open;-100.0;$58.10;6/14/21, 11:45 AM;;$284.71;-100.0;
16;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$59.24;6/14/21, 12:15 PM;($113.86);$168.85;0.0;
17;SuperTrendStrategy(Buy);Buy to Open;100.0;$59.82;6/14/21, 12:20 PM;;$102.85;100.0;
18;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$59.17;6/14/21, 12:25 PM;($64.50);$104.35;0.0;
19;SuperTrendStrategy(Buy);Buy to Open;100.0;$58.72;6/14/21, 12:30 PM;;$145.23;100.0;
20;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$58.01;6/14/21, 1:00 PM;($71.12);$33.23;0.0;
21;SuperTrendStrategy(Sell);Sell to Open;-100.0;$58.07;6/14/21, 1:05 PM;;$11.27;-100.0;
22;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$55.76;6/14/21, 1:55 PM;$230.54;$263.77;0.0;
23;SuperTrendStrategy(Sell);Sell to Open;-100.0;$56.07;6/14/21, 2:00 PM;;$238.39;-100.0;
24;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$56.93;6/14/21, 2:10 PM;($85.99);$177.78;0.0;
25;SuperTrendStrategy(Buy);Buy to Open;100.0;$57.28;6/14/21, 2:15 PM;;$162.78;100.0;
26;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$59.07;6/14/21, 3:15 PM;$179.00;$356.78;0.0;
27;SuperTrendStrategy(Buy);Buy to Open;100.0;$58.77;6/14/21, 3:20 PM;;$328.62;100.0;
28;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$57.46;6/14/21, 3:55 PM;($130.99);$225.79;0.0;
29;SuperTrendStrategy(Sell);Sell to Open;-100.0;$58.39;6/15/21, 9:30 AM;;($9.01);-100.0;
30;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$60.74;6/15/21, 9:35 AM;($235.00);($9.21);0.0;
31;SuperTrendStrategy(Buy);Buy to Open;100.0;$58.50;6/15/21, 9:40 AM;;($1.06);100.0;
32;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$61.27;6/15/21, 10:05 AM;$276.73;$267.52;0.0;
33;SuperTrendStrategy(Buy);Buy to Open;100.0;$60.84;6/15/21, 10:10 AM;;$447.20;100.0;
34;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$62.62;6/15/21, 10:15 AM;$177.68;$445.20;0.0;
35;SuperTrendStrategy(Buy);Buy to Open;100.0;$62.47;6/15/21, 10:20 AM;;$606.69;100.0;
36;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$64.10;6/15/21, 10:25 AM;$162.99;$608.19;0.0;
37;SuperTrendStrategy(Buy);Buy to Open;100.0;$62.83;6/15/21, 10:30 AM;;$719.19;100.0;
38;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$62.07;6/15/21, 10:45 AM;($76.18);$532.01;0.0;
39;SuperTrendStrategy(Buy);Buy to Open;100.0;$62.24;6/15/21, 10:50 AM;;$607.01;100.0;
40;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$61.38;6/15/21, 11:50 AM;($86.00);$446.01;0.0;
41;SuperTrendStrategy(Sell);Sell to Open;-100.0;$61.06;6/15/21, 11:55 AM;;$418.00;-100.0;
42;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$61.73;6/15/21, 12:05 PM;($66.65);$379.36;0.0;
43;SuperTrendStrategy(Sell);Sell to Open;-100.0;$61.97;6/15/21, 12:10 PM;;$424.25;-100.0;
44;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$59.33;6/15/21, 12:40 PM;$263.89;$643.25;0.0;
45;SuperTrendStrategy(Sell);Sell to Open;-100.0;$59.55;6/15/21, 12:45 PM;;$644.75;-100.0;
46;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$57.67;6/15/21, 1:00 PM;$187.50;$830.75;0.0;
47;SuperTrendStrategy(Sell);Sell to Open;-100.0;$58.28;6/15/21, 1:05 PM;;$783.76;-100.0;
48;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$58.99;6/15/21, 1:15 PM;($71.00);$759.75;0.0;
49;SuperTrendStrategy(Sell);Sell to Open;-100.0;$58.75;6/15/21, 1:20 PM;;$809.75;-100.0;
50;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$59.35;6/15/21, 1:30 PM;($59.50);$700.25;0.0;
51;SuperTrendStrategy(Buy);Buy to Open;100.0;$59.40;6/15/21, 1:35 PM;;$731.76;100.0;
52;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$58.79;6/15/21, 2:10 PM;($60.17);$640.08;0.0;
53;SuperTrendStrategy(Buy);Buy to Open;100.0;$59.41;6/15/21, 2:15 PM;;$602.30;100.0;
54;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$56.36;6/16/21, 9:35 AM;($305.29);$334.79;0.0;
55;SuperTrendStrategy(Sell);Sell to Open;-100.0;$56.09;6/16/21, 9:40 AM;;$440.60;-100.0;
56;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$54.30;6/16/21, 9:50 AM;$179.81;$514.60;0.0;
57;SuperTrendStrategy(Sell);Sell to Open;-100.0;$54.25;6/16/21, 9:55 AM;;$501.72;-100.0;
58;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$54.80;6/16/21, 10:10 AM;($54.88);$459.72;0.0;
59;SuperTrendStrategy(Sell);Sell to Open;-100.0;$54.85;6/16/21, 10:15 AM;;$457.43;-100.0;
60;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$55.71;6/16/21, 10:30 AM;($86.08);$373.64;0.0;
61;SuperTrendStrategy(Sell);Sell to Open;-100.0;$55.10;6/16/21, 10:35 AM;;$389.64;-100.0;
62;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$53.44;6/16/21, 11:10 AM;$165.90;$539.54;0.0;
63;SuperTrendStrategy(Sell);Sell to Open;-100.0;$53.11;6/16/21, 11:15 AM;;$540.54;-100.0;
64;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$53.88;6/16/21, 12:05 PM;($77.00);$462.54;0.0;
65;SuperTrendStrategy(Buy);Buy to Open;100.0;$53.40;6/16/21, 12:10 PM;;$422.36;100.0;
66;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$52.59;6/16/21, 12:25 PM;($81.68);$380.86;0.0;
67;SuperTrendStrategy(Sell);Sell to Open;-100.0;$52.33;6/16/21, 12:30 PM;;$330.86;-100.0;
68;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$53.04;6/16/21, 12:50 PM;($71.01);$309.85;0.0;
69;SuperTrendStrategy(Buy);Buy to Open;100.0;$53.22;6/16/21, 12:55 PM;;$267.41;100.0;
70;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$52.67;6/16/21, 1:05 PM;($55.01);$254.84;0.0;
71;SuperTrendStrategy(Buy);Buy to Open;100.0;$52.89;6/16/21, 1:10 PM;;$283.84;100.0;
72;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$54.51;6/16/21, 1:55 PM;$162.00;$416.84;0.0;
73;SuperTrendStrategy(Buy);Buy to Open;100.0;$54.10;6/16/21, 2:00 PM;;$377.84;100.0;
74;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$53.31;6/16/21, 2:15 PM;($79.00);$337.84;0.0;
75;SuperTrendStrategy(Buy);Buy to Open;100.0;$53.00;6/16/21, 2:20 PM;;$332.85;100.0;
76;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$55.10;6/16/21, 3:45 PM;$210.01;$547.85;0.0;
77;SuperTrendStrategy(Buy);Buy to Open;100.0;$55.56;6/16/21, 3:50 PM;;$493.85;100.0;
78;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$55.02;6/16/21, 3:55 PM;($54.00);$493.85;0.0;
79;SuperTrendStrategy(Buy);Buy to Open;100.0;$54.00;6/17/21, 9:30 AM;;$522.72;100.0;
80;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$55.79;6/17/21, 10:05 AM;$179.00;$672.85;0.0;
81;SuperTrendStrategy(Buy);Buy to Open;100.0;$57.00;6/17/21, 10:10 AM;;$657.16;100.0;
82;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$59.09;6/17/21, 10:40 AM;$209.00;$881.85;0.0;
83;SuperTrendStrategy(Buy);Buy to Open;100.0;$59.14;6/17/21, 10:45 AM;;$847.39;100.0;
84;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$60.67;6/17/21, 11:10 AM;$153.16;$1,035.01;0.0;
85;SuperTrendStrategy(Buy);Buy to Open;100.0;$60.98;6/17/21, 11:15 AM;;$1,128.01;100.0;
86;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$62.72;6/17/21, 11:25 AM;$174.00;$1,209.01;0.0;
87;SuperTrendStrategy(Buy);Buy to Open;100.0;$61.50;6/17/21, 11:30 AM;;$1,155.99;100.0;
88;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$60.94;6/17/21, 11:35 AM;($55.98);$1,153.03;0.0;
89;SuperTrendStrategy(Buy);Buy to Open;100.0;$61.28;6/17/21, 11:40 AM;;$1,111.00;100.0;
90;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$60.57;6/17/21, 11:50 AM;($71.11);$1,081.92;0.0;
91;SuperTrendStrategy(Buy);Buy to Open;100.0;$60.04;6/17/21, 11:55 AM;;$1,005.32;100.0;
92;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$59.29;6/17/21, 12:00 PM;($75.17);$1,006.75;0.0;
93;SuperTrendStrategy(Buy);Buy to Open;100.0;$59.49;6/17/21, 12:05 PM;;$1,011.19;100.0;
94;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$58.83;6/17/21, 12:20 PM;($66.06);$940.69;0.0;
95;SuperTrendStrategy(Buy);Buy to Open;100.0;$58.78;6/17/21, 12:25 PM;;$964.35;100.0;
96;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$60.74;6/17/21, 12:55 PM;$196.25;$1,136.94;0.0;
97;SuperTrendStrategy(Buy);Buy to Open;100.0;$60.60;6/17/21, 1:00 PM;;$1,088.04;100.0;
98;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$62.42;6/17/21, 2:15 PM;$181.59;$1,318.53;0.0;
99;SuperTrendStrategy(Buy);Buy to Open;100.0;$62.91;6/17/21, 2:20 PM;;$1,303.54;100.0;
100;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$61.17;6/17/21, 2:30 PM;($174.00);$1,144.53;0.0;
101;SuperTrendStrategy(Sell);Sell to Open;-100.0;$61.95;6/17/21, 2:35 PM;;$1,158.65;-100.0;
102;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$63.56;6/17/21, 2:55 PM;($161.07);$983.46;0.0;
103;SuperTrendStrategy(Buy);Buy to Open;100.0;$62.87;6/17/21, 3:00 PM;;$1,054.89;100.0;
104;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$62.30;6/17/21, 3:20 PM;($57.01);$926.45;0.0;
105;SuperTrendStrategy(Buy);Buy to Open;100.0;$61.69;6/17/21, 3:25 PM;;$866.23;100.0;
106;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$61.08;6/17/21, 3:30 PM;($61.22);$865.23;0.0;
107;SuperTrendStrategy(Sell);Sell to Open;-100.0;$60.68;6/17/21, 3:35 PM;;$949.43;-100.0;
108;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$61.43;6/18/21, 9:35 AM;($74.80);$790.43;0.0;
109;SuperTrendStrategy(Buy);Buy to Open;100.0;$63.36;6/18/21, 9:40 AM;;$871.93;100.0;
110;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$62.58;6/18/21, 10:10 AM;($77.49);$712.94;0.0;
111;SuperTrendStrategy(Buy);Buy to Open;100.0;$61.84;6/18/21, 10:15 AM;;$669.72;100.0;
112;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$63.43;6/18/21, 11:05 AM;$158.63;$871.57;0.0;
113;SuperTrendStrategy(Buy);Buy to Open;100.0;$63.37;6/18/21, 11:10 AM;;$838.07;100.0;
114;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$62.77;6/18/21, 11:20 AM;($60.02);$811.55;0.0;
115;SuperTrendStrategy(Buy);Buy to Open;100.0;$62.82;6/18/21, 11:25 AM;;$770.83;100.0;
116;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$61.76;6/18/21, 12:00 PM;($105.98);$705.57;0.0;
117;SuperTrendStrategy(Sell);Sell to Open;-100.0;$62.20;6/18/21, 12:05 PM;;$762.19;-100.0;
118;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$60.60;6/18/21, 12:35 PM;$159.62;$865.19;0.0;
119;SuperTrendStrategy(Sell);Sell to Open;-100.0;$61.03;6/18/21, 12:40 PM;;$822.44;-100.0;
120;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$61.61;6/18/21, 12:55 PM;($58.00);$807.19;0.0;
121;SuperTrendStrategy(Sell);Sell to Open;-100.0;$61.77;6/18/21, 1:00 PM;;$764.19;-100.0;
122;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$59.78;6/18/21, 2:35 PM;$199.00;$1,006.19;0.0;
123;SuperTrendStrategy(Sell);Sell to Open;-100.0;$59.94;6/18/21, 2:40 PM;;$1,038.19;-100.0;
124;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$58.16;6/18/21, 3:00 PM;$178.00;$1,184.19;0.0;
125;SuperTrendStrategy(Sell);Sell to Open;-100.0;$58.41;6/18/21, 3:05 PM;;$1,293.44;-100.0;
126;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$59.34;6/18/21, 3:40 PM;($93.24);$1,090.95;0.0;
127;SuperTrendStrategy(Buy);Buy to Open;100.0;$58.78;6/18/21, 3:45 PM;;$1,074.22;100.0;


Max trade P/L: $276.73;

Total P/L: $1,090.95;

Total order(s): 63;
