Strategy report
Symbol: .AMC210625C62
Work Time: 6/3/21, 1:51 PM - 6/24/21, 3:32 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1;100.0;$26.15;6/3/21, 1:51 PM;;($15.00);100.0;
2;MacdPerfect(SELL);Sell to Close;-1;-100.0;$24.80;6/3/21, 2:30 PM;($135.00);($135.00);0.0;
3;MacdPerfect(BUY);Buy to Open;1;100.0;$22.30;6/7/21, 9:57 AM;;($130.00);100.0;
4;MacdPerfect(SELL);Sell to Close;-1;-100.0;$20.90;6/7/21, 10:11 AM;($140.00);($275.00);0.0;
5;MacdPerfect(BUY);Buy to Open;1;100.0;$19.85;6/8/21, 9:31 AM;;($290.00);100.0;
6;MacdPerfect(SELL);Sell to Close;-1;-100.0;$17.45;6/8/21, 9:44 AM;($240.00);($515.00);0.0;
7;MacdPerfect(BUY);Buy to Open;1;100.0;$18.95;6/8/21, 10:20 AM;;($515.00);100.0;
8;MacdPerfect(SELL);Sell to Close;-1;-100.0;$17.90;6/8/21, 10:26 AM;($105.00);($620.00);0.0;
9;MacdPerfect(BUY);Buy to Open;1;100.0;$11.52;6/9/21, 3:26 PM;;($620.00);100.0;
10;MacdPerfect(SELL);Sell to Close;-1;-100.0;$10.35;6/9/21, 3:57 PM;($117.00);($737.00);0.0;
11;MacdPerfect(BUY);Buy to Open;1;100.0;$6.70;6/11/21, 12:58 PM;;($737.00);100.0;
12;MacdPerfect(SELL);Sell to Close;-1;-100.0;$7.53;6/11/21, 1:20 PM;$83.00;($654.00);0.0;
13;MacdPerfect(BUY);Buy to Open;1;100.0;$8.44;6/11/21, 2:00 PM;;($654.00);100.0;
14;MacdPerfect(SELL);Sell to Close;-1;-100.0;$7.70;6/11/21, 2:28 PM;($74.00);($728.00);0.0;
15;MacdPerfect(SELL);Sell to Close;-1;-100.0;$7.95;6/14/21, 9:31 AM;($185.00);($933.00);-100.0;
16;MacdPerfect(BUY);Buy to Open;1;100.0;$9.80;6/14/21, 9:31 AM;;($913.00);0.0;
17;MacdPerfect(BUY);Buy to Open;1;100.0;$10.00;6/14/21, 9:32 AM;;($903.00);100.0;
18;MacdPerfect(SELL);Sell to Close;-1;-100.0;$9.95;6/14/21, 9:41 AM;($5.00);($918.00);0.0;
19;MacdPerfect(BUY);Buy to Open;1;100.0;$10.70;6/14/21, 10:20 AM;;($918.00);100.0;
20;MacdPerfect(SELL);Sell to Close;-1;-100.0;$10.46;6/14/21, 10:26 AM;($24.00);($942.00);0.0;
21;MacdPerfect(BUY);Buy to Open;1;100.0;$11.20;6/14/21, 10:53 AM;;($910.00);100.0;
22;MacdPerfect(SELL);Sell to Close;-1;-100.0;$12.13;6/14/21, 11:08 AM;$93.00;($849.00);0.0;
23;MacdPerfect(BUY);Buy to Open;1;100.0;$12.95;6/14/21, 11:14 AM;;($859.00);100.0;
24;MacdPerfect(SELL);Sell to Close;-1;-100.0;$12.95;6/14/21, 11:16 AM;$0.00;($849.00);0.0;
25;MacdPerfect(BUY);Buy to Open;1;100.0;$13.90;6/14/21, 12:18 PM;;($849.00);100.0;
26;MacdPerfect(SELL);Sell to Close;-1;-100.0;$13.20;6/14/21, 12:25 PM;($70.00);($919.00);0.0;
27;MacdPerfect(BUY);Buy to Open;1;100.0;$11.93;6/14/21, 2:27 PM;;($932.00);100.0;
28;MacdPerfect(SELL);Sell to Close;-1;-100.0;$11.65;6/14/21, 2:36 PM;($28.00);($947.00);0.0;
29;MacdPerfect(BUY);Buy to Open;1;100.0;$11.70;6/14/21, 2:57 PM;;($947.00);100.0;
30;MacdPerfect(SELL);Sell to Close;-1;-100.0;$11.80;6/14/21, 3:41 PM;$10.00;($937.00);0.0;
31;MacdPerfect(BUY);Buy to Open;1;100.0;$12.28;6/15/21, 9:33 AM;;($955.00);100.0;
32;MacdPerfect(SELL);Sell to Close;-1;-100.0;$12.90;6/15/21, 9:36 AM;$62.00;($875.00);0.0;
33;MacdPerfect(BUY);Buy to Open;1;100.0;$12.12;6/15/21, 10:01 AM;;($875.00);100.0;
34;MacdPerfect(SELL);Sell to Close;-1;-100.0;$13.10;6/15/21, 10:11 AM;$98.00;($777.00);0.0;
35;MacdPerfect(BUY);Buy to Open;1;100.0;$14.35;6/15/21, 10:15 AM;;($753.00);100.0;
36;MacdPerfect(SELL);Sell to Close;-1;-100.0;$14.90;6/15/21, 10:19 AM;$55.00;($722.00);0.0;
37;MacdPerfect(BUY);Buy to Open;1;100.0;$15.13;6/15/21, 10:21 AM;;($690.00);100.0;
38;MacdPerfect(SELL);Sell to Close;-1;-100.0;$16.15;6/15/21, 10:26 AM;$102.00;($620.00);0.0;
39;MacdPerfect(BUY);Buy to Open;1;100.0;$14.83;6/15/21, 11:01 AM;;($620.00);100.0;
40;MacdPerfect(SELL);Sell to Close;-1;-100.0;$14.65;6/15/21, 11:05 AM;($18.00);($638.00);0.0;
41;MacdPerfect(BUY);Buy to Open;1;100.0;$11.45;6/15/21, 1:30 PM;;($638.00);100.0;
42;MacdPerfect(SELL);Sell to Close;-1;-100.0;$11.30;6/15/21, 1:45 PM;($15.00);($653.00);0.0;
43;MacdPerfect(BUY);Buy to Open;1;100.0;$11.60;6/15/21, 1:51 PM;;($653.00);100.0;
44;MacdPerfect(SELL);Sell to Close;-1;-100.0;$11.25;6/15/21, 1:58 PM;($35.00);($688.00);0.0;
45;MacdPerfect(BUY);Buy to Open;1;100.0;$11.35;6/15/21, 3:21 PM;;($688.00);100.0;
46;MacdPerfect(SELL);Sell to Close;-1;-100.0;$11.30;6/15/21, 3:36 PM;($5.00);($693.00);0.0;
47;MacdPerfect(BUY);Buy to Open;1;100.0;$6.90;6/16/21, 1:42 PM;;($678.00);100.0;
48;MacdPerfect(SELL);Sell to Close;-1;-100.0;$6.80;6/16/21, 2:09 PM;($10.00);($703.00);0.0;
49;MacdPerfect(BUY);Buy to Open;1;100.0;$7.05;6/16/21, 3:16 PM;;($703.00);100.0;
50;MacdPerfect(SELL);Sell to Close;-1;-100.0;$7.65;6/16/21, 3:53 PM;$60.00;($643.00);0.0;
51;MacdPerfect(BUY);Buy to Open;1;100.0;$7.17;6/17/21, 10:01 AM;;($645.00);100.0;
52;MacdPerfect(SELL);Sell to Close;-1;-100.0;$8.75;6/17/21, 10:21 AM;$158.00;($485.00);0.0;
53;MacdPerfect(BUY);Buy to Open;1;100.0;$9.40;6/17/21, 10:40 AM;;($485.00);100.0;
54;MacdPerfect(SELL);Sell to Close;-1;-100.0;$9.55;6/17/21, 10:48 AM;$15.00;($470.00);0.0;
55;MacdPerfect(BUY);Buy to Open;1;100.0;$10.40;6/17/21, 11:10 AM;;($449.00);100.0;
56;MacdPerfect(SELL);Sell to Close;-1;-100.0;$10.90;6/17/21, 11:18 AM;$50.00;($420.00);0.0;
57;MacdPerfect(BUY);Buy to Open;1;100.0;$11.50;6/17/21, 11:20 AM;;($423.00);100.0;
58;MacdPerfect(SELL);Sell to Close;-1;-100.0;$12.25;6/17/21, 11:24 AM;$75.00;($345.00);0.0;
59;MacdPerfect(BUY);Buy to Open;1;100.0;$9.65;6/17/21, 12:38 PM;;($345.00);100.0;
60;MacdPerfect(SELL);Sell to Close;-1;-100.0;$9.75;6/17/21, 12:42 PM;$10.00;($335.00);0.0;
