Strategy report
Symbol: TSLA
Work Time: 10/29/20, 9:35 AM - 7/9/21, 9:50 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$409.59;10/29/20, 9:35 AM;;($1.37);1.0;
2;MacdPerfect;Sell to Close;-1.0;$410.45;10/29/20, 10:30 AM;$0.86;$0.86;0.0;
3;MacdPerfect;Buy to Open;1.0;$393.22;11/2/20, 9:35 AM;;$6.22;1.0;
4;MacdPerfect;Sell to Close;-1.0;$402.67;11/2/20, 10:05 AM;$9.45;$10.31;0.0;
5;MacdPerfect;Buy to Open;1.0;$407.46;11/3/20, 9:35 AM;;$13.68;1.0;
6;MacdPerfect;Sell to Close;-1.0;$416.30;11/3/20, 10:05 AM;$8.85;$19.16;0.0;
7;MacdPerfect;Buy to Open;1.0;$433.99;11/4/20, 9:35 AM;;$12.88;1.0;
8;MacdPerfect;Sell to Close;-1.0;$424.14;11/4/20, 9:50 AM;($9.85);$9.30;0.0;
9;MacdPerfect;Buy to Open;1.0;$429.00;11/5/20, 9:35 AM;;$12.50;1.0;
10;MacdPerfect;Sell to Close;-1.0;$437.44;11/5/20, 10:10 AM;$8.44;$17.74;0.0;
11;MacdPerfect;Buy to Open;1.0;$432.37;11/9/20, 9:35 AM;;$21.10;1.0;
12;MacdPerfect;Sell to Close;-1.0;$448.46;11/9/20, 10:15 AM;$16.09;$33.83;0.0;
13;MacdPerfect;Buy to Open;1.0;$413.05;11/11/20, 9:35 AM;;$34.44;1.0;
14;MacdPerfect;Sell to Close;-1.0;$415.90;11/11/20, 10:05 AM;$2.85;$36.68;0.0;
15;MacdPerfect;Buy to Open;1.0;$406.70;11/16/20, 9:35 AM;;$36.36;1.0;
16;MacdPerfect;Sell to Close;-1.0;$408.80;11/16/20, 10:50 AM;$2.10;$38.79;0.0;
17;MacdPerfect;Buy to Open;1.0;$451.22;11/17/20, 9:35 AM;;$43.36;1.0;
18;MacdPerfect;Sell to Close;-1.0;$447.97;11/17/20, 10:00 AM;($3.25);$35.53;0.0;
19;MacdPerfect;Buy to Open;1.0;$449.59;11/18/20, 9:40 AM;;$35.93;1.0;
20;MacdPerfect;Sell to Close;-1.0;$453.91;11/18/20, 10:10 AM;$4.32;$39.85;0.0;
21;MacdPerfect;Buy to Open;1.0;$492.40;11/19/20, 9:35 AM;;$39.47;1.0;
22;MacdPerfect;Sell to Close;-1.0;$504.31;11/19/20, 10:20 AM;$11.91;$51.76;0.0;
23;MacdPerfect;Buy to Open;1.0;$513.50;11/23/20, 9:35 AM;;$51.83;1.0;
24;MacdPerfect;Sell to Close;-1.0;$521.39;11/23/20, 10:05 AM;$7.89;$59.65;0.0;
25;MacdPerfect;Buy to Open;1.0;$538.00;11/24/20, 9:35 AM;;$57.52;1.0;
26;MacdPerfect;Sell to Close;-1.0;$540.75;11/24/20, 10:10 AM;$2.75;$62.40;0.0;
27;MacdPerfect;Buy to Open;1.0;$588.00;11/27/20, 9:35 AM;;$61.51;1.0;
28;MacdPerfect;Sell to Close;-1.0;$594.84;11/27/20, 10:05 AM;$6.84;$69.24;0.0;
29;MacdPerfect;Buy to Open;1.0;$600.88;11/30/20, 9:35 AM;;$63.93;1.0;
30;MacdPerfect;Sell to Close;-1.0;$591.05;11/30/20, 9:55 AM;($9.83);$59.41;0.0;
31;MacdPerfect;Buy to Open;1.0;$588.53;12/1/20, 9:35 AM;;$57.45;1.0;
32;MacdPerfect;Sell to Close;-1.0;$585.56;12/1/20, 10:10 AM;($2.97);$56.44;0.0;
33;MacdPerfect;Buy to Open;1.0;$586.02;12/3/20, 9:35 AM;;$64.16;1.0;
34;MacdPerfect;Sell to Close;-1.0;$589.16;12/3/20, 10:00 AM;$3.14;$59.58;0.0;
35;MacdPerfect;Buy to Open;1.0;$591.72;12/4/20, 9:40 AM;;$58.01;1.0;
36;MacdPerfect;Sell to Close;-1.0;$593.78;12/4/20, 10:25 AM;$2.05;$61.63;0.0;
37;MacdPerfect;Buy to Open;1.0;$615.68;12/7/20, 9:35 AM;;$61.75;1.0;
38;MacdPerfect;Sell to Close;-1.0;$621.64;12/7/20, 10:05 AM;$5.96;$67.59;0.0;
39;MacdPerfect;Buy to Open;1.0;$623.45;12/14/20, 9:35 AM;;$68.84;1.0;
40;MacdPerfect;Sell to Close;-1.0;$618.91;12/14/20, 10:00 AM;($4.54);$63.05;0.0;
41;MacdPerfect;Buy to Open;1.0;$639.13;12/15/20, 9:40 AM;;$66.47;1.0;
42;MacdPerfect;Sell to Close;-1.0;$644.44;12/15/20, 10:35 AM;$5.31;$68.36;0.0;
43;MacdPerfect;Buy to Open;1.0;$626.05;12/17/20, 9:35 AM;;$66.07;1.0;
44;MacdPerfect;Sell to Close;-1.0;$623.77;12/17/20, 9:40 AM;($2.28);$66.07;0.0;
45;MacdPerfect;Buy to Open;1.0;$679.15;12/18/20, 9:35 AM;;$69.92;1.0;
46;MacdPerfect;Sell to Close;-1.0;$672.02;12/18/20, 9:55 AM;($7.13);$58.94;0.0;
47;MacdPerfect;Buy to Open;1.0;$646.42;12/24/20, 9:40 AM;;$57.45;1.0;
48;MacdPerfect;Sell to Close;-1.0;$664.68;12/24/20, 10:40 AM;$18.26;$77.20;0.0;
49;MacdPerfect;Buy to Open;1.0;$676.95;12/28/20, 9:35 AM;;$75.65;1.0;
50;MacdPerfect;Sell to Close;-1.0;$676.57;12/28/20, 10:05 AM;($0.38);$76.82;0.0;
51;MacdPerfect;Buy to Open;1.0;$672.72;12/30/20, 9:35 AM;;$73.81;1.0;
52;MacdPerfect;Sell to Close;-1.0;$672.06;12/30/20, 10:05 AM;($0.66);$76.16;0.0;
53;MacdPerfect;Buy to Open;1.0;$698.29;12/31/20, 9:35 AM;;$78.25;1.0;
54;MacdPerfect;Sell to Close;-1.0;$698.61;12/31/20, 9:45 AM;$0.32;$76.48;0.0;
55;MacdPerfect;Buy to Open;1.0;$728.13;1/4/21, 9:35 AM;;$75.20;1.0;
56;MacdPerfect;Sell to Close;-1.0;$737.70;1/4/21, 10:05 AM;$9.57;$86.05;0.0;
57;MacdPerfect;Buy to Open;1.0;$753.27;1/6/21, 9:35 AM;;$91.04;1.0;
58;MacdPerfect;Sell to Close;-1.0;$755.67;1/6/21, 10:05 AM;$2.40;$88.45;0.0;
59;MacdPerfect;Buy to Open;1.0;$779.28;1/7/21, 9:35 AM;;$95.61;1.0;
60;MacdPerfect;Sell to Close;-1.0;$791.67;1/7/21, 10:05 AM;$12.38;$100.83;0.0;
61;MacdPerfect;Buy to Open;1.0;$849.86;1/8/21, 9:35 AM;;$89.86;1.0;
62;MacdPerfect;Sell to Close;-1.0;$863.64;1/8/21, 10:05 AM;$13.78;$114.61;0.0;
63;MacdPerfect;Buy to Open;1.0;$839.20;1/12/21, 9:40 AM;;$121.09;1.0;
64;MacdPerfect;Sell to Close;-1.0;$849.77;1/12/21, 10:05 AM;$10.57;$125.18;0.0;
65;MacdPerfect;Buy to Open;1.0;$854.67;1/15/21, 9:35 AM;;$126.06;1.0;
66;MacdPerfect;Sell to Close;-1.0;$849.36;1/15/21, 10:05 AM;($5.31);$119.87;0.0;
67;MacdPerfect;Buy to Open;1.0;$843.78;1/19/21, 9:40 AM;;$120.86;1.0;
68;MacdPerfect;Sell to Close;-1.0;$841.49;1/19/21, 10:00 AM;($2.29);$117.58;0.0;
69;MacdPerfect;Buy to Open;1.0;$853.00;1/20/21, 9:35 AM;;$119.61;1.0;
70;MacdPerfect;Sell to Close;-1.0;$849.39;1/20/21, 9:55 AM;($3.61);$113.97;0.0;
71;MacdPerfect;Buy to Open;1.0;$859.23;1/25/21, 9:35 AM;;$118.31;1.0;
72;MacdPerfect;Sell to Close;-1.0;$891.11;1/25/21, 10:10 AM;$31.88;$145.85;0.0;
73;MacdPerfect;Buy to Open;1.0;$888.34;1/26/21, 9:35 AM;;$141.69;1.0;
