Strategy report
Symbol: AMC
Work Time: 6/14/21, 1:00 PM - 6/18/21, 3:40 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;BashirStrategy(EnterShort);Sell to Open;-100.0;$58.06;6/14/21, 1:00 PM;;($0.83);-100.0;
2;BashirStrategy(ExitShort);Buy to Close;100.0;$56.62;6/14/21, 1:20 PM;$144.01;$144.01;0.0;
3;BashirStrategy(EnterShort);Sell to Open;-100.0;$56.84;6/14/21, 1:25 PM;;$99.49;-100.0;
4;BashirStrategy(ExitShort);Buy to Close;100.0;$57.38;6/14/21, 1:35 PM;($53.50);$90.51;0.0;
5;BashirStrategy(EnterShort);Sell to Open;-100.0;$57.57;6/14/21, 1:40 PM;;$164.01;-100.0;
6;BashirStrategy(ExitShort);Buy to Close;100.0;$55.77;6/14/21, 1:55 PM;$180.01;$270.52;0.0;
7;BashirStrategy(EnterShort);Sell to Open;-100.0;$56.09;6/14/21, 2:00 PM;;$246.64;-100.0;
8;BashirStrategy(ExitShort);Buy to Close;100.0;$56.93;6/14/21, 2:10 PM;($84.49);$186.03;0.0;
9;BashirStrategy(EnterShort);Sell to Open;-100.0;$57.46;6/14/21, 3:55 PM;;$239.07;-100.0;
10;BashirStrategy(ExitShort);Buy to Close;100.0;$60.74;6/15/21, 9:35 AM;($328.26);($142.23);0.0;
11;BashirStrategy(EnterShort);Sell to Open;-100.0;$61.93;6/15/21, 11:45 AM;;($87.38);-100.0;
12;BashirStrategy(ExitShort);Buy to Close;100.0;$59.36;6/15/21, 12:40 PM;$256.98;$114.75;0.0;
13;BashirStrategy(EnterShort);Sell to Open;-100.0;$59.56;6/15/21, 12:45 PM;;$117.75;-100.0;
14;BashirStrategy(ExitShort);Buy to Close;100.0;$58.10;6/15/21, 12:55 PM;$146.00;$260.75;0.0;
15;BashirStrategy(EnterShort);Sell to Open;-100.0;$57.67;6/15/21, 1:00 PM;;$199.54;-100.0;
16;BashirStrategy(ExitShort);Buy to Close;100.0;$58.28;6/15/21, 1:05 PM;($61.21);$199.54;0.0;
17;BashirStrategy(EnterShort);Sell to Open;-100.0;$58.75;6/15/21, 1:10 PM;;$175.53;-100.0;
18;BashirStrategy(ExitShort);Buy to Close;100.0;$59.36;6/15/21, 1:30 PM;($61.01);$138.53;0.0;
19;BashirStrategy(EnterShort);Sell to Open;-100.0;$58.92;6/16/21, 9:30 AM;;$395.95;-100.0;
20;BashirStrategy(ExitShort);Buy to Close;100.0;$56.35;6/16/21, 9:35 AM;$257.42;$395.95;0.0;
21;BashirStrategy(EnterShort);Sell to Open;-100.0;$56.09;6/16/21, 9:40 AM;;$501.58;-100.0;
22;BashirStrategy(ExitShort);Buy to Close;100.0;$54.33;6/16/21, 9:50 AM;$176.23;$572.18;0.0;
23;BashirStrategy(EnterShort);Sell to Open;-100.0;$54.26;6/16/21, 9:55 AM;;$560.29;-100.0;
24;BashirStrategy(ExitShort);Buy to Close;100.0;$54.76;6/16/21, 10:10 AM;($50.07);$522.11;0.0;
25;BashirStrategy(EnterShort);Sell to Open;-100.0;$54.85;6/16/21, 10:15 AM;;$520.01;-100.0;
26;BashirStrategy(ExitShort);Buy to Close;100.0;$55.72;6/16/21, 10:30 AM;($87.08);$435.03;0.0;
27;BashirStrategy(EnterShort);Sell to Open;-100.0;$53.11;6/16/21, 11:15 AM;;$436.03;-100.0;
28;BashirStrategy(ExitShort);Buy to Close;100.0;$53.89;6/16/21, 12:05 PM;($77.85);$357.18;0.0;
29;BashirStrategy(EnterShort);Sell to Open;-100.0;$52.89;6/16/21, 2:45 PM;;$342.17;-100.0;
30;BashirStrategy(ExitShort);Buy to Close;100.0;$53.74;6/16/21, 3:10 PM;($85.00);$272.18;0.0;
31;BashirStrategy(EnterShort);Sell to Open;-100.0;$53.57;6/17/21, 9:45 AM;;$275.16;-100.0;
32;BashirStrategy(ExitShort);Buy to Close;100.0;$55.05;6/17/21, 10:00 AM;($148.01);$124.17;0.0;
33;BashirStrategy(EnterShort);Sell to Open;-100.0;$61.09;6/17/21, 3:30 PM;;$165.25;-100.0;
34;BashirStrategy(ExitShort);Buy to Close;100.0;$63.36;6/18/21, 9:40 AM;($227.38);($103.21);0.0;
35;BashirStrategy(EnterShort);Sell to Open;-100.0;$62.38;6/18/21, 11:50 AM;;($113.21);-100.0;
36;BashirStrategy(ExitShort);Buy to Close;100.0;$60.60;6/18/21, 12:35 PM;$177.85;$74.64;0.0;
37;BashirStrategy(EnterShort);Sell to Open;-100.0;$61.03;6/18/21, 12:40 PM;;$31.49;-100.0;
38;BashirStrategy(ExitShort);Buy to Close;100.0;$61.61;6/18/21, 12:55 PM;($58.40);$16.24;0.0;
39;BashirStrategy(EnterShort);Sell to Open;-100.0;$61.75;6/18/21, 1:00 PM;;($28.33);-100.0;
40;BashirStrategy(ExitShort);Buy to Close;100.0;$60.49;6/18/21, 2:00 PM;$126.81;$143.05;0.0;
41;BashirStrategy(EnterShort);Sell to Open;-100.0;$60.66;6/18/21, 2:05 PM;;$135.05;-100.0;
42;BashirStrategy(ExitShort);Buy to Close;100.0;$58.80;6/18/21, 2:55 PM;$185.77;$328.82;0.0;
43;BashirStrategy(EnterShort);Sell to Open;-100.0;$58.16;6/18/21, 3:00 PM;;$304.03;-100.0;
44;BashirStrategy(ExitShort);Buy to Close;100.0;$59.34;6/18/21, 3:40 PM;($118.00);$210.82;0.0;


Max trade P/L: $257.42;

Total P/L: $210.82;

Total order(s): 22;
