Strategy report
Symbol: AMC
Work Time: 6/14/21, 9:35 AM - 6/21/21, 10:10 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;BashirStrategy(EnterLong);Buy to Open;100.0;$53.95;6/14/21, 9:35 AM;;($66.10);100.0;
2;BashirStrategy(ExitLong);Sell to Close;-100.0;$53.29;6/14/21, 9:40 AM;($66.10);($66.10);0.0;
3;BashirStrategy(EnterLong);Buy to Open;100.0;$52.55;6/14/21, 9:45 AM;;($38.74);100.0;
4;BashirStrategy(ExitLong);Sell to Close;-100.0;$54.44;6/14/21, 10:10 AM;$188.09;$121.99;0.0;
5;BashirStrategy(EnterLong);Buy to Open;100.0;$55.15;6/14/21, 10:15 AM;;$56.99;100.0;
6;BashirStrategy(ExitLong);Sell to Close;-100.0;$54.50;6/14/21, 10:20 AM;($65.00);$56.99;0.0;
7;BashirStrategy(EnterLong);Buy to Open;100.0;$53.86;6/14/21, 10:25 AM;;$69.20;100.0;
8;BashirStrategy(ExitLong);Sell to Close;-100.0;$56.17;6/14/21, 10:50 AM;$230.99;$287.98;0.0;
9;BashirStrategy(EnterLong);Buy to Open;100.0;$56.72;6/14/21, 10:55 AM;;$425.50;100.0;
10;BashirStrategy(ExitLong);Sell to Close;-100.0;$58.10;6/14/21, 11:00 AM;$137.52;$425.50;0.0;
11;BashirStrategy(EnterLong);Buy to Open;100.0;$57.11;6/14/21, 11:05 AM;;$416.22;100.0;
12;BashirStrategy(ExitLong);Sell to Close;-100.0;$58.70;6/14/21, 11:20 AM;$159.03;$584.53;0.0;
13;BashirStrategy(EnterLong);Buy to Open;100.0;$58.05;6/14/21, 11:25 AM;;$475.03;100.0;
14;BashirStrategy(ExitLong);Sell to Close;-100.0;$56.95;6/14/21, 11:30 AM;($109.50);$475.03;0.0;
15;BashirStrategy(EnterShort);Sell to Open;-100.0;$56.62;6/14/21, 1:20 PM;;$453.02;-100.0;
16;BashirStrategy(ExitShort);Buy to Close;100.0;$57.29;6/14/21, 1:30 PM;($66.53);$408.50;0.0;
17;BashirStrategy(EnterShort);Sell to Open;-100.0;$57.38;6/14/21, 1:35 PM;;$389.00;-100.0;
18;BashirStrategy(ExitShort);Buy to Close;100.0;$55.77;6/14/21, 1:55 PM;$160.51;$569.01;0.0;
19;BashirStrategy(EnterShort);Sell to Open;-100.0;$56.09;6/14/21, 2:00 PM;;$545.13;-100.0;
20;BashirStrategy(ExitShort);Buy to Close;100.0;$56.93;6/14/21, 2:10 PM;($84.49);$484.52;0.0;
21;BashirStrategy(EnterLong);Buy to Open;100.0;$58.06;6/14/21, 2:30 PM;;$478.51;100.0;
22;BashirStrategy(ExitLong);Sell to Close;-100.0;$57.46;6/14/21, 3:55 PM;($60.47);$424.05;0.0;
23;BashirStrategy(EnterShort);Sell to Open;-100.0;$56.93;6/15/21, 9:30 AM;;$42.75;-100.0;
24;BashirStrategy(ExitShort);Buy to Close;100.0;$60.74;6/15/21, 9:35 AM;($381.30);$42.75;0.0;
25;BashirStrategy(EnterLong);Buy to Open;100.0;$58.50;6/15/21, 9:40 AM;;$50.96;100.0;
26;BashirStrategy(ExitLong);Sell to Close;-100.0;$61.26;6/15/21, 10:05 AM;$275.58;$318.33;0.0;
27;BashirStrategy(EnterLong);Buy to Open;100.0;$60.81;6/15/21, 10:10 AM;;$501.33;100.0;
28;BashirStrategy(ExitLong);Sell to Close;-100.0;$62.64;6/15/21, 10:15 AM;$183.00;$501.33;0.0;
29;BashirStrategy(EnterLong);Buy to Open;100.0;$62.48;6/15/21, 10:20 AM;;$661.84;100.0;
30;BashirStrategy(ExitLong);Sell to Close;-100.0;$64.08;6/15/21, 10:25 AM;$160.51;$661.84;0.0;
31;BashirStrategy(EnterLong);Buy to Open;100.0;$62.81;6/15/21, 10:30 AM;;$773.62;100.0;
32;BashirStrategy(ExitLong);Sell to Close;-100.0;$62.05;6/15/21, 10:45 AM;($75.93);$585.91;0.0;
33;BashirStrategy(EnterLong);Buy to Open;100.0;$62.24;6/15/21, 10:50 AM;;$660.91;100.0;
34;BashirStrategy(ExitLong);Sell to Close;-100.0;$61.38;6/15/21, 11:50 AM;($86.10);$499.81;0.0;
35;BashirStrategy(EnterShort);Sell to Open;-100.0;$61.07;6/15/21, 12:30 PM;;$530.85;-100.0;
36;BashirStrategy(ExitShort);Buy to Close;100.0;$59.36;6/15/21, 12:40 PM;$171.27;$671.08;0.0;
37;BashirStrategy(EnterShort);Sell to Open;-100.0;$59.56;6/15/21, 12:45 PM;;$674.08;-100.0;
38;BashirStrategy(ExitShort);Buy to Close;100.0;$58.10;6/15/21, 12:55 PM;$146.00;$817.08;0.0;
39;BashirStrategy(EnterShort);Sell to Open;-100.0;$57.67;6/15/21, 1:00 PM;;$755.87;-100.0;
40;BashirStrategy(ExitShort);Buy to Close;100.0;$58.28;6/15/21, 1:05 PM;($61.21);$755.87;0.0;
41;BashirStrategy(EnterShort);Sell to Open;-100.0;$58.75;6/15/21, 1:10 PM;;$731.86;-100.0;
42;BashirStrategy(ExitShort);Buy to Close;100.0;$59.36;6/15/21, 1:30 PM;($61.01);$694.86;0.0;
43;BashirStrategy(EnterLong);Buy to Open;100.0;$59.82;6/15/21, 3:15 PM;;$739.09;100.0;
44;BashirStrategy(ExitLong);Sell to Close;-100.0;$59.17;6/15/21, 3:45 PM;($65.27);$629.59;0.0;
45;BashirStrategy(EnterShort);Sell to Open;-100.0;$58.92;6/16/21, 9:30 AM;;$887.01;-100.0;
