Strategy report
Symbol: AAPL
Work Time: 10/5/20, 9:55 AM - 6/21/21, 9:35 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;ema_cross_vwap(Long);Buy to Open;100.0;$114.42;10/5/20, 9:55 AM;;$16.00;100.0;
2;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$115.76;10/6/20, 9:35 AM;$133.50;$133.50;0.0;
3;ema_cross_vwap(Long);Buy to Open;100.0;$115.00;10/7/20, 11:10 AM;;$123.58;100.0;
4;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$115.62;10/8/20, 9:35 AM;$61.92;$195.42;0.0;
5;ema_cross_vwap(Long);Buy to Open;100.0;$116.17;10/9/20, 10:05 AM;;$171.89;100.0;
6;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$122.79;10/13/20, 9:35 AM;$662.47;$857.89;0.0;
7;ema_cross_vwap(Long);Buy to Open;100.0;$120.62;10/14/20, 9:35 AM;;$997.89;100.0;
8;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$122.59;10/14/20, 9:45 AM;$196.50;$1,054.39;0.0;
9;ema_cross_vwap(Long);Buy to Open;100.0;$121.47;10/14/20, 3:30 PM;;$1,073.39;100.0;
10;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$121.97;10/14/20, 3:45 PM;$50.00;$1,104.39;0.0;
11;ema_cross_vwap(Long);Buy to Open;100.0;$119.99;10/15/20, 11:20 AM;;$1,102.89;100.0;
12;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$121.25;10/16/20, 9:30 AM;$126.50;$1,230.89;0.0;
13;ema_cross_vwap(Long);Buy to Open;100.0;$116.39;10/20/20, 9:35 AM;;$1,176.04;100.0;
14;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$118.02;10/20/20, 3:45 PM;$163.00;$1,393.89;0.0;
15;ema_cross_vwap(Long);Buy to Open;100.0;$115.24;10/26/20, 9:35 AM;;$1,409.39;100.0;
16;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$115.41;10/26/20, 9:40 AM;$17.00;$1,410.89;0.0;
17;ema_cross_vwap(Long);Buy to Open;100.0;$114.86;10/26/20, 3:45 PM;;$1,368.89;100.0;
18;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$114.09;10/28/20, 9:35 AM;($77.00);$1,333.89;0.0;
19;ema_cross_vwap(Long);Buy to Open;100.0;$114.29;10/29/20, 10:05 AM;;$1,298.01;100.0;
20;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$111.03;10/30/20, 9:30 AM;($325.87);$1,008.02;0.0;
21;ema_cross_vwap(Long);Buy to Open;100.0;$110.30;11/3/20, 10:10 AM;;$1,013.17;100.0;
22;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$110.59;11/3/20, 1:25 PM;$29.20;$1,037.22;0.0;
23;ema_cross_vwap(Long);Buy to Open;100.0;$111.08;11/3/20, 3:35 PM;;$1,041.71;100.0;
24;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$111.06;11/3/20, 3:55 PM;($1.50);$1,035.72;0.0;
25;ema_cross_vwap(Long);Buy to Open;100.0;$114.99;11/4/20, 10:20 AM;;$1,053.90;100.0;
26;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$118.97;11/5/20, 10:05 AM;$397.68;$1,433.40;0.0;
27;ema_cross_vwap(Long);Buy to Open;100.0;$118.54;11/5/20, 2:05 PM;;$1,422.86;100.0;
28;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$119.90;11/9/20, 9:35 AM;$136.00;$1,569.40;0.0;
29;ema_cross_vwap(Long);Buy to Open;100.0;$117.35;11/10/20, 9:35 AM;;$1,512.40;100.0;
30;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$116.79;11/10/20, 9:40 AM;($56.00);$1,513.40;0.0;
31;ema_cross_vwap(Long);Buy to Open;100.0;$116.45;11/10/20, 11:35 AM;;$1,525.91;100.0;
32;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$116.39;11/10/20, 2:30 PM;($5.99);$1,507.41;0.0;
33;ema_cross_vwap(Long);Buy to Open;100.0;$118.33;11/11/20, 10:10 AM;;$1,489.65;100.0;
34;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$119.70;11/12/20, 9:45 AM;$136.99;$1,644.40;0.0;
35;ema_cross_vwap(Long);Buy to Open;100.0;$119.73;11/12/20, 10:00 AM;;$1,658.90;100.0;
36;ema_cross_vwap(ExitLong);Sell to Close;-100.0;$119.87;11/12/20, 10:05 AM;$14.01;$1,658.41;0.0;
37;ema_cross_vwap(Long);Buy to Open;100.0;$118.89;11/13/20, 12:15 PM;;$1,645.41;100.0;
