Strategy report
Symbol: AAPL
Work Time: 10/15/20, 1:15 PM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$119.75;10/15/20, 1:15 PM;;($0.18);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$119.55;10/15/20, 1:20 PM;($0.20);($0.20);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$119.98;10/15/20, 1:35 PM;;($0.11);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$120.39;10/15/20, 2:20 PM;$0.41;$0.21;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$120.49;10/15/20, 2:25 PM;;$0.32;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$120.43;10/15/20, 2:40 PM;($0.07);$0.14;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$120.30;10/15/20, 2:45 PM;;$0.10;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$120.31;10/15/20, 2:50 PM;$0.01;$0.15;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$120.65;10/15/20, 3:00 PM;;$0.14;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$120.96;10/15/20, 3:30 PM;$0.30;$0.45;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$120.96;10/15/20, 3:35 PM;;$0.47;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$120.82;10/15/20, 3:45 PM;($0.14);$0.31;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$120.91;10/16/20, 10:00 AM;;$0.38;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$120.69;10/16/20, 10:15 AM;($0.22);$0.09;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$120.95;10/16/20, 10:20 AM;;$0.24;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$120.69;10/16/20, 10:45 AM;($0.27);($0.18);0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$119.80;10/16/20, 11:50 AM;;($0.17);1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$119.75;10/16/20, 12:10 PM;($0.04);($0.22);0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$120.09;10/16/20, 1:35 PM;;($0.25);1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$119.99;10/16/20, 2:00 PM;($0.10);($0.32);0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$119.99;10/16/20, 2:05 PM;;($0.25);1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$120.35;10/16/20, 2:50 PM;$0.36;$0.05;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$120.44;10/16/20, 2:55 PM;;$0.00;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$120.05;10/16/20, 3:05 PM;($0.39);($0.34);0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$120.03;10/19/20, 9:35 AM;;($0.48);1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$119.55;10/19/20, 9:55 AM;($0.48);($0.82);0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$118.62;10/19/20, 10:50 AM;;($0.88);1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$118.99;10/19/20, 11:50 AM;$0.37;($0.45);0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$117.93;10/19/20, 2:15 PM;;($0.43);1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$117.32;10/19/20, 2:35 PM;($0.62);($1.07);0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$116.61;10/19/20, 3:15 PM;;($1.21);1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$116.27;10/19/20, 3:25 PM;($0.34);($1.41);0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$116.46;10/19/20, 3:30 PM;;($1.29);1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$115.85;10/19/20, 3:55 PM;($0.61);($2.02);0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$117.19;10/20/20, 10:20 AM;;($2.03);1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$116.99;10/20/20, 10:30 AM;($0.20);($2.22);0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$116.99;10/20/20, 10:35 AM;;($2.32);1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$116.84;10/20/20, 10:40 AM;($0.15);($2.37);0.0;
39;MacdPerfect(BUY);Buy to Open;1.0;$116.58;10/20/20, 10:45 AM;;($2.58);1.0;
40;MacdPerfect(SELL);Sell to Close;-1.0;$116.40;10/20/20, 10:50 AM;($0.18);($2.56);0.0;
41;MacdPerfect(BUY);Buy to Open;1.0;$117.10;10/20/20, 11:55 AM;;($2.49);1.0;
42;MacdPerfect(SELL);Sell to Close;-1.0;$118.07;10/20/20, 12:55 PM;$0.97;($1.59);0.0;
43;MacdPerfect(BUY);Buy to Open;1.0;$118.23;10/20/20, 1:00 PM;;($1.53);1.0;
44;MacdPerfect(SELL);Sell to Close;-1.0;$118.59;10/20/20, 1:30 PM;$0.37;($1.22);0.0;
45;MacdPerfect(BUY);Buy to Open;1.0;$118.79;10/20/20, 1:35 PM;;($1.09);1.0;
46;MacdPerfect(SELL);Sell to Close;-1.0;$118.82;10/20/20, 1:45 PM;$0.04;($1.18);0.0;
47;MacdPerfect(BUY);Buy to Open;1.0;$118.83;10/20/20, 1:50 PM;;($1.28);1.0;
48;MacdPerfect(SELL);Sell to Close;-1.0;$118.52;10/20/20, 1:55 PM;($0.31);($1.49);0.0;
49;MacdPerfect(BUY);Buy to Open;1.0;$117.85;10/20/20, 3:05 PM;;($1.99);1.0;
50;MacdPerfect(SELL);Sell to Close;-1.0;$117.30;10/20/20, 3:10 PM;($0.55);($2.05);0.0;
51;MacdPerfect(BUY);Buy to Open;1.0;$117.63;10/20/20, 3:25 PM;;($2.07);1.0;
52;MacdPerfect(SELL);Sell to Close;-1.0;$117.72;10/20/20, 3:50 PM;$0.09;($1.95);0.0;
53;MacdPerfect(BUY);Buy to Open;1.0;$118.14;10/21/20, 10:10 AM;;($1.83);1.0;
54;MacdPerfect(SELL);Sell to Close;-1.0;$118.09;10/21/20, 10:25 AM;($0.05);($2.00);0.0;
55;MacdPerfect(BUY);Buy to Open;1.0;$118.22;10/21/20, 10:30 AM;;($1.97);1.0;
56;MacdPerfect(SELL);Sell to Close;-1.0;$118.34;10/21/20, 10:40 AM;$0.12;($1.88);0.0;
57;MacdPerfect(BUY);Buy to Open;1.0;$118.40;10/21/20, 10:45 AM;;($2.00);1.0;
58;MacdPerfect(SELL);Sell to Close;-1.0;$118.26;10/21/20, 10:50 AM;($0.14);($2.02);0.0;
59;MacdPerfect(BUY);Buy to Open;1.0;$118.16;10/21/20, 10:55 AM;;($2.09);1.0;
60;MacdPerfect(SELL);Sell to Close;-1.0;$118.02;10/21/20, 11:05 AM;($0.14);($2.16);0.0;
61;MacdPerfect(BUY);Buy to Open;1.0;$117.63;10/21/20, 12:25 PM;;($2.28);1.0;
62;MacdPerfect(SELL);Sell to Close;-1.0;$116.97;10/21/20, 12:35 PM;($0.65);($2.81);0.0;
63;MacdPerfect(BUY);Buy to Open;1.0;$117.20;10/21/20, 1:05 PM;;($2.81);1.0;
64;MacdPerfect(SELL);Sell to Close;-1.0;$117.30;10/21/20, 2:25 PM;$0.10;($2.71);0.0;
65;MacdPerfect(BUY);Buy to Open;1.0;$117.52;10/21/20, 2:35 PM;;($2.74);1.0;
66;MacdPerfect(SELL);Sell to Close;-1.0;$117.63;10/21/20, 3:05 PM;$0.12;($2.59);0.0;
67;MacdPerfect(BUY);Buy to Open;1.0;$117.64;10/21/20, 3:10 PM;;($2.57);1.0;
68;MacdPerfect(SELL);Sell to Close;-1.0;$117.65;10/21/20, 3:35 PM;$0.02;($2.58);0.0;
69;MacdPerfect(BUY);Buy to Open;1.0;$117.63;10/22/20, 9:35 AM;;($2.57);1.0;
70;MacdPerfect(SELL);Sell to Close;-1.0;$117.45;10/22/20, 9:50 AM;($0.18);($2.76);0.0;
71;MacdPerfect(BUY);Buy to Open;1.0;$115.64;10/22/20, 10:55 AM;;($2.80);1.0;
72;MacdPerfect(SELL);Sell to Close;-1.0;$115.59;10/22/20, 11:10 AM;($0.05);($2.81);0.0;
73;MacdPerfect(BUY);Buy to Open;1.0;$115.93;10/22/20, 1:25 PM;;($2.80);1.0;
74;MacdPerfect(SELL);Sell to Close;-1.0;$115.72;10/22/20, 1:40 PM;($0.20);($3.02);0.0;
75;MacdPerfect(BUY);Buy to Open;1.0;$115.59;10/22/20, 1:45 PM;;($3.14);1.0;
76;MacdPerfect(SELL);Sell to Close;-1.0;$115.56;10/22/20, 2:00 PM;($0.03);($3.05);0.0;
77;MacdPerfect(BUY);Buy to Open;1.0;$115.73;10/22/20, 2:25 PM;;($3.12);1.0;
78;MacdPerfect(SELL);Sell to Close;-1.0;$115.64;10/22/20, 3:10 PM;($0.09);($3.14);0.0;
79;MacdPerfect(BUY);Buy to Open;1.0;$115.78;10/22/20, 3:20 PM;;($3.08);1.0;
80;MacdPerfect(SELL);Sell to Close;-1.0;$115.90;10/22/20, 3:50 PM;$0.12;($3.02);0.0;
81;MacdPerfect(BUY);Buy to Open;1.0;$115.82;10/22/20, 3:55 PM;;($3.07);1.0;
82;MacdPerfect(SELL);Sell to Close;-1.0;$116.18;10/23/20, 9:30 AM;$0.36;($2.67);0.0;
83;MacdPerfect(BUY);Buy to Open;1.0;$115.93;10/23/20, 9:35 AM;;($2.70);1.0;
84;MacdPerfect(SELL);Sell to Close;-1.0;$115.80;10/23/20, 9:40 AM;($0.13);($2.79);0.0;
85;MacdPerfect(BUY);Buy to Open;1.0;$115.13;10/23/20, 10:30 AM;;($2.71);1.0;
86;MacdPerfect(SELL);Sell to Close;-1.0;$114.92;10/23/20, 10:45 AM;($0.21);($3.00);0.0;
87;MacdPerfect(BUY);Buy to Open;1.0;$115.09;10/23/20, 11:00 AM;;($2.95);1.0;
88;MacdPerfect(SELL);Sell to Close;-1.0;$114.78;10/23/20, 11:25 AM;($0.31);($3.31);0.0;
89;MacdPerfect(BUY);Buy to Open;1.0;$114.66;10/23/20, 12:00 PM;;($3.25);1.0;
90;MacdPerfect(SELL);Sell to Close;-1.0;$114.45;10/23/20, 12:25 PM;($0.22);($3.53);0.0;
91;MacdPerfect(BUY);Buy to Open;1.0;$114.96;10/23/20, 1:10 PM;;($3.58);1.0;
92;MacdPerfect(SELL);Sell to Close;-1.0;$114.96;10/23/20, 1:45 PM;$0.00;($3.53);0.0;
93;MacdPerfect(BUY);Buy to Open;1.0;$114.97;10/23/20, 1:50 PM;;($3.55);1.0;
94;MacdPerfect(SELL);Sell to Close;-1.0;$114.90;10/23/20, 2:00 PM;($0.06);($3.60);0.0;
95;MacdPerfect(BUY);Buy to Open;1.0;$114.99;10/23/20, 2:05 PM;;($3.56);1.0;
96;MacdPerfect(SELL);Sell to Close;-1.0;$114.92;10/23/20, 2:15 PM;($0.07);($3.67);0.0;
97;MacdPerfect(BUY);Buy to Open;1.0;$114.66;10/23/20, 3:10 PM;;($3.62);1.0;
