Strategy report
Symbol: .AAPL210625C130
Work Time: 6/8/21, 9:32 AM - 6/22/21, 3:59 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;1;100.0;$1.12;6/8/21, 9:32 AM;;($7.00);100.0;
2;MACDStrategy(SELL);Sell to Close;-1;-100.0;$1.10;6/8/21, 9:33 AM;($2.00);($2.00);0.0;
3;MACDStrategy(SELL);Sell to Open;-1;-100.0;$1.10;6/8/21, 9:33 AM;;($4.00);-100.0;
4;MACDStrategy(BUY);Buy to Close;1;100.0;$1.06;6/8/21, 9:34 AM;$4.00;$2.00;0.0;
5;MACDStrategy(BUY);Buy to Open;1;100.0;$1.06;6/8/21, 9:34 AM;;$15.00;100.0;
6;MACDStrategy(SELL);Sell to Close;-1;-100.0;$1.68;6/8/21, 9:48 AM;$62.00;$64.00;0.0;
7;MACDStrategy(SELL);Sell to Open;-1;-100.0;$1.68;6/8/21, 9:48 AM;;$73.00;-100.0;
8;MACDStrategy(BUY);Buy to Close;1;100.0;$1.59;6/8/21, 9:49 AM;$9.00;$73.00;0.0;
9;MACDStrategy(BUY);Buy to Open;1;100.0;$1.59;6/8/21, 9:49 AM;;$64.00;100.0;
10;MACDStrategy(SELL);Sell to Close;-1;-100.0;$1.57;6/8/21, 9:50 AM;($2.00);$71.00;0.0;
11;MACDStrategy(SELL);Sell to Open;-1;-100.0;$1.57;6/8/21, 9:50 AM;;$90.00;-100.0;
12;MACDStrategy(BUY);Buy to Close;1;100.0;$1.10;6/8/21, 10:03 AM;$47.00;$118.00;0.0;
13;MACDStrategy(BUY);Buy to Open;1;100.0;$1.10;6/8/21, 10:03 AM;;$123.00;100.0;
14;MACDStrategy(SELL);Sell to Close;-1;-100.0;$1.45;6/8/21, 10:26 AM;$35.00;$153.00;0.0;
15;MACDStrategy(SELL);Sell to Open;-1;-100.0;$1.45;6/8/21, 10:26 AM;;$156.00;-100.0;
16;MACDStrategy(BUY);Buy to Close;1;100.0;$1.40;6/8/21, 10:27 AM;$5.00;$158.00;0.0;
17;MACDStrategy(BUY);Buy to Open;1;100.0;$1.40;6/8/21, 10:27 AM;;$158.00;100.0;
18;MACDStrategy(SELL);Sell to Close;-1;-100.0;$1.38;6/8/21, 10:30 AM;($2.00);$156.00;0.0;
