Strategy report
Symbol: .AAPL210625C130
Work Time: 5/10/21, 10:15 AM - 6/22/21, 3:59 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;1;100.0;$3.87;5/10/21, 10:15 AM;;($12.00);100.0;
2;MACDStrategy(SELL);Sell to Close;-1;-100.0;$3.74;5/10/21, 1:15 PM;($13.00);($13.00);0.0;
3;MACDStrategy(BUY);Buy to Open;1;100.0;$2.40;5/11/21, 9:44 AM;;($3.00);100.0;
4;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.30;5/11/21, 10:20 AM;($10.00);($23.00);0.0;
5;MACDStrategy(BUY);Buy to Open;1;100.0;$2.70;5/11/21, 11:28 AM;;($19.00);100.0;
6;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.81;5/11/21, 12:40 PM;$11.00;($12.00);0.0;
7;MACDStrategy(BUY);Buy to Open;1;100.0;$2.82;5/11/21, 12:44 PM;;($19.00);100.0;
8;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.75;5/11/21, 12:58 PM;($7.00);($19.00);0.0;
9;MACDStrategy(BUY);Buy to Open;1;100.0;$2.97;5/11/21, 1:34 PM;;($16.00);100.0;
10;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.99;5/11/21, 2:11 PM;$2.00;($17.00);0.0;
11;MACDStrategy(BUY);Buy to Open;1;100.0;$3.04;5/11/21, 3:36 PM;;($37.00);100.0;
12;MACDStrategy(SELL);Sell to Close;-1;-100.0;$3.00;5/12/21, 9:30 AM;($4.00);($21.00);0.0;
13;MACDStrategy(BUY);Buy to Open;1;100.0;$2.53;5/12/21, 9:53 AM;;($25.00);100.0;
14;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.29;5/12/21, 10:53 AM;($24.00);($45.00);0.0;
15;MACDStrategy(BUY);Buy to Open;1;100.0;$2.40;5/12/21, 1:01 PM;;($41.00);100.0;
16;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.32;5/12/21, 1:39 PM;($8.00);($53.00);0.0;
17;MACDStrategy(BUY);Buy to Open;1;100.0;$2.36;5/12/21, 1:58 PM;;($59.00);100.0;
18;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.24;5/12/21, 2:10 PM;($12.00);($65.00);0.0;
19;MACDStrategy(BUY);Buy to Open;1;100.0;$2.33;5/12/21, 3:43 PM;;($63.00);100.0;
20;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.37;5/12/21, 3:53 PM;$4.00;($61.00);0.0;
21;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.35;5/12/21, 3:55 PM;$0.00;($59.00);-100.0;
22;MACDStrategy(BUY);Buy to Open;1;100.0;$2.35;5/12/21, 3:55 PM;;($61.00);0.0;
23;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.33;5/12/21, 3:56 PM;$0.00;($66.00);-100.0;
24;MACDStrategy(BUY);Buy to Open;1;100.0;$2.33;5/12/21, 3:56 PM;;($61.00);0.0;
25;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.38;5/12/21, 3:58 PM;$0.00;($69.00);-100.0;
26;MACDStrategy(BUY);Buy to Open;1;100.0;$2.38;5/12/21, 3:58 PM;;($61.00);0.0;
27;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.46;5/13/21, 9:30 AM;$0.00;($83.00);-100.0;
28;MACDStrategy(BUY);Buy to Open;1;100.0;$2.46;5/13/21, 9:30 AM;;($61.00);0.0;
29;MACDStrategy(BUY);Buy to Open;1;100.0;$2.68;5/13/21, 9:36 AM;;($30.00);100.0;
30;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.80;5/13/21, 9:42 AM;$12.00;($49.00);0.0;
31;MACDStrategy(BUY);Buy to Open;1;100.0;$2.77;5/13/21, 9:43 AM;;($52.00);100.0;
32;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.72;5/13/21, 9:47 AM;($5.00);($54.00);0.0;
33;MACDStrategy(BUY);Buy to Open;1;100.0;$2.93;5/13/21, 10:10 AM;;($57.00);100.0;
34;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.90;5/13/21, 10:14 AM;($3.00);($57.00);0.0;
35;MACDStrategy(BUY);Buy to Open;1;100.0;$3.05;5/13/21, 10:51 AM;;($57.00);100.0;
36;MACDStrategy(SELL);Sell to Close;-1;-100.0;$3.00;5/13/21, 11:07 AM;($5.00);($62.00);0.0;
37;MACDStrategy(BUY);Buy to Open;1;100.0;$2.76;5/13/21, 12:15 PM;;($43.00);100.0;
38;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.83;5/13/21, 1:11 PM;$7.00;($55.00);0.0;
39;MACDStrategy(BUY);Buy to Open;1;100.0;$2.72;5/13/21, 1:54 PM;;($55.00);100.0;
40;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.92;5/13/21, 3:19 PM;$20.00;($35.00);0.0;
41;MACDStrategy(BUY);Buy to Open;1;100.0;$2.88;5/13/21, 3:22 PM;;($38.00);100.0;
42;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.95;5/13/21, 3:50 PM;$7.00;($28.00);0.0;
43;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.89;5/13/21, 3:52 PM;$0.00;($24.00);-100.0;
44;MACDStrategy(BUY);Buy to Open;1;100.0;$2.89;5/13/21, 3:52 PM;;($28.00);0.0;
45;MACDStrategy(BUY);Buy to Open;1;100.0;$3.04;5/14/21, 9:35 AM;;($7.00);100.0;
46;MACDStrategy(SELL);Sell to Close;-1;-100.0;$3.05;5/14/21, 9:41 AM;$1.00;($27.00);0.0;
47;MACDStrategy(BUY);Buy to Open;1;100.0;$3.05;5/14/21, 9:43 AM;;($38.00);100.0;
48;MACDStrategy(SELL);Sell to Close;-1;-100.0;$2.94;5/14/21, 9:44 AM;($11.00);($38.00);0.0;
49;MACDStrategy(BUY);Buy to Open;1;100.0;$2.92;5/14/21, 10:05 AM;;($54.00);100.0;
