Strategy report
Symbol: AAPL
Work Time: 10/22/20, 9:35 AM - 7/6/21, 12:35 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$117.63;10/22/20, 9:35 AM;;$0.01;1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$117.45;10/22/20, 9:50 AM;($0.18);($0.18);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$114.85;10/27/20, 9:35 AM;;($0.08);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$115.41;10/27/20, 9:50 AM;$0.55;$0.37;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$115.83;10/27/20, 9:55 AM;;$0.54;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$115.77;10/27/20, 10:15 AM;($0.06);$0.31;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$115.61;10/27/20, 10:20 AM;;$0.36;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$115.89;10/27/20, 10:40 AM;$0.28;$0.59;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$116.64;10/27/20, 11:15 AM;;$0.52;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$116.37;10/27/20, 11:30 AM;($0.26);$0.33;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$117.10;10/27/20, 12:00 PM;;$0.32;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$116.97;10/27/20, 12:15 PM;($0.13);$0.19;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$117.01;10/27/20, 12:55 PM;;$0.21;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$116.65;10/27/20, 1:15 PM;($0.35);($0.16);0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$116.27;10/27/20, 2:25 PM;;($0.15);1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$116.17;10/27/20, 3:10 PM;($0.10);($0.26);0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$116.67;10/27/20, 3:35 PM;;($0.19);1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$116.70;10/27/20, 3:55 PM;$0.04;($0.23);0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$114.56;10/28/20, 9:30 AM;;($0.71);1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$114.23;10/28/20, 9:35 AM;($0.34);($0.56);0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$116.76;10/29/20, 2:20 PM;;($0.58);1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$116.62;10/29/20, 2:35 PM;($0.14);($0.70);0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$116.42;10/29/20, 3:05 PM;;($0.76);1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$115.43;10/29/20, 3:55 PM;($0.99);($1.69);0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$110.57;11/3/20, 10:35 AM;;($1.76);1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$110.99;11/3/20, 11:05 AM;$0.42;($1.27);0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$110.97;11/3/20, 12:30 PM;;($1.34);1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$110.75;11/3/20, 12:40 PM;($0.22);($1.48);0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$110.18;11/3/20, 2:15 PM;;($1.50);1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$110.90;11/3/20, 3:45 PM;$0.72;($0.77);0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$111.02;11/3/20, 3:50 PM;;($0.73);1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$110.72;11/3/20, 3:55 PM;($0.30);($1.07);0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$113.93;11/4/20, 9:30 AM;;($1.15);1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$113.30;11/4/20, 9:35 AM;($0.63);($1.70);0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$113.10;11/4/20, 9:40 AM;;($1.35);1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$114.87;11/4/20, 10:30 AM;$1.77;$0.07;0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$114.63;11/4/20, 10:35 AM;;($0.11);1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$114.48;11/4/20, 10:45 AM;($0.15);($0.08);0.0;
39;MacdPerfect(BUY);Buy to Open;1.0;$114.88;11/4/20, 11:50 AM;;($0.09);1.0;
40;MacdPerfect(SELL);Sell to Close;-1.0;$114.65;11/4/20, 2:15 PM;($0.23);($0.31);0.0;
41;MacdPerfect(BUY);Buy to Open;1.0;$114.88;11/4/20, 2:25 PM;;($0.32);1.0;
42;MacdPerfect(SELL);Sell to Close;-1.0;$114.77;11/4/20, 3:20 PM;($0.11);($0.42);0.0;
43;MacdPerfect(BUY);Buy to Open;1.0;$118.37;11/5/20, 9:40 AM;;($0.21);1.0;
44;MacdPerfect(SELL);Sell to Close;-1.0;$118.55;11/5/20, 10:10 AM;$0.19;($0.24);0.0;
45;MacdPerfect(BUY);Buy to Open;1.0;$118.47;11/5/20, 10:15 AM;;($0.11);1.0;
46;MacdPerfect(SELL);Sell to Close;-1.0;$117.82;11/5/20, 10:25 AM;($0.65);($0.89);0.0;
47;MacdPerfect(BUY);Buy to Open;1.0;$117.85;11/5/20, 12:40 PM;;($0.87);1.0;
48;MacdPerfect(SELL);Sell to Close;-1.0;$118.47;11/5/20, 2:10 PM;$0.62;($0.27);0.0;
49;MacdPerfect(BUY);Buy to Open;1.0;$118.55;11/5/20, 2:15 PM;;($0.22);1.0;
50;MacdPerfect(SELL);Sell to Close;-1.0;$119.10;11/5/20, 2:55 PM;$0.55;$0.28;0.0;
51;MacdPerfect(BUY);Buy to Open;1.0;$119.17;11/5/20, 3:00 PM;;$0.29;1.0;
52;MacdPerfect(SELL);Sell to Close;-1.0;$118.98;11/5/20, 3:10 PM;($0.19);$0.08;0.0;
53;MacdPerfect(BUY);Buy to Open;1.0;$119.02;11/5/20, 3:55 PM;;$0.06;1.0;
54;MacdPerfect(SELL);Sell to Close;-1.0;$117.93;11/6/20, 9:30 AM;($1.08);($1.00);0.0;
55;MacdPerfect(BUY);Buy to Open;1.0;$116.87;11/6/20, 10:10 AM;;($0.86);1.0;
56;MacdPerfect(SELL);Sell to Close;-1.0;$118.71;11/6/20, 12:15 PM;$1.85;$0.85;0.0;
57;MacdPerfect(BUY);Buy to Open;1.0;$118.63;11/6/20, 12:20 PM;;$0.84;1.0;
58;MacdPerfect(SELL);Sell to Close;-1.0;$118.52;11/6/20, 12:30 PM;($0.11);$0.74;0.0;
59;MacdPerfect(BUY);Buy to Open;1.0;$119.09;11/6/20, 1:05 PM;;$0.70;1.0;
60;MacdPerfect(SELL);Sell to Close;-1.0;$119.04;11/6/20, 1:25 PM;($0.05);$0.69;0.0;
61;MacdPerfect(BUY);Buy to Open;1.0;$119.10;11/6/20, 2:10 PM;;$0.68;1.0;
62;MacdPerfect(SELL);Sell to Close;-1.0;$118.95;11/6/20, 2:25 PM;($0.15);$0.53;0.0;
63;MacdPerfect(BUY);Buy to Open;1.0;$118.49;11/6/20, 3:15 PM;;$0.55;1.0;
64;MacdPerfect(SELL);Sell to Close;-1.0;$118.33;11/6/20, 3:25 PM;($0.17);$0.37;0.0;
65;MacdPerfect(BUY);Buy to Open;1.0;$118.41;11/6/20, 3:30 PM;;$0.41;1.0;
66;MacdPerfect(SELL);Sell to Close;-1.0;$118.81;11/6/20, 3:55 PM;$0.40;$0.77;0.0;
67;MacdPerfect(BUY);Buy to Open;1.0;$119.50;11/9/20, 9:35 AM;;$0.37;1.0;
68;MacdPerfect(SELL);Sell to Close;-1.0;$119.24;11/9/20, 9:40 AM;($0.27);$0.50;0.0;
69;MacdPerfect(BUY);Buy to Open;1.0;$119.82;11/9/20, 9:45 AM;;$0.94;1.0;
70;MacdPerfect(SELL);Sell to Close;-1.0;$119.70;11/9/20, 9:55 AM;($0.13);$0.38;0.0;
71;MacdPerfect(BUY);Buy to Open;1.0;$120.31;11/9/20, 10:00 AM;;$0.96;1.0;
72;MacdPerfect(SELL);Sell to Close;-1.0;$121.14;11/9/20, 10:40 AM;$0.82;$1.20;0.0;
73;MacdPerfect(BUY);Buy to Open;1.0;$120.63;11/9/20, 10:45 AM;;$0.72;1.0;
74;MacdPerfect(SELL);Sell to Close;-1.0;$120.33;11/9/20, 10:50 AM;($0.30);$0.90;0.0;
75;MacdPerfect(BUY);Buy to Open;1.0;$121.50;11/9/20, 11:30 AM;;$0.85;1.0;
76;MacdPerfect(SELL);Sell to Close;-1.0;$121.33;11/9/20, 11:40 AM;($0.17);$0.73;0.0;
77;MacdPerfect(BUY);Buy to Open;1.0;$120.66;11/9/20, 12:25 PM;;$0.72;1.0;
78;MacdPerfect(SELL);Sell to Close;-1.0;$120.28;11/9/20, 1:20 PM;($0.39);$0.35;0.0;
79;MacdPerfect(BUY);Buy to Open;1.0;$118.96;11/9/20, 2:40 PM;;$0.51;1.0;
