Strategy report
Symbol: .AAPL210625C130
Work Time: 5/10/21, 11:39 AM - 6/22/21, 12:47 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;ema_cross_vwap(Long);Buy to Open;10;1000.0;$3.80;5/10/21, 11:39 AM;;$0.00;1000.0;
2;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$2.31;5/11/21, 9:37 AM;($1,490.00);($1,490.00);0.0;
3;ema_cross_vwap(Long);Buy to Open;10;1000.0;$2.49;5/11/21, 9:56 AM;;($1,460.00);1000.0;
4;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$2.58;5/11/21, 9:58 AM;$90.00;($1,400.00);0.0;
5;ema_cross_vwap(Long);Buy to Open;10;1000.0;$2.47;5/11/21, 11:10 AM;;($1,400.00);1000.0;
6;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$2.74;5/11/21, 11:28 AM;$270.00;($1,130.00);0.0;
7;ema_cross_vwap(Long);Buy to Open;10;1000.0;$2.41;5/12/21, 1:07 PM;;($1,130.00);1000.0;
8;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$3.25;5/14/21, 9:35 AM;$840.00;($290.00);0.0;
9;ema_cross_vwap(Long);Buy to Open;10;1000.0;$3.05;5/14/21, 12:50 PM;;($290.00);1000.0;
10;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$3.15;5/14/21, 1:27 PM;$100.00;($190.00);0.0;
11;ema_cross_vwap(Long);Buy to Open;10;1000.0;$2.35;5/17/21, 1:24 PM;;($190.00);1000.0;
12;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$2.60;5/17/21, 3:59 PM;$250.00;$60.00;0.0;
13;ema_cross_vwap(Long);Buy to Open;10;1000.0;$2.60;5/18/21, 10:05 AM;;$60.00;1000.0;
14;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$2.65;5/18/21, 11:01 AM;$50.00;$110.00;0.0;
15;ema_cross_vwap(Long);Buy to Open;10;1000.0;$1.78;5/19/21, 9:31 AM;;$110.00;1000.0;
16;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$1.86;5/19/21, 9:34 AM;$80.00;$190.00;0.0;
17;ema_cross_vwap(Long);Buy to Open;10;1000.0;$1.95;5/19/21, 10:26 AM;;$190.00;1000.0;
18;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$2.03;5/19/21, 2:23 PM;$80.00;$270.00;0.0;
19;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$2.40;5/20/21, 9:45 AM;$0.00;$270.00;-1000.0;
20;ema_cross_vwap(Long);Buy to Open;10;1000.0;$2.40;5/20/21, 9:45 AM;;$270.00;0.0;
21;ema_cross_vwap(Long);Buy to Open;10;1000.0;$2.70;5/21/21, 9:34 AM;;$280.00;1000.0;
22;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$1.97;5/24/21, 9:31 AM;($730.00);($460.00);0.0;
23;ema_cross_vwap(Long);Buy to Open;10;1000.0;$2.15;5/24/21, 9:39 AM;;($460.00);1000.0;
24;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$2.20;5/24/21, 10:14 AM;$50.00;($410.00);0.0;
25;ema_cross_vwap(Long);Buy to Open;10;1000.0;$1.94;5/26/21, 9:35 AM;;($410.00);1000.0;
26;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$1.98;5/26/21, 9:42 AM;$40.00;($370.00);0.0;
27;ema_cross_vwap(Long);Buy to Open;10;1000.0;$2.01;5/26/21, 10:34 AM;;($350.00);1000.0;
28;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$1.95;5/27/21, 9:47 AM;($60.00);($430.00);0.0;
29;ema_cross_vwap(Long);Buy to Open;10;1000.0;$1.39;5/28/21, 9:31 AM;;($460.00);1000.0;
30;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$1.09;6/1/21, 9:31 AM;($300.00);($730.00);0.0;
31;ema_cross_vwap(Long);Buy to Open;10;1000.0;$0.98;6/1/21, 11:19 AM;;($700.00);1000.0;
32;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$1.07;6/1/21, 2:36 PM;$90.00;($640.00);0.0;
33;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$1.01;6/2/21, 9:31 AM;$0.00;($590.00);-1000.0;
34;ema_cross_vwap(Long);Buy to Open;10;1000.0;$1.01;6/2/21, 9:31 AM;;($640.00);0.0;
35;ema_cross_vwap(Long);Buy to Open;10;1000.0;$1.03;6/3/21, 9:30 AM;;($650.00);1000.0;
36;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$0.94;6/3/21, 9:31 AM;($90.00);($730.00);0.0;
37;ema_cross_vwap(Long);Buy to Open;10;1000.0;$0.84;6/3/21, 9:37 AM;;($740.00);1000.0;
38;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$0.80;6/4/21, 9:32 AM;($40.00);($770.00);0.0;
39;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$0.80;6/4/21, 9:36 AM;$0.00;($790.00);-1000.0;
40;ema_cross_vwap(Long);Buy to Open;10;1000.0;$0.80;6/4/21, 9:36 AM;;($770.00);0.0;
41;ema_cross_vwap(Long);Buy to Open;10;1000.0;$0.94;6/4/21, 10:41 AM;;($760.00);1000.0;
42;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$1.13;6/4/21, 12:31 PM;$190.00;($580.00);0.0;
43;ema_cross_vwap(Long);Buy to Open;10;1000.0;$1.03;6/4/21, 1:34 PM;;($580.00);1000.0;
44;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$1.11;6/7/21, 9:31 AM;$80.00;($500.00);0.0;
45;ema_cross_vwap(Long);Buy to Open;10;1000.0;$0.96;6/7/21, 12:57 PM;;($500.00);1000.0;
46;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$1.27;6/8/21, 9:36 AM;$310.00;($190.00);0.0;
47;ema_cross_vwap(Long);Buy to Open;10;1000.0;$1.45;6/8/21, 9:41 AM;;($180.00);1000.0;
48;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$1.65;6/8/21, 9:44 AM;$200.00;$10.00;0.0;
49;ema_cross_vwap(Long);Buy to Open;10;1000.0;$1.41;6/8/21, 10:22 AM;;$20.00;1000.0;
50;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$1.32;6/9/21, 9:31 AM;($90.00);($80.00);0.0;
51;ema_cross_vwap(Long);Buy to Open;10;1000.0;$1.19;6/9/21, 9:49 AM;;($80.00);1000.0;
52;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$0.94;6/10/21, 9:31 AM;($250.00);($330.00);0.0;
53;ema_cross_vwap(Long);Buy to Open;10;1000.0;$0.66;6/11/21, 9:33 AM;;($340.00);1000.0;
54;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$0.78;6/11/21, 9:43 AM;$120.00;($210.00);0.0;
55;ema_cross_vwap(Long);Buy to Open;10;1000.0;$0.76;6/11/21, 11:49 AM;;($220.00);1000.0;
56;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$0.94;6/14/21, 9:42 AM;$180.00;($30.00);0.0;
57;ema_cross_vwap(Long);Buy to Open;10;1000.0;$1.91;6/15/21, 10:10 AM;;($50.00);1000.0;
58;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$2.00;6/16/21, 9:32 AM;$90.00;$60.00;0.0;
59;ema_cross_vwap(Long);Buy to Open;10;1000.0;$1.99;6/16/21, 9:51 AM;;$160.00;1000.0;
60;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$1.70;6/17/21, 9:31 AM;($290.00);($230.00);0.0;
61;ema_cross_vwap(Long);Buy to Open;10;1000.0;$2.43;6/17/21, 12:36 PM;;($190.00);1000.0;
62;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$2.36;6/18/21, 9:34 AM;($70.00);($300.00);0.0;
63;ema_cross_vwap(Long);Buy to Open;10;1000.0;$2.35;6/18/21, 10:00 AM;;($260.00);1000.0;
64;ema_cross_vwap(ExitLong);Sell to Close;-10;-1000.0;$1.88;6/21/21, 9:31 AM;($470.00);($770.00);0.0;
65;ema_cross_vwap(Long);Buy to Open;10;1000.0;$1.57;6/21/21, 9:59 AM;;($770.00);1000.0;
