Strategy report
Symbol: .AAPL210625C130
Work Time: 5/10/21, 10:15 AM - 6/22/21, 3:57 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;VWAPBreakout(LONG);Buy to Open;1;100.0;$3.75;5/10/21, 10:15 AM;;$0.00;100.0;
2;VWAPBreakout(CLOSE);Sell to Close;-1;-100.0;$2.81;5/11/21, 12:39 PM;($94.00);($94.00);0.0;
3;VWAPBreakout(LONG);Buy to Open;1;100.0;$2.97;5/11/21, 1:32 PM;;($94.00);100.0;
4;VWAPBreakout(CLOSE);Sell to Close;-1;-100.0;$2.99;5/14/21, 12:37 PM;$2.00;($92.00);0.0;
5;VWAPBreakout(LONG);Buy to Open;1;100.0;$2.97;5/14/21, 12:45 PM;;($92.00);100.0;
6;VWAPBreakout(CLOSE);Sell to Close;-1;-100.0;$2.78;5/18/21, 9:47 AM;($19.00);($111.00);0.0;
7;VWAPBreakout(LONG);Buy to Open;1;100.0;$2.66;5/18/21, 10:02 AM;;($111.00);100.0;
8;VWAPBreakout(CLOSE);Sell to Close;-1;-100.0;$2.71;5/20/21, 11:56 AM;$5.00;($106.00);0.0;
9;VWAPBreakout(LONG);Buy to Open;1;100.0;$2.58;5/20/21, 12:35 PM;;($106.00);100.0;
10;VWAPBreakout(CLOSE);Sell to Close;-1;-100.0;$2.70;5/20/21, 1:30 PM;$12.00;($94.00);0.0;
11;VWAPBreakout(LONG);Buy to Open;1;100.0;$2.67;5/20/21, 2:02 PM;;($94.00);100.0;
12;VWAPBreakout(CLOSE);Sell to Close;-1;-100.0;$2.15;5/24/21, 9:46 AM;($52.00);($146.00);0.0;
13;VWAPBreakout(LONG);Buy to Open;1;100.0;$2.13;5/24/21, 9:53 AM;;($145.00);100.0;
14;VWAPBreakout(CLOSE);Sell to Close;-1;-100.0;$2.30;5/24/21, 10:25 AM;$17.00;($129.00);0.0;
15;VWAPBreakout(LONG);Buy to Open;1;100.0;$2.34;5/24/21, 10:29 AM;;($129.00);100.0;
16;VWAPBreakout(CLOSE);Sell to Close;-1;-100.0;$1.90;5/27/21, 10:21 AM;($44.00);($173.00);0.0;
17;VWAPBreakout(LONG);Buy to Open;1;100.0;$1.92;5/27/21, 10:24 AM;;($173.00);100.0;
18;VWAPBreakout(CLOSE);Sell to Close;-1;-100.0;$1.49;5/27/21, 3:46 PM;($43.00);($216.00);0.0;
19;VWAPBreakout(LONG);Buy to Open;1;100.0;$1.48;5/27/21, 3:50 PM;;($224.00);100.0;
20;VWAPBreakout(CLOSE);Sell to Close;-1;-100.0;$0.97;6/1/21, 10:40 AM;($51.00);($267.00);0.0;
21;VWAPBreakout(LONG);Buy to Open;1;100.0;$0.98;6/1/21, 10:48 AM;;($268.00);100.0;
22;VWAPBreakout(CLOSE);Sell to Close;-1;-100.0;$1.02;6/1/21, 1:01 PM;$4.00;($263.00);0.0;
