Strategy report
Symbol: .AAPL210625C130
Work Time: 6/8/21, 9:40 AM - 6/22/21, 3:55 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;10;1000.0;$1.20;6/8/21, 9:40 AM;;$440.00;1000.0;
2;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$1.50;6/8/21, 9:55 AM;$300.00;$300.00;0.0;
3;MACDStrategy(BUY);Buy to Open;10;1000.0;$1.23;6/8/21, 10:00 AM;;$270.00;1000.0;
4;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$1.38;6/8/21, 10:35 AM;$150.00;$450.00;0.0;
5;MACDStrategy(BUY);Buy to Open;10;1000.0;$1.10;6/8/21, 12:05 PM;;$510.00;1000.0;
6;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$1.09;6/8/21, 1:20 PM;($10.00);$440.00;0.0;
7;MACDStrategy(BUY);Buy to Open;10;1000.0;$1.08;6/8/21, 1:40 PM;;$470.00;1000.0;
8;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$1.30;6/8/21, 3:10 PM;$220.00;$660.00;0.0;
9;MACDStrategy(BUY);Buy to Open;10;1000.0;$1.28;6/8/21, 3:15 PM;;$610.00;1000.0;
10;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$1.24;6/8/21, 3:25 PM;($40.00);$620.00;0.0;
11;MACDStrategy(BUY);Buy to Open;10;1000.0;$1.20;6/9/21, 9:35 AM;;$510.00;1000.0;
12;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$1.14;6/9/21, 11:15 AM;($60.00);$560.00;0.0;
13;MACDStrategy(BUY);Buy to Open;10;1000.0;$1.14;6/9/21, 11:20 AM;;$580.00;1000.0;
14;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$1.10;6/9/21, 11:40 AM;($40.00);$520.00;0.0;
15;MACDStrategy(BUY);Buy to Open;10;1000.0;$1.11;6/9/21, 1:20 PM;;$560.00;1000.0;
16;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$1.11;6/9/21, 1:45 PM;$0.00;$520.00;0.0;
17;MACDStrategy(BUY);Buy to Open;10;1000.0;$1.13;6/9/21, 2:35 PM;;$500.00;1000.0;
18;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$1.14;6/9/21, 2:40 PM;$10.00;$530.00;0.0;
19;MACDStrategy(BUY);Buy to Open;10;1000.0;$1.12;6/9/21, 2:45 PM;;$540.00;1000.0;
20;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$1.11;6/9/21, 3:05 PM;($10.00);$520.00;0.0;
21;MACDStrategy(BUY);Buy to Open;10;1000.0;$1.11;6/9/21, 3:10 PM;;$530.00;1000.0;
22;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$1.13;6/9/21, 3:25 PM;$20.00;$540.00;0.0;
23;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$1.03;6/9/21, 3:55 PM;$0.00;$460.00;-1000.0;
24;MACDStrategy(BUY);Buy to Open;10;1000.0;$1.03;6/9/21, 3:55 PM;;$540.00;0.0;
25;MACDStrategy(BUY);Buy to Open;10;1000.0;$1.13;6/10/21, 9:50 AM;;$670.00;1000.0;
26;MACDStrategy(SELL);Sell to Close;-10;-1000.0;$1.21;6/10/21, 10:05 AM;$80.00;$620.00;0.0;
27;MACDStrategy(BUY);Buy to Open;10;1000.0;$1.15;6/10/21, 10:10 AM;;$530.00;1000.0;
