Strategy report
Symbol: AAPL
Work Time: 10/22/20, 9:35 AM - 7/6/21, 2:35 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$117.63;10/22/20, 9:35 AM;;$0.01;1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$117.45;10/22/20, 9:50 AM;($0.18);($0.18);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$114.85;10/27/20, 9:35 AM;;($0.08);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$115.41;10/27/20, 9:50 AM;$0.55;$0.37;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$115.83;10/27/20, 9:55 AM;;$0.54;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$115.77;10/27/20, 10:15 AM;($0.06);$0.31;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$110.18;11/3/20, 2:15 PM;;$0.29;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$110.90;11/3/20, 3:45 PM;$0.72;$1.03;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$113.30;11/4/20, 9:35 AM;;$0.47;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$114.87;11/4/20, 10:30 AM;$1.57;$2.59;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$117.81;11/5/20, 9:35 AM;;$2.93;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$118.55;11/5/20, 10:10 AM;$0.75;$3.34;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$118.47;11/5/20, 10:15 AM;;$3.47;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$117.82;11/5/20, 10:25 AM;($0.65);$2.69;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$117.85;11/5/20, 12:40 PM;;$2.71;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$118.47;11/5/20, 2:10 PM;$0.62;$3.30;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$116.87;11/6/20, 10:10 AM;;$3.45;1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$118.71;11/6/20, 12:15 PM;$1.85;$5.15;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$119.50;11/9/20, 9:35 AM;;$4.75;1.0;
20;MacdPerfect(SELL);Sell to Close;-1.0;$119.24;11/9/20, 9:40 AM;($0.27);$4.89;0.0;
21;MacdPerfect(BUY);Buy to Open;1.0;$119.82;11/9/20, 9:45 AM;;$5.33;1.0;
22;MacdPerfect(SELL);Sell to Close;-1.0;$119.70;11/9/20, 9:55 AM;($0.13);$4.76;0.0;
23;MacdPerfect(BUY);Buy to Open;1.0;$120.31;11/9/20, 10:00 AM;;$5.34;1.0;
24;MacdPerfect(SELL);Sell to Close;-1.0;$121.14;11/9/20, 10:40 AM;$0.82;$5.59;0.0;
25;MacdPerfect(BUY);Buy to Open;1.0;$118.96;11/9/20, 2:40 PM;;$5.75;1.0;
26;MacdPerfect(SELL);Sell to Close;-1.0;$118.64;11/9/20, 2:50 PM;($0.32);$5.26;0.0;
27;MacdPerfect(BUY);Buy to Open;1.0;$118.67;11/9/20, 3:00 PM;;$5.40;1.0;
28;MacdPerfect(SELL);Sell to Close;-1.0;$118.49;11/9/20, 3:20 PM;($0.19);$5.08;0.0;
29;MacdPerfect(BUY);Buy to Open;1.0;$119.41;11/12/20, 9:45 AM;;$4.78;1.0;
30;MacdPerfect(SELL);Sell to Close;-1.0;$119.28;11/12/20, 9:50 AM;($0.13);$4.95;0.0;
31;MacdPerfect(BUY);Buy to Open;1.0;$119.60;11/12/20, 9:55 AM;;$5.08;1.0;
32;MacdPerfect(SELL);Sell to Close;-1.0;$119.95;11/12/20, 10:25 AM;$0.35;$5.31;0.0;
33;MacdPerfect(BUY);Buy to Open;1.0;$119.58;11/12/20, 11:55 AM;;$5.32;1.0;
34;MacdPerfect(SELL);Sell to Close;-1.0;$119.82;11/12/20, 12:30 PM;$0.23;$5.54;0.0;
35;MacdPerfect(BUY);Buy to Open;1.0;$119.07;11/12/20, 1:55 PM;;$5.60;1.0;
36;MacdPerfect(SELL);Sell to Close;-1.0;$118.90;11/12/20, 2:10 PM;($0.18);$5.36;0.0;
37;MacdPerfect(BUY);Buy to Open;1.0;$119.13;11/12/20, 3:25 PM;;$5.27;1.0;
38;MacdPerfect(SELL);Sell to Close;-1.0;$119.10;11/12/20, 3:30 PM;($0.03);$5.33;0.0;
39;MacdPerfect(BUY);Buy to Open;1.0;$119.20;11/12/20, 3:35 PM;;$5.37;1.0;
40;MacdPerfect(SELL);Sell to Close;-1.0;$119.00;11/12/20, 3:45 PM;($0.20);$5.13;0.0;
41;MacdPerfect(BUY);Buy to Open;1.0;$119.28;11/13/20, 9:30 AM;;$4.96;1.0;
42;MacdPerfect(SELL);Sell to Close;-1.0;$118.87;11/13/20, 9:45 AM;($0.41);$4.72;0.0;
43;MacdPerfect(BUY);Buy to Open;1.0;$118.48;11/13/20, 10:20 AM;;$4.74;1.0;
44;MacdPerfect(SELL);Sell to Close;-1.0;$118.23;11/13/20, 10:35 AM;($0.25);$4.47;0.0;
45;MacdPerfect(BUY);Buy to Open;1.0;$118.38;11/13/20, 10:45 AM;;$4.55;1.0;
46;MacdPerfect(SELL);Sell to Close;-1.0;$118.12;11/13/20, 10:55 AM;($0.26);$4.21;0.0;
47;MacdPerfect(BUY);Buy to Open;1.0;$119.74;11/16/20, 3:10 PM;;$4.17;1.0;
48;MacdPerfect(SELL);Sell to Close;-1.0;$120.14;11/16/20, 3:55 PM;$0.40;$4.61;0.0;
49;MacdPerfect(BUY);Buy to Open;1.0;$119.57;11/17/20, 10:10 AM;;$4.65;1.0;
50;MacdPerfect(SELL);Sell to Close;-1.0;$120.23;11/17/20, 11:05 AM;$0.66;$5.27;0.0;
51;MacdPerfect(BUY);Buy to Open;1.0;$119.77;11/17/20, 3:40 PM;;$5.26;1.0;
52;MacdPerfect(SELL);Sell to Close;-1.0;$119.58;11/17/20, 3:50 PM;($0.19);$5.08;0.0;
53;MacdPerfect(BUY);Buy to Open;1.0;$115.99;11/25/20, 9:35 AM;;$5.33;1.0;
54;MacdPerfect(SELL);Sell to Close;-1.0;$115.82;11/25/20, 10:05 AM;($0.17);$4.91;0.0;
55;MacdPerfect(BUY);Buy to Open;1.0;$115.98;11/25/20, 10:10 AM;;$5.08;1.0;
56;MacdPerfect(SELL);Sell to Close;-1.0;$116.02;11/25/20, 10:30 AM;$0.04;$4.95;0.0;
57;MacdPerfect(BUY);Buy to Open;1.0;$116.01;11/25/20, 12:35 PM;;$4.89;1.0;
58;MacdPerfect(SELL);Sell to Close;-1.0;$116.01;11/25/20, 1:30 PM;$0.00;$4.95;0.0;
59;MacdPerfect(BUY);Buy to Open;1.0;$115.96;11/25/20, 2:20 PM;;$4.99;1.0;
60;MacdPerfect(SELL);Sell to Close;-1.0;$115.89;11/25/20, 2:45 PM;($0.06);$4.89;0.0;
61;MacdPerfect(BUY);Buy to Open;1.0;$116.18;11/25/20, 3:15 PM;;$4.90;1.0;
62;MacdPerfect(SELL);Sell to Close;-1.0;$116.20;11/25/20, 3:40 PM;$0.02;$4.91;0.0;
63;MacdPerfect(BUY);Buy to Open;1.0;$116.99;11/27/20, 9:35 AM;;$4.87;1.0;
64;MacdPerfect(SELL);Sell to Close;-1.0;$116.92;11/27/20, 9:55 AM;($0.07);$4.84;0.0;
65;MacdPerfect(BUY);Buy to Open;1.0;$116.92;11/27/20, 10:00 AM;;$4.77;1.0;
66;MacdPerfect(SELL);Sell to Close;-1.0;$116.83;11/27/20, 10:05 AM;($0.09);$4.75;0.0;
67;MacdPerfect(BUY);Buy to Open;1.0;$116.88;11/27/20, 10:10 AM;;$4.82;1.0;
68;MacdPerfect(SELL);Sell to Close;-1.0;$117.04;11/27/20, 10:40 AM;$0.16;$4.90;0.0;
69;MacdPerfect(BUY);Buy to Open;1.0;$116.58;11/27/20, 1:00 PM;;$4.83;1.0;
70;MacdPerfect(SELL);Sell to Close;-1.0;$116.46;11/27/20, 1:35 PM;($0.12);$4.78;0.0;
71;MacdPerfect(BUY);Buy to Open;1.0;$118.59;11/30/20, 9:35 AM;;$5.13;1.0;
72;MacdPerfect(SELL);Sell to Close;-1.0;$118.88;11/30/20, 10:15 AM;$0.29;$5.07;0.0;
73;MacdPerfect(BUY);Buy to Open;1.0;$118.14;11/30/20, 11:40 AM;;$5.19;1.0;
74;MacdPerfect(SELL);Sell to Close;-1.0;$118.90;11/30/20, 12:35 PM;$0.75;$5.83;0.0;
75;MacdPerfect(BUY);Buy to Open;1.0;$120.79;12/1/20, 9:35 AM;;$6.30;1.0;
76;MacdPerfect(SELL);Sell to Close;-1.0;$122.23;12/1/20, 10:25 AM;$1.44;$7.27;0.0;
77;MacdPerfect(BUY);Buy to Open;1.0;$123.30;12/3/20, 9:35 AM;;$7.20;1.0;
78;MacdPerfect(SELL);Sell to Close;-1.0;$123.05;12/3/20, 9:40 AM;($0.26);$7.01;0.0;
79;MacdPerfect(BUY);Buy to Open;1.0;$123.00;12/3/20, 9:50 AM;;$6.85;1.0;
