Strategy report
Symbol: AAPL
Work Time: 5/10/21, 11:59 AM - 6/22/21, 12:05 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;ema_cross_vwap(Long);Buy to Open;10.0;$128.52;5/10/21, 11:59 AM;;$0.12;10.0;
2;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$128.42;5/10/21, 12:31 PM;($1.00);($1.00);0.0;
3;ema_cross_vwap(Long);Buy to Open;10.0;$123.70;5/11/21, 9:31 AM;;($0.15);10.0;
4;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$125.16;5/11/21, 12:44 PM;$14.64;$13.64;0.0;
5;ema_cross_vwap(Long);Buy to Open;10.0;$124.07;5/12/21, 10:08 AM;;$14.04;10.0;
6;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$123.24;5/12/21, 11:26 AM;($8.30);$5.34;0.0;
7;ema_cross_vwap(Long);Buy to Open;10.0;$125.39;5/13/21, 9:58 AM;;$4.37;10.0;
8;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$125.44;5/13/21, 11:11 AM;$0.49;$5.83;0.0;
9;ema_cross_vwap(Long);Buy to Open;10.0;$125.50;5/13/21, 12:13 PM;;$5.78;10.0;
10;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$125.18;5/13/21, 12:53 PM;($3.20);$2.63;0.0;
11;ema_cross_vwap(Long);Buy to Open;10.0;$125.44;5/13/21, 2:14 PM;;$2.53;10.0;
12;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$125.36;5/13/21, 3:20 PM;($0.80);$1.83;0.0;
13;ema_cross_vwap(Long);Buy to Open;10.0;$126.67;5/14/21, 10:17 AM;;$1.88;10.0;
14;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$126.51;5/14/21, 11:31 AM;($1.55);$0.28;0.0;
15;ema_cross_vwap(Long);Buy to Open;10.0;$126.32;5/17/21, 10:42 AM;;($0.32);10.0;
16;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$125.99;5/17/21, 10:49 AM;($3.35);($3.07);0.0;
17;ema_cross_vwap(Long);Buy to Open;10.0;$126.02;5/17/21, 3:56 PM;;($2.22);10.0;
18;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$126.58;5/18/21, 11:23 AM;$5.60;$2.53;0.0;
19;ema_cross_vwap(Long);Buy to Open;10.0;$123.44;5/19/21, 9:31 AM;;$5.93;10.0;
20;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$123.71;5/19/21, 10:35 AM;$2.70;$5.23;0.0;
21;ema_cross_vwap(Long);Buy to Open;10.0;$123.72;5/19/21, 11:11 AM;;$6.13;10.0;
22;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$123.61;5/19/21, 11:35 AM;($1.10);$4.13;0.0;
23;ema_cross_vwap(Long);Buy to Open;10.0;$123.86;5/19/21, 2:19 PM;;$4.72;10.0;
24;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$124.12;5/19/21, 2:44 PM;$2.60;$6.73;0.0;
25;ema_cross_vwap(Long);Buy to Open;10.0;$125.81;5/20/21, 9:40 AM;;$7.67;10.0;
26;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$126.79;5/20/21, 12:12 PM;$9.85;$16.57;0.0;
27;ema_cross_vwap(Long);Buy to Open;10.0;$126.81;5/24/21, 9:38 AM;;$16.37;10.0;
28;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$127.46;5/24/21, 12:15 PM;$6.50;$23.07;0.0;
29;ema_cross_vwap(Long);Buy to Open;10.0;$127.09;5/26/21, 9:45 AM;;$22.74;10.0;
30;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$126.86;5/26/21, 10:07 AM;($2.30);$20.77;0.0;
31;ema_cross_vwap(Long);Buy to Open;10.0;$127.00;5/26/21, 10:33 AM;;$20.87;10.0;
32;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$127.01;5/26/21, 11:27 AM;$0.10;$20.87;0.0;
33;ema_cross_vwap(Long);Buy to Open;10.0;$126.99;5/26/21, 12:07 PM;;$21.32;10.0;
34;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$126.91;5/26/21, 12:25 PM;($0.75);$20.12;0.0;
35;ema_cross_vwap(Long);Buy to Open;10.0;$127.04;5/27/21, 9:31 AM;;$19.07;10.0;
36;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$127.01;5/27/21, 10:08 AM;($0.29);$19.84;0.0;
37;ema_cross_vwap(Long);Buy to Open;10.0;$127.12;5/27/21, 10:11 AM;;$20.54;10.0;
38;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$127.11;5/27/21, 10:53 AM;($0.09);$19.75;0.0;
39;ema_cross_vwap(Long);Buy to Open;10.0;$125.25;5/28/21, 9:45 AM;;$19.65;10.0;
40;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$125.25;5/28/21, 10:26 AM;($0.05);$19.70;0.0;
41;ema_cross_vwap(Long);Buy to Open;10.0;$125.31;5/28/21, 12:07 PM;;$19.85;10.0;
42;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$125.20;5/28/21, 12:33 PM;($1.03);$18.67;0.0;
43;ema_cross_vwap(Long);Buy to Open;10.0;$125.28;5/28/21, 12:39 PM;;$19.11;10.0;
44;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$125.20;5/28/21, 12:52 PM;($0.75);$17.91;0.0;
45;ema_cross_vwap(Long);Buy to Open;10.0;$125.32;5/28/21, 1:01 PM;;$17.62;10.0;
46;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$125.17;5/28/21, 1:12 PM;($1.55);$16.36;0.0;
47;ema_cross_vwap(Long);Buy to Open;10.0;$124.75;6/1/21, 10:38 AM;;$16.96;10.0;
48;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$124.47;6/1/21, 10:53 AM;($2.80);$13.56;0.0;
49;ema_cross_vwap(Long);Buy to Open;10.0;$124.68;6/1/21, 11:18 AM;;$13.91;10.0;
50;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$124.61;6/1/21, 11:48 AM;($0.75);$12.81;0.0;
51;ema_cross_vwap(Long);Buy to Open;10.0;$124.69;6/1/21, 11:53 AM;;$12.61;10.0;
52;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$124.61;6/1/21, 12:07 PM;($0.75);$12.06;0.0;
53;ema_cross_vwap(Long);Buy to Open;10.0;$124.79;6/1/21, 12:44 PM;;$12.30;10.0;
54;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$124.63;6/1/21, 1:08 PM;($1.61);$10.45;0.0;
55;ema_cross_vwap(Long);Buy to Open;10.0;$124.68;6/1/21, 2:10 PM;;$10.45;10.0;
56;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$124.79;6/1/21, 3:05 PM;$1.18;$11.63;0.0;
57;ema_cross_vwap(Long);Buy to Open;10.0;$124.52;6/2/21, 9:31 AM;;$10.43;10.0;
58;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$124.89;6/2/21, 10:56 AM;$3.70;$15.33;0.0;
59;ema_cross_vwap(Long);Buy to Open;10.0;$124.97;6/2/21, 11:30 AM;;$15.43;10.0;
60;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$124.92;6/2/21, 12:01 PM;($0.55);$14.78;0.0;
61;ema_cross_vwap(Long);Buy to Open;10.0;$124.78;6/2/21, 3:19 PM;;$14.28;10.0;
62;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$124.23;6/3/21, 9:33 AM;($5.51);$9.27;0.0;
63;ema_cross_vwap(Long);Buy to Open;10.0;$123.94;6/3/21, 11:00 AM;;$8.47;10.0;
64;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$123.72;6/3/21, 11:34 AM;($2.22);$7.05;0.0;
65;ema_cross_vwap(Long);Buy to Open;10.0;$123.72;6/3/21, 12:04 PM;;$7.09;10.0;
66;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$123.55;6/3/21, 1:16 PM;($1.70);$5.35;0.0;
67;ema_cross_vwap(Long);Buy to Open;10.0;$123.75;6/3/21, 1:28 PM;;$5.01;10.0;
68;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$123.86;6/3/21, 2:25 PM;$1.07;$6.41;0.0;
69;ema_cross_vwap(Long);Buy to Open;10.0;$123.75;6/3/21, 3:04 PM;;$6.11;10.0;
70;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$123.69;6/3/21, 3:44 PM;($0.60);$5.81;0.0;
71;ema_cross_vwap(Long);Buy to Open;10.0;$124.39;6/4/21, 9:40 AM;;$6.86;10.0;
72;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$125.07;6/4/21, 11:44 AM;$6.80;$12.61;0.0;
73;ema_cross_vwap(Long);Buy to Open;10.0;$125.34;6/7/21, 12:44 PM;;$12.40;10.0;
74;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$125.26;6/7/21, 1:27 PM;($0.85);$11.76;0.0;
75;ema_cross_vwap(Long);Buy to Open;10.0;$125.34;6/7/21, 3:05 PM;;$12.36;10.0;
76;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$127.01;6/8/21, 10:55 AM;$16.75;$28.51;0.0;
77;ema_cross_vwap(Long);Buy to Open;10.0;$127.23;6/8/21, 2:57 PM;;$29.38;10.0;
78;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$127.01;6/8/21, 3:26 PM;($2.21);$26.30;0.0;
79;ema_cross_vwap(Long);Buy to Open;10.0;$127.09;6/9/21, 10:44 AM;;$27.30;10.0;
80;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$127.09;6/9/21, 11:33 AM;($0.05);$26.25;0.0;
81;ema_cross_vwap(Long);Buy to Open;10.0;$127.08;6/9/21, 12:21 PM;;$26.70;10.0;
82;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$127.09;6/9/21, 1:42 PM;$0.15;$26.40;0.0;
83;ema_cross_vwap(Long);Buy to Open;10.0;$127.16;6/9/21, 3:58 PM;;$26.55;10.0;
84;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$126.68;6/10/21, 9:32 AM;($4.80);$21.60;0.0;
85;ema_cross_vwap(Long);Buy to Open;10.0;$126.63;6/11/21, 9:42 AM;;$23.20;10.0;
86;ema_cross_vwap(ExitLong);Sell to Close;-10.0;$126.84;6/11/21, 10:40 AM;$2.18;$23.78;0.0;
87;ema_cross_vwap(Long);Buy to Open;10.0;$126.91;6/11/21, 11:28 AM;;$24.13;10.0;
