Strategy report
Symbol: AAPL
Work Time: 5/20/21, 9:32 AM - 7/2/21, 3:49 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;10.0;$125.44;5/20/21, 9:32 AM;;$1.19;10.0;
2;MacdPerfect(SELL);Sell to Close;-10.0;$125.61;5/20/21, 9:38 AM;$1.70;$1.70;0.0;
3;MacdPerfect(BUY);Buy to Open;10.0;$125.85;5/20/21, 9:40 AM;;$2.18;10.0;
4;MacdPerfect(SELL);Sell to Close;-10.0;$126.06;5/20/21, 9:44 AM;$2.07;$3.78;0.0;
5;MacdPerfect(BUY);Buy to Open;10.0;$126.37;5/20/21, 10:19 AM;;$3.95;10.0;
6;MacdPerfect(SELL);Sell to Close;-10.0;$126.36;5/20/21, 10:26 AM;($0.13);$3.65;0.0;
7;MacdPerfect(BUY);Buy to Open;10.0;$126.39;5/20/21, 10:47 AM;;$3.73;10.0;
8;MacdPerfect(SELL);Sell to Close;-10.0;$126.32;5/20/21, 10:55 AM;($0.67);$2.98;0.0;
9;MacdPerfect(BUY);Buy to Open;10.0;$126.48;5/20/21, 11:01 AM;;$3.18;10.0;
10;MacdPerfect(SELL);Sell to Close;-10.0;$126.45;5/20/21, 11:03 AM;($0.30);$2.68;0.0;
11;MacdPerfect(BUY);Buy to Open;10.0;$126.44;5/20/21, 11:05 AM;;$2.62;10.0;
12;MacdPerfect(SELL);Sell to Close;-10.0;$126.43;5/20/21, 11:06 AM;($0.06);$2.62;0.0;
13;MacdPerfect(BUY);Buy to Open;10.0;$126.74;5/20/21, 11:28 AM;;$2.77;10.0;
14;MacdPerfect(SELL);Sell to Close;-10.0;$126.76;5/20/21, 11:35 AM;$0.25;$2.87;0.0;
15;MacdPerfect(BUY);Buy to Open;10.0;$127.01;5/20/21, 11:41 AM;;$3.12;10.0;
16;MacdPerfect(SELL);Sell to Close;-10.0;$127.00;5/20/21, 11:45 AM;($0.10);$2.77;0.0;
17;MacdPerfect(BUY);Buy to Open;10.0;$127.09;5/20/21, 11:47 AM;;$2.67;10.0;
18;MacdPerfect(SELL);Sell to Close;-10.0;$127.19;5/20/21, 11:53 AM;$0.95;$3.72;0.0;
19;MacdPerfect(BUY);Buy to Open;10.0;$126.98;5/20/21, 12:33 PM;;$3.89;10.0;
20;MacdPerfect(SELL);Sell to Close;-10.0;$126.88;5/20/21, 12:36 PM;($0.97);$2.74;0.0;
21;MacdPerfect(BUY);Buy to Open;10.0;$126.96;5/20/21, 12:49 PM;;$2.79;10.0;
22;MacdPerfect(SELL);Sell to Close;-10.0;$126.91;5/20/21, 12:56 PM;($0.45);$2.29;0.0;
23;MacdPerfect(BUY);Buy to Open;10.0;$127.04;5/20/21, 1:02 PM;;$2.47;10.0;
24;MacdPerfect(SELL);Sell to Close;-10.0;$127.02;5/20/21, 1:05 PM;($0.22);$2.07;0.0;
25;MacdPerfect(BUY);Buy to Open;10.0;$127.05;5/20/21, 1:07 PM;;$2.04;10.0;
26;MacdPerfect(SELL);Sell to Close;-10.0;$127.05;5/20/21, 1:08 PM;($0.03);$2.04;0.0;
27;MacdPerfect(BUY);Buy to Open;10.0;$127.13;5/20/21, 1:10 PM;;$2.12;10.0;
28;MacdPerfect(SELL);Sell to Close;-10.0;$127.14;5/20/21, 1:13 PM;$0.03;$2.07;0.0;
29;MacdPerfect(BUY);Buy to Open;10.0;$127.18;5/20/21, 1:16 PM;;$1.94;10.0;
30;MacdPerfect(SELL);Sell to Close;-10.0;$127.16;5/20/21, 1:17 PM;($0.18);$1.89;0.0;
31;MacdPerfect(BUY);Buy to Open;10.0;$127.27;5/20/21, 1:22 PM;;$1.93;10.0;
32;MacdPerfect(SELL);Sell to Close;-10.0;$127.25;5/20/21, 1:24 PM;($0.19);$1.71;0.0;
33;MacdPerfect(BUY);Buy to Open;10.0;$127.35;5/20/21, 1:32 PM;;$1.58;10.0;
34;MacdPerfect(SELL);Sell to Close;-10.0;$127.31;5/20/21, 1:35 PM;($0.38);$1.33;0.0;
35;MacdPerfect(BUY);Buy to Open;10.0;$127.22;5/20/21, 2:11 PM;;$1.23;10.0;
36;MacdPerfect(SELL);Sell to Close;-10.0;$127.22;5/20/21, 2:17 PM;$0.00;$1.33;0.0;
37;MacdPerfect(BUY);Buy to Open;10.0;$127.29;5/20/21, 2:19 PM;;$1.28;10.0;
38;MacdPerfect(SELL);Sell to Close;-10.0;$127.32;5/20/21, 2:24 PM;$0.25;$1.58;0.0;
39;MacdPerfect(BUY);Buy to Open;10.0;$127.36;5/20/21, 2:29 PM;;$1.88;10.0;
40;MacdPerfect(SELL);Sell to Close;-10.0;$127.38;5/20/21, 2:33 PM;$0.20;$1.78;0.0;
41;MacdPerfect(BUY);Buy to Open;10.0;$127.37;5/20/21, 2:37 PM;;$1.61;10.0;
42;MacdPerfect(SELL);Sell to Close;-10.0;$127.36;5/20/21, 2:38 PM;($0.17);$1.61;0.0;
43;MacdPerfect(BUY);Buy to Open;10.0;$127.48;5/20/21, 2:50 PM;;$1.60;10.0;
44;MacdPerfect(SELL);Sell to Close;-10.0;$127.53;5/20/21, 3:00 PM;$0.49;$2.10;0.0;
45;MacdPerfect(BUY);Buy to Open;10.0;$127.62;5/20/21, 3:19 PM;;$2.22;10.0;
46;MacdPerfect(SELL);Sell to Close;-10.0;$127.68;5/20/21, 3:29 PM;$0.63;$2.72;0.0;
47;MacdPerfect(BUY);Buy to Open;10.0;$127.78;5/21/21, 9:31 AM;;$2.42;10.0;
48;MacdPerfect(SELL);Sell to Close;-10.0;$127.42;5/21/21, 9:33 AM;($3.60);($0.88);0.0;
49;MacdPerfect(BUY);Buy to Open;10.0;$127.15;5/21/21, 10:04 AM;;($1.30);10.0;
50;MacdPerfect(SELL);Sell to Close;-10.0;$127.05;5/21/21, 10:06 AM;($0.97);($1.84);0.0;
51;MacdPerfect(BUY);Buy to Open;10.0;$126.43;5/21/21, 11:20 AM;;($1.58);10.0;
52;MacdPerfect(SELL);Sell to Close;-10.0;$126.27;5/21/21, 11:25 AM;($1.57);($3.41);0.0;
53;MacdPerfect(BUY);Buy to Open;10.0;$125.80;5/21/21, 12:40 PM;;($3.33);10.0;
