Strategy report
Symbol: AAPL
Work Time: 10/22/20, 9:35 AM - 7/6/21, 2:50 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$117.63;10/22/20, 9:35 AM;;$0.01;1.0;
2;MacdPerfect;Sell to Close;-1.0;$117.45;10/22/20, 9:50 AM;($0.18);($0.18);0.0;
3;MacdPerfect;Buy to Open;1.0;$114.85;10/27/20, 9:35 AM;;($0.08);1.0;
4;MacdPerfect;Sell to Close;-1.0;$115.41;10/27/20, 9:50 AM;$0.55;$0.37;0.0;
5;MacdPerfect;Buy to Open;1.0;$115.83;10/27/20, 9:55 AM;;$0.54;1.0;
6;MacdPerfect;Sell to Close;-1.0;$115.77;10/27/20, 10:15 AM;($0.06);$0.31;0.0;
7;MacdPerfect;Buy to Open;1.0;$110.18;11/3/20, 2:15 PM;;$0.29;1.0;
8;MacdPerfect;Sell to Close;-1.0;$110.90;11/3/20, 3:45 PM;$0.72;$1.03;0.0;
9;MacdPerfect;Buy to Open;1.0;$113.30;11/4/20, 9:35 AM;;$0.47;1.0;
10;MacdPerfect;Sell to Close;-1.0;$114.87;11/4/20, 10:30 AM;$1.57;$2.59;0.0;
11;MacdPerfect;Buy to Open;1.0;$117.81;11/5/20, 9:35 AM;;$2.93;1.0;
12;MacdPerfect;Sell to Close;-1.0;$118.55;11/5/20, 10:10 AM;$0.75;$3.34;0.0;
13;MacdPerfect;Buy to Open;1.0;$118.47;11/5/20, 10:15 AM;;$3.47;1.0;
14;MacdPerfect;Sell to Close;-1.0;$117.82;11/5/20, 10:25 AM;($0.65);$2.69;0.0;
15;MacdPerfect;Buy to Open;1.0;$117.85;11/5/20, 12:40 PM;;$2.71;1.0;
16;MacdPerfect;Sell to Close;-1.0;$118.47;11/5/20, 2:10 PM;$0.62;$3.30;0.0;
17;MacdPerfect;Buy to Open;1.0;$119.50;11/9/20, 9:35 AM;;$2.90;1.0;
18;MacdPerfect;Sell to Close;-1.0;$119.24;11/9/20, 9:40 AM;($0.27);$3.04;0.0;
19;MacdPerfect;Buy to Open;1.0;$119.82;11/9/20, 9:45 AM;;$3.48;1.0;
20;MacdPerfect;Sell to Close;-1.0;$119.70;11/9/20, 9:55 AM;($0.13);$2.91;0.0;
21;MacdPerfect;Buy to Open;1.0;$120.31;11/9/20, 10:00 AM;;$3.49;1.0;
22;MacdPerfect;Sell to Close;-1.0;$121.14;11/9/20, 10:40 AM;$0.82;$3.74;0.0;
23;MacdPerfect;Buy to Open;1.0;$119.41;11/12/20, 9:45 AM;;$3.44;1.0;
24;MacdPerfect;Sell to Close;-1.0;$119.28;11/12/20, 9:50 AM;($0.13);$3.61;0.0;
25;MacdPerfect;Buy to Open;1.0;$119.60;11/12/20, 9:55 AM;;$3.74;1.0;
26;MacdPerfect;Sell to Close;-1.0;$119.95;11/12/20, 10:25 AM;$0.35;$3.97;0.0;
27;MacdPerfect;Buy to Open;1.0;$120.05;11/12/20, 12:15 PM;;$3.89;1.0;
28;MacdPerfect;Sell to Close;-1.0;$119.89;11/12/20, 12:20 PM;($0.16);$3.81;0.0;
29;MacdPerfect;Buy to Open;1.0;$119.13;11/12/20, 3:25 PM;;$3.71;1.0;
30;MacdPerfect;Sell to Close;-1.0;$119.10;11/12/20, 3:30 PM;($0.03);$3.78;0.0;
31;MacdPerfect;Buy to Open;1.0;$119.20;11/12/20, 3:35 PM;;$3.82;1.0;
32;MacdPerfect;Sell to Close;-1.0;$119.00;11/12/20, 3:45 PM;($0.20);$3.57;0.0;
33;MacdPerfect;Buy to Open;1.0;$119.28;11/13/20, 9:30 AM;;$3.40;1.0;
34;MacdPerfect;Sell to Close;-1.0;$118.87;11/13/20, 9:45 AM;($0.41);$3.17;0.0;
35;MacdPerfect;Buy to Open;1.0;$119.93;11/16/20, 3:20 PM;;$3.22;1.0;
36;MacdPerfect;Sell to Close;-1.0;$120.14;11/16/20, 3:55 PM;$0.21;$3.38;0.0;
37;MacdPerfect;Buy to Open;1.0;$119.57;11/17/20, 10:10 AM;;$3.42;1.0;
38;MacdPerfect;Sell to Close;-1.0;$120.23;11/17/20, 11:05 AM;$0.66;$4.04;0.0;
39;MacdPerfect;Buy to Open;1.0;$115.99;11/25/20, 9:35 AM;;$4.29;1.0;
40;MacdPerfect;Sell to Close;-1.0;$115.82;11/25/20, 10:05 AM;($0.17);$3.87;0.0;
41;MacdPerfect;Buy to Open;1.0;$116.24;11/25/20, 10:15 AM;;$3.97;1.0;
42;MacdPerfect;Sell to Close;-1.0;$116.05;11/25/20, 10:25 AM;($0.19);$3.68;0.0;
43;MacdPerfect;Buy to Open;1.0;$116.01;11/25/20, 12:35 PM;;$3.62;1.0;
44;MacdPerfect;Sell to Close;-1.0;$116.01;11/25/20, 1:30 PM;$0.00;$3.68;0.0;
45;MacdPerfect;Buy to Open;1.0;$116.18;11/25/20, 3:15 PM;;$3.69;1.0;
46;MacdPerfect;Sell to Close;-1.0;$116.20;11/25/20, 3:40 PM;$0.02;$3.70;0.0;
47;MacdPerfect;Buy to Open;1.0;$116.99;11/27/20, 9:35 AM;;$3.67;1.0;
48;MacdPerfect;Sell to Close;-1.0;$116.92;11/27/20, 9:55 AM;($0.07);$3.63;0.0;
49;MacdPerfect;Buy to Open;1.0;$116.92;11/27/20, 10:00 AM;;$3.57;1.0;
50;MacdPerfect;Sell to Close;-1.0;$116.83;11/27/20, 10:05 AM;($0.09);$3.54;0.0;
51;MacdPerfect;Buy to Open;1.0;$116.88;11/27/20, 10:10 AM;;$3.61;1.0;
52;MacdPerfect;Sell to Close;-1.0;$117.04;11/27/20, 10:40 AM;$0.16;$3.69;0.0;
53;MacdPerfect;Buy to Open;1.0;$116.58;11/27/20, 1:00 PM;;$3.62;1.0;
54;MacdPerfect;Sell to Close;-1.0;$116.46;11/27/20, 1:35 PM;($0.12);$3.57;0.0;
55;MacdPerfect;Buy to Open;1.0;$118.59;11/30/20, 9:35 AM;;$3.92;1.0;
56;MacdPerfect;Sell to Close;-1.0;$118.88;11/30/20, 10:15 AM;$0.29;$3.87;0.0;
57;MacdPerfect;Buy to Open;1.0;$118.14;11/30/20, 11:40 AM;;$3.99;1.0;
58;MacdPerfect;Sell to Close;-1.0;$118.90;11/30/20, 12:35 PM;$0.75;$4.62;0.0;
59;MacdPerfect;Buy to Open;1.0;$121.86;12/1/20, 9:45 AM;;$4.74;1.0;
60;MacdPerfect;Sell to Close;-1.0;$122.23;12/1/20, 10:25 AM;$0.37;$4.99;0.0;
61;MacdPerfect;Buy to Open;1.0;$123.30;12/3/20, 9:35 AM;;$4.92;1.0;
62;MacdPerfect;Sell to Close;-1.0;$123.05;12/3/20, 9:40 AM;($0.26);$4.74;0.0;
63;MacdPerfect;Buy to Open;1.0;$123.00;12/3/20, 9:50 AM;;$4.57;1.0;
64;MacdPerfect;Sell to Close;-1.0;$123.00;12/3/20, 9:55 AM;$0.00;$4.74;0.0;
65;MacdPerfect;Buy to Open;1.0;$123.33;12/3/20, 10:20 AM;;$4.81;1.0;
66;MacdPerfect;Sell to Close;-1.0;$123.15;12/3/20, 10:25 AM;($0.17);$4.57;0.0;
67;MacdPerfect;Buy to Open;1.0;$123.11;12/3/20, 12:00 PM;;$4.58;1.0;
68;MacdPerfect;Sell to Close;-1.0;$122.95;12/3/20, 12:10 PM;($0.16);$4.41;0.0;
69;MacdPerfect;Buy to Open;1.0;$122.95;12/3/20, 12:25 PM;;$4.37;1.0;
70;MacdPerfect;Sell to Close;-1.0;$122.91;12/3/20, 12:55 PM;($0.04);$4.37;0.0;
71;MacdPerfect;Buy to Open;1.0;$122.91;12/3/20, 1:30 PM;;$4.30;1.0;
72;MacdPerfect;Sell to Close;-1.0;$122.82;12/3/20, 1:35 PM;($0.09);$4.28;0.0;
73;MacdPerfect;Buy to Open;1.0;$122.85;12/3/20, 2:10 PM;;$4.33;1.0;
74;MacdPerfect;Sell to Close;-1.0;$122.94;12/3/20, 2:50 PM;$0.09;$4.36;0.0;
75;MacdPerfect;Buy to Open;1.0;$123.01;12/3/20, 2:55 PM;;$4.39;1.0;
76;MacdPerfect;Sell to Close;-1.0;$122.96;12/3/20, 3:40 PM;($0.05);$4.31;0.0;
77;MacdPerfect;Buy to Open;1.0;$123.28;12/7/20, 9:35 AM;;$4.50;1.0;
78;MacdPerfect;Sell to Close;-1.0;$123.89;12/7/20, 10:20 AM;$0.61;$4.92;0.0;
79;MacdPerfect;Buy to Open;1.0;$123.89;12/8/20, 10:15 AM;;$4.69;1.0;
80;MacdPerfect;Sell to Close;-1.0;$123.46;12/8/20, 10:20 AM;($0.42);$4.50;0.0;
81;MacdPerfect;Buy to Open;1.0;$123.98;12/8/20, 12:00 PM;;$4.59;1.0;
82;MacdPerfect;Sell to Close;-1.0;$124.36;12/8/20, 1:00 PM;$0.39;$4.88;0.0;
83;MacdPerfect;Buy to Open;1.0;$123.56;12/9/20, 1:10 PM;;$4.75;1.0;
84;MacdPerfect;Sell to Close;-1.0;$123.31;12/9/20, 1:20 PM;($0.25);$4.63;0.0;
85;MacdPerfect;Buy to Open;1.0;$122.89;12/14/20, 9:35 AM;;$4.78;1.0;
86;MacdPerfect;Sell to Close;-1.0;$122.83;12/14/20, 10:05 AM;($0.06);$4.57;0.0;
87;MacdPerfect;Buy to Open;1.0;$122.98;12/14/20, 10:15 AM;;$4.53;1.0;
88;MacdPerfect;Sell to Close;-1.0;$122.94;12/14/20, 10:25 AM;($0.03);$4.54;0.0;
89;MacdPerfect;Buy to Open;1.0;$123.06;12/14/20, 11:15 AM;;$4.62;1.0;
90;MacdPerfect;Sell to Close;-1.0;$122.90;12/14/20, 11:30 AM;($0.17);$4.37;0.0;
91;MacdPerfect;Buy to Open;1.0;$122.97;12/14/20, 11:55 AM;;$4.35;1.0;
92;MacdPerfect;Sell to Close;-1.0;$122.76;12/14/20, 12:05 PM;($0.21);$4.16;0.0;
93;MacdPerfect;Buy to Open;1.0;$122.88;12/14/20, 12:15 PM;;$4.12;1.0;
94;MacdPerfect;Sell to Close;-1.0;$122.70;12/14/20, 12:45 PM;($0.17);$3.99;0.0;
95;MacdPerfect;Buy to Open;1.0;$122.41;12/14/20, 1:35 PM;;$3.96;1.0;
96;MacdPerfect;Sell to Close;-1.0;$122.29;12/14/20, 2:30 PM;($0.11);$3.87;0.0;
97;MacdPerfect;Buy to Open;1.0;$125.69;12/15/20, 9:35 AM;;$4.39;1.0;
98;MacdPerfect;Sell to Close;-1.0;$125.99;12/15/20, 10:10 AM;$0.30;$4.17;0.0;
99;MacdPerfect;Buy to Open;1.0;$125.87;12/15/20, 10:15 AM;;$4.20;1.0;
100;MacdPerfect;Sell to Close;-1.0;$125.85;12/15/20, 10:30 AM;($0.02);$4.16;0.0;
101;MacdPerfect;Buy to Open;1.0;$126.03;12/15/20, 11:40 AM;;$4.06;1.0;
102;MacdPerfect;Sell to Close;-1.0;$125.82;12/15/20, 11:45 AM;($0.21);$3.95;0.0;
103;MacdPerfect;Buy to Open;1.0;$125.98;12/15/20, 12:00 PM;;$3.97;1.0;
104;MacdPerfect;Sell to Close;-1.0;$126.55;12/15/20, 1:00 PM;$0.58;$4.52;0.0;
105;MacdPerfect;Buy to Open;1.0;$127.15;12/16/20, 11:05 AM;;$4.48;1.0;
106;MacdPerfect;Sell to Close;-1.0;$126.95;12/16/20, 11:15 AM;($0.20);$4.32;0.0;
107;MacdPerfect;Buy to Open;1.0;$129.37;12/17/20, 9:35 AM;;$4.50;1.0;
108;MacdPerfect;Sell to Close;-1.0;$128.94;12/17/20, 9:45 AM;($0.43);$3.89;0.0;
109;MacdPerfect;Buy to Open;1.0;$128.87;12/17/20, 9:50 AM;;$3.81;1.0;
110;MacdPerfect;Sell to Close;-1.0;$128.86;12/17/20, 9:55 AM;($0.01);$3.88;0.0;
111;MacdPerfect;Buy to Open;1.0;$128.75;12/17/20, 10:00 AM;;$3.68;1.0;
112;MacdPerfect;Sell to Close;-1.0;$128.51;12/17/20, 10:05 AM;($0.23);$3.65;0.0;
113;MacdPerfect;Buy to Open;1.0;$129.08;12/17/20, 10:40 AM;;$3.64;1.0;
114;MacdPerfect;Sell to Close;-1.0;$128.87;12/17/20, 10:55 AM;($0.22);$3.43;0.0;
115;MacdPerfect;Buy to Open;1.0;$128.43;12/17/20, 12:25 PM;;$3.42;1.0;
116;MacdPerfect;Sell to Close;-1.0;$128.26;12/17/20, 12:35 PM;($0.17);$3.27;0.0;
117;MacdPerfect;Buy to Open;1.0;$128.42;12/17/20, 12:45 PM;;$3.26;1.0;
118;MacdPerfect;Sell to Close;-1.0;$128.41;12/17/20, 1:40 PM;($0.02);$3.25;0.0;
119;MacdPerfect;Buy to Open;1.0;$128.42;12/17/20, 2:50 PM;;$3.25;1.0;
120;MacdPerfect;Sell to Close;-1.0;$128.73;12/17/20, 3:55 PM;$0.31;$3.56;0.0;
121;MacdPerfect;Buy to Open;1.0;$128.38;12/18/20, 9:30 AM;;$3.01;1.0;
122;MacdPerfect;Sell to Close;-1.0;$127.95;12/18/20, 9:35 AM;($0.43);$3.12;0.0;
123;MacdPerfect;Buy to Open;1.0;$127.80;12/18/20, 12:35 PM;;$3.10;1.0;
124;MacdPerfect;Sell to Close;-1.0;$127.67;12/18/20, 12:50 PM;($0.13);$2.99;0.0;
125;MacdPerfect;Buy to Open;1.0;$127.62;12/18/20, 1:00 PM;;$2.91;1.0;
126;MacdPerfect;Sell to Close;-1.0;$127.50;12/18/20, 1:10 PM;($0.12);$2.88;0.0;
127;MacdPerfect;Buy to Open;1.0;$131.35;12/22/20, 9:35 AM;;$3.31;1.0;
128;MacdPerfect;Sell to Close;-1.0;$133.38;12/22/20, 10:15 AM;$2.03;$4.90;0.0;
129;MacdPerfect;Buy to Open;1.0;$131.43;12/22/20, 12:00 PM;;$4.86;1.0;
130;MacdPerfect;Sell to Close;-1.0;$132.56;12/22/20, 1:30 PM;$1.13;$6.03;0.0;
131;MacdPerfect;Buy to Open;1.0;$132.10;12/22/20, 3:05 PM;;$5.88;1.0;
132;MacdPerfect;Sell to Close;-1.0;$131.89;12/22/20, 3:25 PM;($0.22);$5.82;0.0;
