Strategy report
Symbol: AAPL
Work Time: 5/10/21, 9:45 AM - 6/22/21, 3:03 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$128.71;5/10/21, 9:45 AM;;$19.99;100.0;
2;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$128.72;5/10/21, 9:49 AM;$0.90;$0.90;0.0;
3;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$128.30;5/10/21, 10:10 AM;;$6.86;100.0;
4;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$128.33;5/10/21, 10:16 AM;$3.00;$3.90;0.0;
5;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$128.43;5/10/21, 10:37 AM;;$2.78;100.0;
6;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$128.44;5/10/21, 10:43 AM;$1.05;$4.95;0.0;
7;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$128.08;5/10/21, 10:57 AM;$0.00;$5.95;-100.0;
8;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$128.08;5/10/21, 10:57 AM;;$4.95;0.0;
9;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$128.29;5/10/21, 11:44 AM;;$14.45;100.0;
10;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$128.33;5/10/21, 11:51 AM;$3.50;$8.45;0.0;
11;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$128.24;5/10/21, 12:50 PM;;$10.45;100.0;
12;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$128.24;5/10/21, 12:55 PM;($0.50);$7.95;0.0;
13;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$128.21;5/10/21, 1:39 PM;$0.00;$2.16;-100.0;
14;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$128.21;5/10/21, 1:39 PM;;$7.95;0.0;
15;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$127.19;5/10/21, 2:36 PM;;$12.45;100.0;
16;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$127.23;5/10/21, 2:41 PM;$4.00;$11.95;0.0;
17;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$127.07;5/10/21, 3:00 PM;;$15.45;100.0;
18;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$127.10;5/10/21, 3:07 PM;$3.00;$14.95;0.0;
19;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$127.22;5/10/21, 3:25 PM;;$8.04;100.0;
20;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$127.14;5/10/21, 3:26 PM;($7.80);$7.15;0.0;
21;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$127.26;5/10/21, 3:29 PM;;$0.15;100.0;
22;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$127.20;5/10/21, 3:30 PM;($6.50);$0.65;0.0;
23;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$123.99;5/11/21, 9:37 AM;$0.00;$23.15;-100.0;
24;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$123.99;5/11/21, 9:37 AM;;$0.65;0.0;
25;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$123.94;5/11/21, 9:40 AM;;$20.65;100.0;
