Strategy report
Symbol: AAPL
Work Time: 6/15/21, 9:38 AM - 6/22/21, 3:03 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$129.77;6/15/21, 9:38 AM;;$7.72;100.0;
2;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$129.67;6/15/21, 9:41 AM;($10.41);($10.41);0.0;
3;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$130.04;6/15/21, 9:43 AM;;($0.91);100.0;
4;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$130.15;6/15/21, 9:49 AM;$10.12;($0.29);0.0;
5;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$129.97;6/15/21, 10:08 AM;$0.00;($14.79);-100.0;
6;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$129.97;6/15/21, 10:08 AM;;($0.29);0.0;
7;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$129.79;6/15/21, 10:32 AM;$0.00;$5.56;-100.0;
8;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$129.79;6/15/21, 10:32 AM;;($0.29);0.0;
9;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$129.81;6/15/21, 10:35 AM;;($17.29);100.0;
10;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$129.65;6/15/21, 10:36 AM;($16.00);($16.29);0.0;
11;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$129.71;6/15/21, 10:41 AM;;($19.79);100.0;
12;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$129.64;6/15/21, 10:43 AM;($7.00);($23.29);0.0;
13;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$129.69;6/15/21, 10:48 AM;;($18.99);100.0;
14;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$129.72;6/15/21, 10:53 AM;$2.50;($20.79);0.0;
15;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$129.67;6/15/21, 11:42 AM;$0.00;($23.46);-100.0;
16;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$129.67;6/15/21, 11:42 AM;;($20.79);0.0;
17;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$129.82;6/15/21, 1:11 PM;;($22.99);100.0;
18;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$129.71;6/15/21, 1:16 PM;($11.00);($31.79);0.0;
19;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$129.79;6/15/21, 1:26 PM;;($33.55);100.0;
20;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$129.76;6/15/21, 1:29 PM;($2.76);($34.55);0.0;
21;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$129.87;6/15/21, 1:49 PM;;($32.05);100.0;
22;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$129.90;6/15/21, 1:56 PM;$3.11;($31.44);0.0;
23;StochasticEMAcrossoverStrategy(Buy);Buy to Open;100.0;$129.91;6/15/21, 2:08 PM;;($34.44);100.0;
24;StochasticEMAcrossoverStrategy(sell);Sell to Close;-100.0;$129.86;6/15/21, 2:10 PM;($4.50);($35.94);0.0;
