Strategy report
Symbol: AAPL
Work Time: 1/29/20, 10:30 AM - 6/21/21, 11:30 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;100.0;$81.13;1/29/20, 10:30 AM;;$58.25;100.0;
2;MACDStrategy(SELL);Sell to Close;-100.0;$81.81;1/30/20, 9:30 AM;$67.50;$67.50;0.0;
3;MACDStrategy(BUY);Buy to Open;100.0;$80.14;1/30/20, 10:30 AM;;$91.41;100.0;
4;MACDStrategy(SELL);Sell to Close;-100.0;$80.39;1/30/20, 12:30 PM;$24.91;$92.41;0.0;
5;MACDStrategy(BUY);Buy to Open;100.0;$76.07;2/3/20, 10:30 AM;;$304.66;100.0;
6;MACDStrategy(SELL);Sell to Close;-100.0;$80.61;2/6/20, 10:30 AM;$454.00;$546.41;0.0;
7;MACDStrategy(BUY);Buy to Open;100.0;$80.13;2/6/20, 11:30 AM;;$609.91;100.0;
8;MACDStrategy(SELL);Sell to Close;-100.0;$80.59;2/7/20, 10:30 AM;$46.25;$592.66;0.0;
9;MACDStrategy(BUY);Buy to Open;100.0;$79.96;2/10/20, 3:30 PM;;$634.72;100.0;
10;MACDStrategy(SELL);Sell to Close;-100.0;$80.61;2/11/20, 2:30 PM;$64.31;$656.97;0.0;
11;MACDStrategy(BUY);Buy to Open;100.0;$80.59;2/12/20, 11:30 AM;;$717.97;100.0;
12;MACDStrategy(SELL);Sell to Close;-100.0;$81.06;2/13/20, 10:30 AM;$47.25;$704.22;0.0;
13;MACDStrategy(BUY);Buy to Open;100.0;$81.00;2/13/20, 11:30 AM;;$744.32;100.0;
14;MACDStrategy(SELL);Sell to Close;-100.0;$81.31;2/14/20, 9:30 AM;$30.75;$734.97;0.0;
15;MACDStrategy(BUY);Buy to Open;100.0;$79.43;2/18/20, 2:30 PM;;$772.35;100.0;
16;MACDStrategy(SELL);Sell to Close;-100.0;$80.17;2/20/20, 12:30 PM;$74.63;$809.60;0.0;
17;MACDStrategy(BUY);Buy to Open;100.0;$73.06;2/25/20, 12:30 PM;;$862.33;100.0;
18;MACDStrategy(SELL);Sell to Close;-100.0;$70.28;2/27/20, 10:30 AM;($278.26);$531.33;0.0;
19;MACDStrategy(BUY);Buy to Open;100.0;$65.21;2/28/20, 11:30 AM;;$818.33;100.0;
20;MACDStrategy(SELL);Sell to Close;-100.0;$74.91;3/3/20, 11:30 AM;$970.00;$1,501.33;0.0;
21;MACDStrategy(BUY);Buy to Open;100.0;$72.98;3/3/20, 12:30 PM;;$1,488.08;100.0;
22;MACDStrategy(SELL);Sell to Close;-100.0;$73.47;3/3/20, 1:30 PM;$49.39;$1,550.73;0.0;
23;MACDStrategy(BUY);Buy to Open;100.0;$72.84;3/3/20, 2:30 PM;;$1,593.20;100.0;
24;MACDStrategy(SELL);Sell to Close;-100.0;$73.88;3/5/20, 10:30 AM;$104.25;$1,654.98;0.0;
25;MACDStrategy(BUY);Buy to Open;100.0;$74.44;3/5/20, 11:30 AM;;$1,630.26;100.0;
26;MACDStrategy(SELL);Sell to Close;-100.0;$74.73;3/5/20, 12:30 PM;$29.03;$1,684.01;0.0;
27;MACDStrategy(BUY);Buy to Open;100.0;$70.90;3/9/20, 9:30 AM;;$1,452.01;100.0;
28;MACDStrategy(SELL);Sell to Close;-100.0;$64.01;3/12/20, 10:30 AM;($689.00);$995.01;0.0;
29;MACDStrategy(BUY);Buy to Open;100.0;$66.22;3/13/20, 10:30 AM;;$797.73;100.0;
30;MACDStrategy(SELL);Sell to Close;-100.0;$63.58;3/16/20, 2:30 PM;($264.75);$730.26;0.0;
31;MACDStrategy(BUY);Buy to Open;100.0;$54.44;3/24/20, 9:30 AM;;$1,329.71;100.0;
32;MACDStrategy(SELL);Sell to Close;-100.0;$63.84;3/26/20, 9:30 AM;$939.75;$1,670.01;0.0;
33;MACDStrategy(BUY);Buy to Open;100.0;$61.63;3/26/20, 10:30 AM;;$1,828.51;100.0;
34;MACDStrategy(SELL);Sell to Close;-100.0;$63.19;3/27/20, 10:30 AM;$155.50;$1,825.51;0.0;
35;MACDStrategy(BUY);Buy to Open;100.0;$62.72;3/30/20, 11:30 AM;;$1,870.26;100.0;
36;MACDStrategy(SELL);Sell to Close;-100.0;$63.80;3/31/20, 2:30 PM;$107.50;$1,933.01;0.0;
37;MACDStrategy(BUY);Buy to Open;100.0;$60.39;4/2/20, 12:30 PM;;$1,890.01;100.0;
38;MACDStrategy(SELL);Sell to Close;-100.0;$66.36;4/7/20, 2:30 PM;$597.25;$2,530.26;0.0;
39;MACDStrategy(BUY);Buy to Open;100.0;$65.67;4/7/20, 3:30 PM;;$2,448.05;100.0;
40;MACDStrategy(SELL);Sell to Close;-100.0;$66.17;4/8/20, 1:30 PM;$49.67;$2,579.93;0.0;
41;MACDStrategy(BUY);Buy to Open;100.0;$67.36;4/13/20, 3:30 PM;;$2,674.93;100.0;
42;MACDStrategy(SELL);Sell to Close;-100.0;$70.58;4/15/20, 10:30 AM;$322.50;$2,902.43;0.0;
43;MACDStrategy(BUY);Buy to Open;100.0;$70.00;4/20/20, 9:30 AM;;$2,911.43;100.0;
44;MACDStrategy(SELL);Sell to Close;-100.0;$70.07;4/20/20, 12:30 PM;$6.75;$2,909.18;0.0;
45;MACDStrategy(BUY);Buy to Open;100.0;$67.36;4/21/20, 2:30 PM;;$2,920.43;100.0;
46;MACDStrategy(SELL);Sell to Close;-100.0;$70.06;4/23/20, 1:30 PM;$270.25;$3,179.43;0.0;
47;MACDStrategy(BUY);Buy to Open;100.0;$69.36;4/23/20, 2:30 PM;;$3,151.41;100.0;
48;MACDStrategy(SELL);Sell to Close;-100.0;$70.78;4/27/20, 12:30 PM;$142.00;$3,321.43;0.0;
49;MACDStrategy(BUY);Buy to Open;100.0;$70.44;4/27/20, 1:30 PM;;$3,338.68;100.0;
50;MACDStrategy(SELL);Sell to Close;-100.0;$70.82;4/28/20, 11:30 AM;$38.00;$3,359.43;0.0;
51;MACDStrategy(BUY);Buy to Open;100.0;$71.18;4/29/20, 10:30 AM;;$3,429.43;100.0;
52;MACDStrategy(SELL);Sell to Close;-100.0;$72.18;4/30/20, 9:30 AM;$99.25;$3,458.68;0.0;
53;MACDStrategy(BUY);Buy to Open;100.0;$72.49;4/30/20, 10:30 AM;;$3,486.16;100.0;
54;MACDStrategy(SELL);Sell to Close;-100.0;$72.76;4/30/20, 12:30 PM;$26.75;$3,485.43;0.0;
55;MACDStrategy(BUY);Buy to Open;100.0;$72.36;4/30/20, 1:30 PM;;$3,528.26;100.0;
56;MACDStrategy(SELL);Sell to Close;-100.0;$73.76;5/1/20, 12:30 PM;$139.61;$3,625.03;0.0;
57;MACDStrategy(BUY);Buy to Open;100.0;$72.75;5/4/20, 3:30 PM;;$3,679.53;100.0;
58;MACDStrategy(SELL);Sell to Close;-100.0;$75.56;5/6/20, 1:30 PM;$281.25;$3,906.28;0.0;
59;MACDStrategy(BUY);Buy to Open;100.0;$75.44;5/6/20, 2:30 PM;;$3,927.53;100.0;
60;MACDStrategy(SELL);Sell to Close;-100.0;$75.65;5/7/20, 9:30 AM;$21.00;$3,927.28;0.0;
61;MACDStrategy(BUY);Buy to Open;100.0;$75.80;5/7/20, 10:30 AM;;$3,926.16;100.0;
62;MACDStrategy(SELL);Sell to Close;-100.0;$75.99;5/7/20, 11:30 AM;$18.76;$3,946.04;0.0;
63;MACDStrategy(BUY);Buy to Open;100.0;$75.79;5/7/20, 12:30 PM;;$3,963.79;100.0;
64;MACDStrategy(SELL);Sell to Close;-100.0;$76.07;5/7/20, 1:30 PM;$27.25;$3,973.29;0.0;
65;MACDStrategy(BUY);Buy to Open;100.0;$76.58;5/8/20, 12:30 PM;;$4,005.16;100.0;
66;MACDStrategy(SELL);Sell to Close;-100.0;$79.00;5/12/20, 9:30 AM;$241.50;$4,214.79;0.0;
67;MACDStrategy(BUY);Buy to Open;100.0;$79.48;5/12/20, 10:30 AM;;$4,221.78;100.0;
68;MACDStrategy(SELL);Sell to Close;-100.0;$79.66;5/12/20, 1:30 PM;$18.25;$4,233.04;0.0;
69;MACDStrategy(BUY);Buy to Open;100.0;$76.06;5/14/20, 1:30 PM;;$4,290.03;100.0;
70;MACDStrategy(SELL);Sell to Close;-100.0;$75.09;5/15/20, 10:30 AM;($96.75);$4,136.29;0.0;
71;MACDStrategy(BUY);Buy to Open;100.0;$78.15;5/18/20, 11:30 AM;;$4,191.17;100.0;
72;MACDStrategy(SELL);Sell to Close;-100.0;$79.39;5/19/20, 2:30 PM;$124.50;$4,260.79;0.0;
73;MACDStrategy(BUY);Buy to Open;100.0;$79.15;5/19/20, 3:30 PM;;$4,171.54;100.0;
74;MACDStrategy(SELL);Sell to Close;-100.0;$78.99;5/20/20, 9:30 AM;($16.00);$4,244.79;0.0;
75;MACDStrategy(BUY);Buy to Open;100.0;$79.17;5/20/20, 10:30 AM;;$4,313.04;100.0;
76;MACDStrategy(SELL);Sell to Close;-100.0;$79.47;5/20/20, 2:30 PM;$29.75;$4,274.54;0.0;
77;MACDStrategy(BUY);Buy to Open;100.0;$79.32;5/22/20, 1:30 PM;;$4,298.67;100.0;
78;MACDStrategy(SELL);Sell to Close;-100.0;$80.24;5/26/20, 2:30 PM;$92.25;$4,366.79;0.0;
79;MACDStrategy(BUY);Buy to Open;100.0;$79.03;5/27/20, 3:30 PM;;$4,416.04;100.0;
80;MACDStrategy(SELL);Sell to Close;-100.0;$79.85;5/29/20, 10:30 AM;$82.00;$4,448.79;0.0;
81;MACDStrategy(BUY);Buy to Open;100.0;$79.99;5/29/20, 3:30 PM;;$4,398.04;100.0;
82;MACDStrategy(SELL);Sell to Close;-100.0;$80.13;6/1/20, 9:30 AM;$14.25;$4,463.04;0.0;
83;MACDStrategy(BUY);Buy to Open;100.0;$79.45;6/1/20, 10:30 AM;;$4,521.79;100.0;
84;MACDStrategy(SELL);Sell to Close;-100.0;$80.50;6/2/20, 11:30 AM;$105.25;$4,568.29;0.0;
85;MACDStrategy(BUY);Buy to Open;100.0;$80.41;6/2/20, 2:30 PM;;$4,573.04;100.0;
86;MACDStrategy(SELL);Sell to Close;-100.0;$80.99;6/3/20, 12:30 PM;$57.50;$4,625.79;0.0;
87;MACDStrategy(BUY);Buy to Open;100.0;$80.76;6/3/20, 1:30 PM;;$4,653.79;100.0;
88;MACDStrategy(SELL);Sell to Close;-100.0;$81.29;6/4/20, 11:30 AM;$52.75;$4,678.54;0.0;
89;MACDStrategy(BUY);Buy to Open;100.0;$80.85;6/5/20, 10:30 AM;;$4,816.04;100.0;
90;MACDStrategy(SELL);Sell to Close;-100.0;$82.56;6/8/20, 10:30 AM;$171.25;$4,849.79;0.0;
91;MACDStrategy(BUY);Buy to Open;100.0;$82.13;6/8/20, 11:30 AM;;$4,886.29;100.0;
92;MACDStrategy(SELL);Sell to Close;-100.0;$86.09;6/10/20, 9:30 AM;$396.00;$5,245.79;0.0;
93;MACDStrategy(BUY);Buy to Open;100.0;$86.98;6/10/20, 10:30 AM;;$5,353.66;100.0;
94;MACDStrategy(SELL);Sell to Close;-100.0;$88.60;6/11/20, 9:30 AM;$162.75;$5,408.54;0.0;
95;MACDStrategy(BUY);Buy to Open;100.0;$86.18;6/12/20, 10:30 AM;;$5,235.04;100.0;
96;MACDStrategy(SELL);Sell to Close;-100.0;$85.34;6/12/20, 1:30 PM;($83.25);$5,325.29;0.0;
97;MACDStrategy(BUY);Buy to Open;100.0;$83.88;6/15/20, 11:30 AM;;$5,422.29;100.0;
98;MACDStrategy(SELL);Sell to Close;-100.0;$88.05;6/16/20, 3:30 PM;$417.23;$5,742.52;0.0;
99;MACDStrategy(BUY);Buy to Open;100.0;$87.61;6/17/20, 9:30 AM;;$5,811.27;100.0;
100;MACDStrategy(SELL);Sell to Close;-100.0;$88.73;6/17/20, 2:30 PM;$112.50;$5,855.02;0.0;
101;MACDStrategy(BUY);Buy to Open;100.0;$88.70;6/17/20, 3:30 PM;;$5,766.12;100.0;
102;MACDStrategy(SELL);Sell to Close;-100.0;$88.14;6/18/20, 9:30 AM;($55.75);$5,799.27;0.0;
103;MACDStrategy(BUY);Buy to Open;100.0;$86.94;6/22/20, 9:30 AM;;$5,978.02;100.0;
104;MACDStrategy(SELL);Sell to Close;-100.0;$92.53;6/23/20, 3:30 PM;$559.10;$6,358.37;0.0;
105;MACDStrategy(BUY);Buy to Open;100.0;$91.73;6/24/20, 9:30 AM;;$6,314.87;100.0;
106;MACDStrategy(SELL);Sell to Close;-100.0;$91.29;6/24/20, 11:30 AM;($44.50);$6,313.87;0.0;
107;MACDStrategy(BUY);Buy to Open;100.0;$90.27;6/25/20, 3:30 PM;;$6,408.62;100.0;
108;MACDStrategy(SELL);Sell to Close;-100.0;$89.77;6/26/20, 12:30 PM;($50.75);$6,263.12;0.0;
109;MACDStrategy(BUY);Buy to Open;100.0;$88.36;6/29/20, 10:30 AM;;$6,418.62;100.0;
110;MACDStrategy(SELL);Sell to Close;-100.0;$91.48;7/1/20, 2:30 PM;$312.25;$6,575.37;0.0;
111;MACDStrategy(BUY);Buy to Open;100.0;$91.41;7/1/20, 3:30 PM;;$6,534.87;100.0;
112;MACDStrategy(SELL);Sell to Close;-100.0;$91.14;7/2/20, 9:30 AM;($27.12);$6,548.24;0.0;
