Strategy report
Symbol: AMC
Work Time: 5/7/21, 9:45 AM - 6/18/21, 10:15 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;Supertrend_macd(Buy);Buy to Open;1.0;$9.52;5/7/21, 9:45 AM;;($0.01);1.0;
2;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$11.36;5/13/21, 9:45 AM;$1.84;$1.84;0.0;
3;Supertrend_macd(Buy);Buy to Open;1.0;$11.62;5/13/21, 10:00 AM;;$1.96;1.0;
4;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$12.96;5/13/21, 1:45 PM;$1.34;$3.18;0.0;
5;Supertrend_macd(Buy);Buy to Open;1.0;$13.45;5/13/21, 2:00 PM;;$3.29;1.0;
6;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$13.31;5/14/21, 9:30 AM;($0.14);$3.04;0.0;
7;Supertrend_macd(Buy);Buy to Open;1.0;$14.00;5/14/21, 11:00 AM;;$3.08;1.0;
8;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$13.39;5/14/21, 12:15 PM;($0.62);$2.43;0.0;
9;Supertrend_macd(Buy);Buy to Open;1.0;$14.00;5/17/21, 10:00 AM;;$2.61;1.0;
10;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$13.27;5/19/21, 9:45 AM;($0.73);$1.70;0.0;
11;Supertrend_macd(Buy);Buy to Open;1.0;$12.41;5/19/21, 3:30 PM;;$1.68;1.0;
12;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$13.72;5/24/21, 11:15 AM;$1.31;$3.01;0.0;
13;Supertrend_macd(Buy);Buy to Open;1.0;$13.57;5/24/21, 11:30 AM;;$3.05;1.0;
14;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$14.85;5/25/21, 10:45 AM;$1.28;$4.29;0.0;
15;Supertrend_macd(Buy);Buy to Open;1.0;$14.61;5/25/21, 11:00 AM;;$4.37;1.0;
16;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$15.88;5/25/21, 3:45 PM;$1.27;$5.56;0.0;
17;Supertrend_macd(Buy);Buy to Open;1.0;$17.76;5/26/21, 9:30 AM;;$5.75;1.0;
18;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$19.20;5/26/21, 11:30 AM;$1.44;$7.00;0.0;
19;Supertrend_macd(Buy);Buy to Open;1.0;$19.26;5/26/21, 11:45 AM;;$7.06;1.0;
20;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$18.54;5/26/21, 1:00 PM;($0.72);$6.28;0.0;
21;Supertrend_macd(Buy);Buy to Open;1.0;$21.62;5/27/21, 10:15 AM;;$7.63;1.0;
22;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$22.99;5/27/21, 10:30 AM;$1.38;$7.65;0.0;
23;Supertrend_macd(Buy);Buy to Open;1.0;$22.40;5/27/21, 10:45 AM;;$7.92;1.0;
24;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$24.17;5/27/21, 1:15 PM;$1.77;$9.42;0.0;
25;Supertrend_macd(Buy);Buy to Open;1.0;$25.43;5/27/21, 1:30 PM;;$10.48;1.0;
26;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$29.42;5/27/21, 2:00 PM;$4.00;$13.41;0.0;
27;Supertrend_macd(Buy);Buy to Open;1.0;$25.56;5/27/21, 2:15 PM;;$15.31;1.0;
28;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$27.47;5/27/21, 2:30 PM;$1.91;$15.33;0.0;
29;Supertrend_macd(Buy);Buy to Open;1.0;$27.86;5/27/21, 2:45 PM;;$16.07;1.0;
30;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$27.17;5/27/21, 3:45 PM;($0.69);$14.64;0.0;
31;Supertrend_macd(Buy);Buy to Open;1.0;$32.66;5/28/21, 9:45 AM;;$15.84;1.0;
32;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$31.62;5/28/21, 10:15 AM;($1.04);$13.60;0.0;
33;Supertrend_macd(Buy);Buy to Open;1.0;$30.32;6/1/21, 9:45 AM;;$14.07;1.0;
34;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$29.15;6/1/21, 10:30 AM;($1.17);$12.43;0.0;
35;Supertrend_macd(Buy);Buy to Open;1.0;$29.67;6/1/21, 10:45 AM;;$11.68;1.0;
36;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$28.92;6/1/21, 11:00 AM;($0.75);$11.68;0.0;
37;Supertrend_macd(Buy);Buy to Open;1.0;$30.05;6/1/21, 11:15 AM;;$11.89;1.0;
38;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$31.50;6/1/21, 12:15 PM;$1.45;$13.13;0.0;
39;Supertrend_macd(Buy);Buy to Open;1.0;$31.38;6/1/21, 12:30 PM;;$12.77;1.0;
40;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$30.80;6/1/21, 1:00 PM;($0.57);$12.56;0.0;
41;Supertrend_macd(Buy);Buy to Open;1.0;$31.52;6/1/21, 1:15 PM;;$11.89;1.0;
42;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$30.86;6/1/21, 1:30 PM;($0.66);$11.90;0.0;
43;Supertrend_macd(Buy);Buy to Open;1.0;$31.21;6/1/21, 1:45 PM;;$11.94;1.0;
44;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$39.13;6/2/21, 9:45 AM;$7.92;$19.82;0.0;
45;Supertrend_macd(Buy);Buy to Open;1.0;$41.14;6/2/21, 10:00 AM;;$18.85;1.0;
46;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$40.13;6/2/21, 10:15 AM;($1.01);$18.81;0.0;
47;Supertrend_macd(Buy);Buy to Open;1.0;$40.40;6/2/21, 10:30 AM;;$18.16;1.0;
48;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$39.74;6/2/21, 10:45 AM;($0.66);$18.14;0.0;
49;Supertrend_macd(Buy);Buy to Open;1.0;$40.44;6/2/21, 11:00 AM;;$18.44;1.0;
50;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$43.35;6/2/21, 11:30 AM;$2.91;$21.05;0.0;
51;Supertrend_macd(Buy);Buy to Open;1.0;$44.00;6/2/21, 11:45 AM;;$24.15;1.0;
52;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$47.12;6/2/21, 12:00 PM;$3.12;$24.17;0.0;
53;Supertrend_macd(Buy);Buy to Open;1.0;$49.50;6/2/21, 12:15 PM;;$36.39;1.0;
54;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$59.31;6/2/21, 12:30 PM;$9.81;$33.98;0.0;
55;Supertrend_macd(Buy);Buy to Open;1.0;$56.76;6/2/21, 12:45 PM;;$35.07;1.0;
56;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$69.29;6/2/21, 1:15 PM;$12.53;$46.51;0.0;
57;Supertrend_macd(Buy);Buy to Open;1.0;$65.57;6/2/21, 1:30 PM;;$38.52;1.0;
58;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$60.66;6/2/21, 1:45 PM;($4.91);$41.60;0.0;
59;Supertrend_macd(Buy);Buy to Open;1.0;$62.38;6/2/21, 2:00 PM;;$41.98;1.0;
60;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$61.84;6/2/21, 2:30 PM;($0.54);$41.06;0.0;
61;Supertrend_macd(Buy);Buy to Open;1.0;$62.06;6/2/21, 2:45 PM;;$41.10;1.0;
62;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$67.98;6/2/21, 3:15 PM;$5.92;$46.98;0.0;
63;Supertrend_macd(Buy);Buy to Open;1.0;$57.60;6/3/21, 1:30 PM;;$49.74;1.0;
64;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$60.36;6/3/21, 1:45 PM;$2.76;$49.74;0.0;
65;Supertrend_macd(Buy);Buy to Open;1.0;$67.26;6/3/21, 2:00 PM;;$49.18;1.0;
66;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$66.70;6/3/21, 2:15 PM;($0.56);$49.17;0.0;
67;Supertrend_macd(Buy);Buy to Open;1.0;$54.41;6/7/21, 9:45 AM;;$53.52;1.0;
68;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$58.74;6/7/21, 10:00 AM;$4.33;$53.50;0.0;
69;Supertrend_macd(Buy);Buy to Open;1.0;$55.22;6/7/21, 10:15 AM;;$53.40;1.0;
70;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$58.69;6/7/21, 1:00 PM;$3.47;$56.98;0.0;
71;Supertrend_macd(Buy);Buy to Open;1.0;$58.28;6/7/21, 1:15 PM;;$56.53;1.0;
72;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$54.45;6/7/21, 2:00 PM;($3.82);$53.15;0.0;
73;Supertrend_macd(Buy);Buy to Open;1.0;$59.39;6/8/21, 10:00 AM;;$53.73;1.0;
74;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$58.63;6/8/21, 10:30 AM;($0.76);$52.39;0.0;
75;Supertrend_macd(Buy);Buy to Open;1.0;$57.84;6/8/21, 10:45 AM;;$51.28;1.0;
76;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$56.72;6/8/21, 11:00 AM;($1.12);$51.27;0.0;
77;Supertrend_macd(Buy);Buy to Open;1.0;$52.20;6/9/21, 9:30 AM;;$48.57;1.0;
78;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$49.48;6/9/21, 9:45 AM;($2.72);$48.55;0.0;
79;Supertrend_macd(Buy);Buy to Open;1.0;$50.32;6/9/21, 3:00 PM;;$48.42;1.0;
80;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$47.93;6/10/21, 9:30 AM;($2.39);$46.16;0.0;
81;Supertrend_macd(Buy);Buy to Open;1.0;$44.32;6/11/21, 12:15 PM;;$46.27;1.0;
82;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$46.35;6/11/21, 1:00 PM;$2.02;$48.19;0.0;
83;Supertrend_macd(Buy);Buy to Open;1.0;$47.98;6/11/21, 1:15 PM;;$47.68;1.0;
84;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$47.47;6/11/21, 1:30 PM;($0.51);$47.68;0.0;
85;Supertrend_macd(Buy);Buy to Open;1.0;$47.49;6/11/21, 1:45 PM;;$48.78;1.0;
86;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$46.09;6/11/21, 2:45 PM;($1.40);$46.28;0.0;
87;Supertrend_macd(Buy);Buy to Open;1.0;$46.54;6/11/21, 3:00 PM;;$46.98;1.0;
88;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$48.39;6/11/21, 3:30 PM;$1.85;$48.12;0.0;
89;Supertrend_macd(Buy);Buy to Open;1.0;$49.01;6/11/21, 3:45 PM;;$48.42;1.0;
90;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$52.58;6/14/21, 9:45 AM;$3.57;$51.69;0.0;
91;Supertrend_macd(Buy);Buy to Open;1.0;$52.54;6/14/21, 10:00 AM;;$54.30;1.0;
92;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$55.14;6/14/21, 10:15 AM;$2.60;$54.29;0.0;
93;Supertrend_macd(Buy);Buy to Open;1.0;$54.02;6/14/21, 10:30 AM;;$55.30;1.0;
94;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$58.12;6/14/21, 11:00 AM;$4.09;$58.38;0.0;
95;Supertrend_macd(Buy);Buy to Open;1.0;$57.94;6/14/21, 11:15 AM;;$57.39;1.0;
96;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$56.95;6/14/21, 11:30 AM;($0.99);$57.39;0.0;
97;Supertrend_macd(Buy);Buy to Open;1.0;$58.10;6/14/21, 11:45 AM;;$57.35;1.0;
98;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$57.57;6/14/21, 1:15 PM;($0.53);$56.85;0.0;
99;Supertrend_macd(Buy);Buy to Open;1.0;$62.83;6/15/21, 10:30 AM;;$56.08;1.0;
100;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$62.07;6/15/21, 10:45 AM;($0.76);$56.09;0.0;
101;Supertrend_macd(Buy);Buy to Open;1.0;$63.08;6/15/21, 11:00 AM;;$56.08;1.0;
102;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$61.92;6/15/21, 11:45 AM;($1.15);$54.94;0.0;
103;Supertrend_macd(Buy);Buy to Open;1.0;$53.87;6/16/21, 1:45 PM;;$55.21;1.0;
104;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$53.31;6/16/21, 2:15 PM;($0.56);$54.38;0.0;
105;Supertrend_macd(Buy);Buy to Open;1.0;$53.24;6/16/21, 2:30 PM;;$54.03;1.0;
