Strategy report
Symbol: AMC
Work Time: 5/4/21, 9:45 AM - 6/16/21, 12:00 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;Supertrend_macd(Sell);Sell to Open;-100.0;$9.35;5/4/21, 9:45 AM;;$13.69;-100.0;
2;Supertrend_macd(CloseSell);Buy to Close;100.0;$9.95;5/11/21, 9:45 AM;($60.20);($60.20);0.0;
3;Supertrend_macd(Buy);Buy to Open;100.0;$10.18;5/11/21, 10:00 AM;;($79.31);100.0;
4;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$11.62;5/13/21, 10:00 AM;$144.01;$83.81;0.0;
5;Supertrend_macd(Buy);Buy to Open;100.0;$11.75;5/13/21, 10:15 AM;;$104.20;100.0;
6;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$13.45;5/13/21, 2:00 PM;$170.62;$254.43;0.0;
7;Supertrend_macd(Buy);Buy to Open;100.0;$13.56;5/13/21, 2:15 PM;;$230.53;100.0;
8;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$13.31;5/14/21, 9:30 AM;($25.00);$229.43;0.0;
9;Supertrend_macd(Buy);Buy to Open;100.0;$14.00;5/14/21, 11:00 AM;;$233.54;100.0;
10;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$13.39;5/14/21, 12:15 PM;($61.50);$167.93;0.0;
11;Supertrend_macd(Sell);Sell to Open;-100.0;$13.23;5/14/21, 12:30 PM;;$161.63;-100.0;
12;Supertrend_macd(CloseSell);Buy to Close;100.0;$13.91;5/17/21, 9:45 AM;($68.49);$99.44;0.0;
13;Supertrend_macd(Buy);Buy to Open;100.0;$14.00;5/17/21, 10:00 AM;;$117.44;100.0;
14;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$13.27;5/19/21, 9:45 AM;($72.51);$26.93;0.0;
15;Supertrend_macd(Sell);Sell to Open;-100.0;$12.83;5/19/21, 10:00 AM;;$19.22;-100.0;
16;Supertrend_macd(CloseSell);Buy to Close;100.0;$13.47;5/24/21, 11:00 AM;($63.70);($36.77);0.0;
17;Supertrend_macd(Buy);Buy to Open;100.0;$13.72;5/24/21, 11:15 AM;;($51.62);100.0;
18;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$15.04;5/25/21, 2:30 PM;$132.00;$95.23;0.0;
19;Supertrend_macd(Buy);Buy to Open;100.0;$15.67;5/25/21, 2:45 PM;;$55.95;100.0;
20;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$17.97;5/26/21, 9:45 AM;$229.12;$324.35;0.0;
21;Supertrend_macd(Buy);Buy to Open;100.0;$18.60;5/26/21, 10:00 AM;;$314.45;100.0;
22;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$20.56;5/27/21, 10:00 AM;$196.10;$520.45;0.0;
23;Supertrend_macd(Buy);Buy to Open;100.0;$21.62;5/27/21, 10:15 AM;;$655.95;100.0;
24;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$22.99;5/27/21, 10:30 AM;$137.50;$657.95;0.0;
25;Supertrend_macd(Buy);Buy to Open;100.0;$22.40;5/27/21, 10:45 AM;;$684.36;100.0;
26;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$24.17;5/27/21, 1:15 PM;$176.67;$834.62;0.0;
27;Supertrend_macd(Buy);Buy to Open;100.0;$25.43;5/27/21, 1:30 PM;;$941.02;100.0;
28;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$29.42;5/27/21, 2:00 PM;$399.50;$1,234.12;0.0;
29;Supertrend_macd(Buy);Buy to Open;100.0;$25.56;5/27/21, 2:15 PM;;$1,424.16;100.0;
30;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$27.47;5/27/21, 2:30 PM;$191.15;$1,425.27;0.0;
31;Supertrend_macd(Buy);Buy to Open;100.0;$27.86;5/27/21, 2:45 PM;;$1,499.92;100.0;
32;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$27.17;5/27/21, 3:45 PM;($68.85);$1,356.42;0.0;
33;Supertrend_macd(Buy);Buy to Open;100.0;$32.66;5/28/21, 9:45 AM;;$1,476.74;100.0;
34;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$31.62;5/28/21, 10:15 AM;($103.67);$1,252.75;0.0;
35;Supertrend_macd(Sell);Sell to Open;-100.0;$30.36;5/28/21, 11:00 AM;;$1,187.21;-100.0;
36;Supertrend_macd(CloseSell);Buy to Close;100.0;$31.02;5/28/21, 11:15 AM;($65.49);$1,187.26;0.0;
37;Supertrend_macd(Sell);Sell to Open;-100.0;$29.87;5/28/21, 11:30 AM;;$1,470.76;-100.0;
38;Supertrend_macd(CloseSell);Buy to Close;100.0;$27.02;5/28/21, 11:45 AM;$285.00;$1,472.26;0.0;
39;Supertrend_macd(Sell);Sell to Open;-100.0;$26.28;5/28/21, 12:00 PM;;$1,503.02;-100.0;
40;Supertrend_macd(CloseSell);Buy to Close;100.0;$27.29;5/28/21, 12:30 PM;($101.46);$1,370.80;0.0;
41;Supertrend_macd(Sell);Sell to Open;-100.0;$27.55;5/28/21, 12:45 PM;;$1,555.81;-100.0;
