Strategy report
Symbol: AMC
Work Time: 5/4/21, 9:45 AM - 6/16/21, 12:00 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;Supertrend_macd(Sell);Sell to Open;-100.0;$9.35;5/4/21, 9:45 AM;;$13.69;-100.0;
2;Supertrend_macd(CloseSell);Buy to Close;100.0;$9.95;5/11/21, 9:45 AM;($60.20);($60.20);0.0;
3;Supertrend_macd(Buy);Buy to Open;100.0;$10.18;5/11/21, 10:00 AM;;($79.31);100.0;
4;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$11.36;5/13/21, 9:45 AM;$117.81;$57.61;0.0;
5;Supertrend_macd(Buy);Buy to Open;100.0;$11.62;5/13/21, 10:00 AM;;$69.59;100.0;
6;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$12.96;5/13/21, 1:45 PM;$133.88;$191.49;0.0;
7;Supertrend_macd(Buy);Buy to Open;100.0;$13.45;5/13/21, 2:00 PM;;$202.37;100.0;
8;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$13.31;5/14/21, 9:30 AM;($14.12);$177.37;0.0;
9;Supertrend_macd(Buy);Buy to Open;100.0;$14.00;5/14/21, 11:00 AM;;$181.48;100.0;
10;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$13.39;5/14/21, 12:15 PM;($61.50);$115.87;0.0;
11;Supertrend_macd(Sell);Sell to Open;-100.0;$13.23;5/14/21, 12:30 PM;;$109.57;-100.0;
12;Supertrend_macd(CloseSell);Buy to Close;100.0;$13.91;5/17/21, 9:45 AM;($68.49);$47.38;0.0;
13;Supertrend_macd(Buy);Buy to Open;100.0;$14.00;5/17/21, 10:00 AM;;$65.38;100.0;
14;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$13.27;5/19/21, 9:45 AM;($72.51);($25.13);0.0;
15;Supertrend_macd(Sell);Sell to Open;-100.0;$12.83;5/19/21, 10:00 AM;;($32.84);-100.0;
16;Supertrend_macd(CloseSell);Buy to Close;100.0;$13.47;5/24/21, 11:00 AM;($63.70);($88.83);0.0;
17;Supertrend_macd(Buy);Buy to Open;100.0;$13.72;5/24/21, 11:15 AM;;($103.68);100.0;
18;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$14.85;5/25/21, 10:45 AM;$113.00;$24.17;0.0;
19;Supertrend_macd(Buy);Buy to Open;100.0;$14.61;5/25/21, 11:00 AM;;$31.90;100.0;
20;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$15.67;5/25/21, 2:45 PM;$106.11;$130.28;0.0;
21;Supertrend_macd(Buy);Buy to Open;100.0;$15.29;5/25/21, 3:00 PM;;$159.28;100.0;
22;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$17.76;5/26/21, 9:30 AM;$247.50;$377.78;0.0;
23;Supertrend_macd(Buy);Buy to Open;100.0;$17.97;5/26/21, 9:45 AM;;$440.35;100.0;
24;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$19.20;5/26/21, 11:30 AM;$123.50;$501.28;0.0;
25;Supertrend_macd(Buy);Buy to Open;100.0;$19.26;5/26/21, 11:45 AM;;$507.19;100.0;
26;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$18.54;5/26/21, 1:00 PM;($72.21);$429.07;0.0;
27;Supertrend_macd(Sell);Sell to Open;-100.0;$18.99;5/26/21, 1:15 PM;;$421.46;-100.0;
28;Supertrend_macd(CloseSell);Buy to Close;100.0;$19.53;5/26/21, 2:45 PM;($54.38);$374.69;0.0;
29;Supertrend_macd(Sell);Sell to Open;-100.0;$18.96;5/27/21, 9:45 AM;;$213.69;-100.0;
30;Supertrend_macd(CloseSell);Buy to Close;100.0;$20.56;5/27/21, 10:00 AM;($160.00);$214.69;0.0;
31;Supertrend_macd(Buy);Buy to Open;100.0;$21.62;5/27/21, 10:15 AM;;$350.19;100.0;
32;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$22.99;5/27/21, 10:30 AM;$137.50;$352.19;0.0;
33;Supertrend_macd(Buy);Buy to Open;100.0;$22.40;5/27/21, 10:45 AM;;$378.60;100.0;
34;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$23.42;5/27/21, 1:00 PM;$102.00;$454.19;0.0;
35;Supertrend_macd(Buy);Buy to Open;100.0;$24.17;5/27/21, 1:15 PM;;$580.31;100.0;
36;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$25.43;5/27/21, 1:30 PM;$125.83;$580.02;0.0;
37;Supertrend_macd(Buy);Buy to Open;100.0;$26.49;5/27/21, 1:45 PM;;$870.54;100.0;
38;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$29.42;5/27/21, 2:00 PM;$293.09;$873.11;0.0;
39;Supertrend_macd(Buy);Buy to Open;100.0;$25.56;5/27/21, 2:15 PM;;$1,063.15;100.0;
40;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$27.47;5/27/21, 2:30 PM;$191.15;$1,064.26;0.0;
41;Supertrend_macd(Buy);Buy to Open;100.0;$27.86;5/27/21, 2:45 PM;;$1,138.91;100.0;
42;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$27.17;5/27/21, 3:45 PM;($68.85);$995.41;0.0;
