Strategy report
Symbol: AMC
Work Time: 5/7/21, 9:45 AM - 6/17/21, 2:15 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;Supertrend_macd(Buy);Buy to Open;1.0;$9.52;5/7/21, 9:45 AM;;($0.01);1.0;
2;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$11.36;5/13/21, 9:45 AM;$1.84;$1.84;0.0;
3;Supertrend_macd(Buy);Buy to Open;1.0;$14.00;5/17/21, 10:00 AM;;$2.02;1.0;
4;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$13.27;5/19/21, 9:45 AM;($0.73);$1.12;0.0;
5;Supertrend_macd(Buy);Buy to Open;1.0;$12.54;5/20/21, 12:00 PM;;$1.10;1.0;
6;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$13.81;5/24/21, 2:30 PM;$1.28;$2.40;0.0;
7;Supertrend_macd(Buy);Buy to Open;1.0;$30.32;6/1/21, 9:45 AM;;$2.87;1.0;
8;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$29.15;6/1/21, 10:30 AM;($1.17);$1.23;0.0;
9;Supertrend_macd(Buy);Buy to Open;1.0;$29.67;6/1/21, 10:45 AM;;$0.48;1.0;
10;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$28.92;6/1/21, 11:00 AM;($0.75);$0.48;0.0;
11;Supertrend_macd(Buy);Buy to Open;1.0;$30.05;6/1/21, 11:15 AM;;$0.68;1.0;
12;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$31.50;6/1/21, 12:15 PM;$1.45;$1.93;0.0;
13;Supertrend_macd(Buy);Buy to Open;1.0;$31.38;6/1/21, 12:30 PM;;$1.57;1.0;
14;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$30.80;6/1/21, 1:00 PM;($0.57);$1.35;0.0;
15;Supertrend_macd(Buy);Buy to Open;1.0;$31.52;6/1/21, 1:15 PM;;$0.68;1.0;
16;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$30.86;6/1/21, 1:30 PM;($0.66);$0.69;0.0;
17;Supertrend_macd(Buy);Buy to Open;1.0;$31.21;6/1/21, 1:45 PM;;$0.73;1.0;
18;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$39.13;6/2/21, 9:45 AM;$7.92;$8.61;0.0;
19;Supertrend_macd(Buy);Buy to Open;1.0;$54.41;6/7/21, 9:45 AM;;$12.96;1.0;
20;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$58.74;6/7/21, 10:00 AM;$4.33;$12.94;0.0;
21;Supertrend_macd(Buy);Buy to Open;1.0;$55.22;6/7/21, 10:15 AM;;$12.84;1.0;
22;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$58.69;6/7/21, 1:00 PM;$3.47;$16.41;0.0;
23;Supertrend_macd(Buy);Buy to Open;1.0;$58.28;6/7/21, 1:15 PM;;$15.97;1.0;
24;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$54.45;6/7/21, 2:00 PM;($3.82);$12.59;0.0;
25;Supertrend_macd(Buy);Buy to Open;1.0;$59.39;6/8/21, 10:00 AM;;$13.17;1.0;
26;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$58.63;6/8/21, 10:30 AM;($0.76);$11.83;0.0;
27;Supertrend_macd(Buy);Buy to Open;1.0;$57.84;6/8/21, 10:45 AM;;$10.72;1.0;
28;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$56.72;6/8/21, 11:00 AM;($1.12);$10.71;0.0;
29;Supertrend_macd(Buy);Buy to Open;1.0;$52.20;6/9/21, 9:30 AM;;$8.01;1.0;
30;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$49.48;6/9/21, 9:45 AM;($2.72);$7.99;0.0;
31;Supertrend_macd(Buy);Buy to Open;1.0;$50.32;6/9/21, 3:00 PM;;$7.86;1.0;
32;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$47.93;6/10/21, 9:30 AM;($2.39);$5.60;0.0;
33;Supertrend_macd(Buy);Buy to Open;1.0;$44.32;6/11/21, 12:15 PM;;$5.71;1.0;
34;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$46.35;6/11/21, 1:00 PM;$2.02;$7.62;0.0;
35;Supertrend_macd(Buy);Buy to Open;1.0;$47.98;6/11/21, 1:15 PM;;$7.11;1.0;
36;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$47.47;6/11/21, 1:30 PM;($0.51);$7.11;0.0;
37;Supertrend_macd(Buy);Buy to Open;1.0;$47.49;6/11/21, 1:45 PM;;$8.21;1.0;
38;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$46.09;6/11/21, 2:45 PM;($1.40);$5.71;0.0;
39;Supertrend_macd(Buy);Buy to Open;1.0;$46.54;6/11/21, 3:00 PM;;$6.41;1.0;
40;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$48.39;6/11/21, 3:30 PM;$1.85;$7.56;0.0;
41;Supertrend_macd(Buy);Buy to Open;1.0;$49.01;6/11/21, 3:45 PM;;$7.86;1.0;
42;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$52.58;6/14/21, 9:45 AM;$3.57;$11.13;0.0;
43;Supertrend_macd(Buy);Buy to Open;1.0;$53.24;6/16/21, 2:30 PM;;$10.78;1.0;
44;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$55.10;6/16/21, 3:45 PM;$1.86;$12.99;0.0;
45;Supertrend_macd(Buy);Buy to Open;1.0;$53.99;6/17/21, 9:30 AM;;$12.57;1.0;
46;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$56.85;6/17/21, 10:15 AM;$2.86;$15.85;0.0;
47;Supertrend_macd(Buy);Buy to Open;1.0;$57.63;6/17/21, 10:30 AM;;$17.35;1.0;
48;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$59.14;6/17/21, 10:45 AM;$1.51;$17.36;0.0;
49;Supertrend_macd(Buy);Buy to Open;1.0;$59.28;6/17/21, 11:00 AM;;$19.06;1.0;
50;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$60.98;6/17/21, 11:15 AM;$1.70;$19.06;0.0;
51;Supertrend_macd(Buy);Buy to Open;1.0;$61.50;6/17/21, 11:30 AM;;$18.42;1.0;
52;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$60.86;6/17/21, 11:45 AM;($0.64);$18.42;0.0;
53;Supertrend_macd(Buy);Buy to Open;1.0;$59.29;6/17/21, 12:00 PM;;$18.94;1.0;
54;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$60.60;6/17/21, 1:00 PM;$1.31;$19.73;0.0;
55;Supertrend_macd(Buy);Buy to Open;1.0;$60.94;6/17/21, 1:15 PM;;$19.97;1.0;
56;Supertrend_macd(CloseBuy);Sell to Close;-1.0;$62.42;6/17/21, 2:15 PM;$1.48;$21.21;0.0;


Max trade P/L: $7.92;

Total P/L: $21.21;

Total order(s): 28;
