Strategy report
Symbol: AAPL
Work Time: 6/2/21, 1:35 PM - 6/23/21, 9:50 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MACDStrategy(BUY);Buy to Open;1.0;$124.29;6/2/21, 1:35 PM;;($0.01);1.0;
2;MACDStrategy(SELL);Sell to Close;-1.0;$124.09;6/2/21, 2:15 PM;($0.20);($0.20);0.0;
3;MACDStrategy(BUY);Buy to Open;1.0;$124.66;6/2/21, 2:50 PM;;($0.17);1.0;
4;MACDStrategy(SELL);Sell to Close;-1.0;$124.54;6/2/21, 3:05 PM;($0.12);($0.32);0.0;
5;MACDStrategy(BUY);Buy to Open;1.0;$124.61;6/2/21, 3:10 PM;;($0.19);1.0;
6;MACDStrategy(SELL);Sell to Close;-1.0;$125.07;6/2/21, 3:55 PM;$0.45;$0.14;0.0;
7;MACDStrategy(SELL);Sell to Close;-1.0;$124.66;6/3/21, 9:30 AM;$0.00;$0.68;-1.0;
8;MACDStrategy(BUY);Buy to Open;1.0;$124.66;6/3/21, 9:30 AM;;$0.14;0.0;
9;MACDStrategy(BUY);Buy to Open;1.0;$123.70;6/3/21, 10:10 AM;;$0.18;1.0;
10;MACDStrategy(SELL);Sell to Close;-1.0;$123.63;6/3/21, 11:35 AM;($0.07);$0.07;0.0;
11;MACDStrategy(BUY);Buy to Open;1.0;$123.91;6/3/21, 1:35 PM;;$0.17;1.0;
12;MACDStrategy(SELL);Sell to Close;-1.0;$123.86;6/3/21, 1:50 PM;($0.05);$0.02;0.0;
13;MACDStrategy(BUY);Buy to Open;1.0;$124.92;6/4/21, 10:00 AM;;$0.34;1.0;
14;MACDStrategy(SELL);Sell to Close;-1.0;$124.92;6/4/21, 10:20 AM;$0.00;$0.01;0.0;
15;MACDStrategy(BUY);Buy to Open;1.0;$124.97;6/4/21, 10:25 AM;;($0.13);1.0;
16;MACDStrategy(SELL);Sell to Close;-1.0;$124.93;6/4/21, 10:40 AM;($0.04);($0.03);0.0;
17;MACDStrategy(BUY);Buy to Open;1.0;$125.37;6/4/21, 11:30 AM;;($0.25);1.0;
18;MACDStrategy(SELL);Sell to Close;-1.0;$125.16;6/4/21, 11:35 AM;($0.21);($0.24);0.0;
19;MACDStrategy(BUY);Buy to Open;1.0;$125.32;6/4/21, 12:15 PM;;($0.16);1.0;
20;MACDStrategy(SELL);Sell to Close;-1.0;$125.62;6/4/21, 12:55 PM;$0.30;$0.06;0.0;
21;MACDStrategy(BUY);Buy to Open;1.0;$125.67;6/4/21, 1:35 PM;;$0.02;1.0;
22;MACDStrategy(SELL);Sell to Close;-1.0;$125.83;6/4/21, 3:15 PM;$0.15;$0.21;0.0;
23;MACDStrategy(BUY);Buy to Open;1.0;$125.72;6/4/21, 3:45 PM;;$0.31;1.0;
24;MACDStrategy(SELL);Sell to Close;-1.0;$125.92;6/4/21, 3:55 PM;$0.20;$0.41;0.0;
25;MACDStrategy(BUY);Buy to Open;1.0;$125.29;6/7/21, 10:25 AM;;$0.42;1.0;
26;MACDStrategy(SELL);Sell to Close;-1.0;$124.93;6/7/21, 11:05 AM;($0.36);$0.05;0.0;
27;MACDStrategy(SELL);Sell to Close;-1.0;$125.90;6/7/21, 3:55 PM;$0.00;$0.05;-1.0;
