Strategy report
Symbol: FB
Work Time: 10/27/20, 9:35 AM - 7/9/21, 10:15 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$276.82;10/27/20, 9:35 AM;;$0.94;1.0;
2;MacdPerfect;Sell to Close;-1.0;$278.20;10/27/20, 10:20 AM;$1.38;$1.38;0.0;
3;MacdPerfect;Buy to Open;1.0;$275.52;10/29/20, 9:35 AM;;$0.45;1.0;
4;MacdPerfect;Sell to Close;-1.0;$274.33;10/29/20, 9:45 AM;($1.19);$0.19;0.0;
5;MacdPerfect;Buy to Open;1.0;$276.02;10/29/20, 9:50 AM;;$1.46;1.0;
6;MacdPerfect;Sell to Close;-1.0;$278.73;10/29/20, 10:35 AM;$2.71;$2.90;0.0;
7;MacdPerfect;Buy to Open;1.0;$264.75;11/2/20, 9:35 AM;;$5.02;1.0;
8;MacdPerfect;Sell to Close;-1.0;$267.84;11/2/20, 10:10 AM;$3.09;$5.99;0.0;
9;MacdPerfect;Buy to Open;1.0;$261.21;11/3/20, 9:35 AM;;$7.08;1.0;
10;MacdPerfect;Sell to Close;-1.0;$266.92;11/3/20, 10:30 AM;$5.71;$11.70;0.0;
11;MacdPerfect;Buy to Open;1.0;$283.13;11/4/20, 9:35 AM;;$9.70;1.0;
12;MacdPerfect;Sell to Close;-1.0;$281.18;11/4/20, 9:40 AM;($1.95);$9.75;0.0;
13;MacdPerfect;Buy to Open;1.0;$281.37;11/4/20, 9:45 AM;;$8.00;1.0;
14;MacdPerfect;Sell to Close;-1.0;$279.63;11/4/20, 9:50 AM;($1.74);$8.01;0.0;
15;MacdPerfect;Buy to Open;1.0;$279.96;11/4/20, 9:55 AM;;$10.73;1.0;
16;MacdPerfect;Sell to Close;-1.0;$285.73;11/4/20, 10:30 AM;$5.77;$13.78;0.0;
17;MacdPerfect;Buy to Open;1.0;$289.72;11/5/20, 9:35 AM;;$16.55;1.0;
18;MacdPerfect;Sell to Close;-1.0;$293.55;11/5/20, 10:15 AM;$3.83;$17.61;0.0;
19;MacdPerfect;Buy to Open;1.0;$273.85;11/11/20, 9:35 AM;;$19.59;1.0;
20;MacdPerfect;Sell to Close;-1.0;$276.78;11/11/20, 10:05 AM;$2.93;$20.54;0.0;
21;MacdPerfect;Buy to Open;1.0;$278.30;11/12/20, 9:35 AM;;$21.42;1.0;
22;MacdPerfect;Sell to Close;-1.0;$276.96;11/12/20, 9:50 AM;($1.34);$19.20;0.0;
23;MacdPerfect;Buy to Open;1.0;$278.23;11/12/20, 9:55 AM;;$19.29;1.0;
24;MacdPerfect;Sell to Close;-1.0;$277.81;11/12/20, 10:25 AM;($0.43);$18.77;0.0;
25;MacdPerfect;Buy to Open;1.0;$269.48;11/24/20, 9:40 AM;;$18.41;1.0;
26;MacdPerfect;Sell to Close;-1.0;$268.94;11/24/20, 9:50 AM;($0.54);$18.23;0.0;
27;MacdPerfect;Buy to Open;1.0;$270.45;11/24/20, 9:55 AM;;$18.93;1.0;
28;MacdPerfect;Sell to Close;-1.0;$270.19;11/24/20, 10:15 AM;($0.26);$17.97;0.0;
29;MacdPerfect;Buy to Open;1.0;$276.22;11/27/20, 9:35 AM;;$17.37;1.0;
30;MacdPerfect;Sell to Close;-1.0;$275.57;11/27/20, 9:40 AM;($0.65);$17.32;0.0;
31;MacdPerfect;Buy to Open;1.0;$276.48;11/27/20, 10:00 AM;;$17.10;1.0;
32;MacdPerfect;Sell to Close;-1.0;$275.98;11/27/20, 10:10 AM;($0.50);$16.82;0.0;
33;MacdPerfect;Buy to Open;1.0;$281.07;12/1/20, 9:35 AM;;$19.42;1.0;
34;MacdPerfect;Sell to Close;-1.0;$285.86;12/1/20, 10:25 AM;$4.79;$21.61;0.0;
35;MacdPerfect;Buy to Open;1.0;$284.04;12/7/20, 9:45 AM;;$21.53;1.0;
36;MacdPerfect;Sell to Close;-1.0;$287.31;12/7/20, 10:35 AM;$3.26;$24.88;0.0;
37;MacdPerfect;Buy to Open;1.0;$276.15;12/14/20, 9:50 AM;;$24.96;1.0;
38;MacdPerfect;Sell to Close;-1.0;$275.15;12/14/20, 10:05 AM;($1.00);$23.88;0.0;
39;MacdPerfect;Buy to Open;1.0;$278.38;12/17/20, 9:35 AM;;$23.99;1.0;
40;MacdPerfect;Sell to Close;-1.0;$278.62;12/17/20, 10:05 AM;$0.24;$24.12;0.0;
41;MacdPerfect;Buy to Open;1.0;$268.44;12/23/20, 9:40 AM;;$22.92;1.0;
42;MacdPerfect;Sell to Close;-1.0;$267.19;12/23/20, 9:45 AM;($1.25);$22.87;0.0;
43;MacdPerfect;Buy to Open;1.0;$268.52;12/23/20, 9:50 AM;;$22.03;1.0;
44;MacdPerfect;Sell to Close;-1.0;$267.69;12/23/20, 9:55 AM;($0.83);$22.04;0.0;
45;MacdPerfect;Buy to Open;1.0;$267.81;12/23/20, 10:00 AM;;$22.12;1.0;
46;MacdPerfect;Sell to Close;-1.0;$268.13;12/23/20, 10:35 AM;$0.32;$22.36;0.0;
47;MacdPerfect;Buy to Open;1.0;$268.34;12/28/20, 9:35 AM;;$22.66;1.0;
48;MacdPerfect;Sell to Close;-1.0;$267.67;12/28/20, 9:50 AM;($0.67);$21.69;0.0;
49;MacdPerfect;Buy to Open;1.0;$267.41;12/28/20, 9:55 AM;;$22.34;1.0;
50;MacdPerfect;Sell to Close;-1.0;$267.17;12/28/20, 10:10 AM;($0.24);$21.45;0.0;
51;MacdPerfect;Buy to Open;1.0;$277.11;12/29/20, 9:35 AM;;$22.04;1.0;
52;MacdPerfect;Sell to Close;-1.0;$277.96;12/29/20, 9:50 AM;$0.85;$22.30;0.0;
53;MacdPerfect;Buy to Open;1.0;$278.26;12/29/20, 9:55 AM;;$22.48;1.0;
54;MacdPerfect;Sell to Close;-1.0;$277.80;12/29/20, 10:15 AM;($0.46);$21.84;0.0;
55;MacdPerfect;Buy to Open;1.0;$276.45;12/31/20, 9:45 AM;;$21.42;1.0;
