Strategy report
Symbol: FB
Work Time: 10/15/20, 2:25 PM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$265.52;10/15/20, 2:25 PM;;$0.11;1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$264.57;10/15/20, 2:40 PM;($0.95);($0.95);0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$265.67;10/15/20, 3:00 PM;;($0.84);1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$266.65;10/15/20, 3:50 PM;$0.99;$0.04;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$266.69;10/15/20, 3:55 PM;;$0.07;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$267.74;10/16/20, 9:30 AM;$1.05;$1.09;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$268.53;10/16/20, 9:35 AM;;$1.57;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$269.23;10/16/20, 9:55 AM;$0.70;$1.79;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$270.23;10/16/20, 10:00 AM;;$2.27;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$270.03;10/16/20, 10:30 AM;($0.20);$1.59;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$266.57;10/16/20, 11:35 AM;;$1.40;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$266.54;10/16/20, 11:40 AM;($0.03);$1.57;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$267.02;10/16/20, 11:45 AM;;$1.76;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$266.93;10/16/20, 12:25 PM;($0.10);$1.47;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$267.45;10/16/20, 1:30 PM;;$1.46;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$267.33;10/16/20, 1:45 PM;($0.13);$1.34;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$267.47;10/16/20, 1:50 PM;;$1.36;1.0;
