Strategy report
Symbol: JPM
Work Time: 10/20/20, 1:10 PM - 7/2/21, 9:35 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$101.16;10/20/20, 1:10 PM;;($0.01);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$101.59;10/20/20, 1:50 PM;$0.43;$0.43;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$101.48;10/20/20, 1:55 PM;;$0.36;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$101.40;10/20/20, 2:00 PM;($0.08);$0.35;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$100.65;10/20/20, 3:30 PM;;$0.31;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$100.47;10/20/20, 3:55 PM;($0.18);$0.17;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$101.75;10/22/20, 11:10 AM;;$0.30;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$102.01;10/22/20, 11:40 AM;$0.26;$0.43;0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$101.98;10/22/20, 11:45 AM;;$0.43;1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$101.87;10/22/20, 11:55 AM;($0.11);$0.32;0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$102.47;10/22/20, 1:50 PM;;$0.36;1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$102.60;10/22/20, 2:10 PM;$0.13;$0.45;0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$102.72;10/22/20, 2:15 PM;;$0.54;1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$102.71;10/22/20, 2:50 PM;($0.01);$0.43;0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$103.12;10/22/20, 3:30 PM;;$0.50;1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$102.94;10/22/20, 3:45 PM;($0.18);$0.25;0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$103.85;10/23/20, 9:35 AM;;$0.53;1.0;
