Strategy report
Symbol: NVDA
Work Time: 10/26/20, 11:50 AM - 7/6/21, 2:30 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$532.84;10/26/20, 11:50 AM;;$0.78;1.0;
2;MacdPerfect;Sell to Close;-1.0;$531.22;10/26/20, 12:00 PM;($1.62);($1.62);0.0;
3;MacdPerfect;Buy to Open;1.0;$506.40;11/3/20, 9:35 AM;;($0.22);1.0;
4;MacdPerfect;Sell to Close;-1.0;$516.48;11/3/20, 10:35 AM;$10.08;$8.47;0.0;
5;MacdPerfect;Buy to Open;1.0;$538.90;11/4/20, 9:35 AM;;$6.93;1.0;
6;MacdPerfect;Sell to Close;-1.0;$536.29;11/4/20, 9:50 AM;($2.62);$5.85;0.0;
7;MacdPerfect;Buy to Open;1.0;$535.55;11/4/20, 9:55 AM;;$7.15;1.0;
8;MacdPerfect;Sell to Close;-1.0;$544.88;11/4/20, 10:35 AM;$9.33;$15.18;0.0;
9;MacdPerfect;Buy to Open;1.0;$565.34;11/5/20, 9:35 AM;;$17.50;1.0;
10;MacdPerfect;Sell to Close;-1.0;$569.12;11/5/20, 10:15 AM;$3.78;$18.96;0.0;
11;MacdPerfect;Buy to Open;1.0;$567.85;11/5/20, 10:20 AM;;$17.46;1.0;
12;MacdPerfect;Sell to Close;-1.0;$565.49;11/5/20, 10:25 AM;($2.36);$16.60;0.0;
13;MacdPerfect;Buy to Open;1.0;$564.40;11/5/20, 12:15 PM;;$15.82;1.0;
14;MacdPerfect;Sell to Close;-1.0;$562.62;11/5/20, 12:20 PM;($1.78);$14.81;0.0;
15;MacdPerfect;Buy to Open;1.0;$563.02;11/5/20, 12:50 PM;;$14.69;1.0;
16;MacdPerfect;Sell to Close;-1.0;$564.08;11/5/20, 2:10 PM;$1.06;$15.88;0.0;
17;MacdPerfect;Buy to Open;1.0;$564.11;11/5/20, 2:15 PM;;$15.85;1.0;
18;MacdPerfect;Sell to Close;-1.0;$565.46;11/5/20, 2:50 PM;$1.35;$17.22;0.0;
19;MacdPerfect;Buy to Open;1.0;$566.30;11/5/20, 2:55 PM;;$17.67;1.0;
20;MacdPerfect;Sell to Close;-1.0;$565.68;11/5/20, 3:15 PM;($0.61);$16.61;0.0;
21;MacdPerfect;Buy to Open;1.0;$565.39;11/5/20, 3:20 PM;;$16.41;1.0;
