Strategy report
Symbol: .TSLA210716C650
Work Time: 11/24/20, 9:40 AM - 7/15/21, 10:15 AM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1;100.0;$88.06;11/24/20, 9:40 AM;;$0.00;100.0;
2;AAA_ExpAvg(,5,.TSLA210716C650,9,9,10,1,);Sell to Close;-1;-100.0;$101.25;11/24/20, 3:30 PM;$1,319.00;$1,319.00;0.0;
3;AAA_ExpAvg;Buy to Open;1;100.0;$118.00;11/27/20, 10:10 AM;;$1,414.00;100.0;
4;AAA_ExpAvg(,5,.TSLA210716C650,9,9,10,1,);Sell to Close;-1;-100.0;$119.60;11/27/20, 11:00 AM;$160.00;$1,479.00;0.0;
5;AAA_ExpAvg;Buy to Open;1;100.0;$124.70;12/7/20, 9:40 AM;;$1,479.00;100.0;
6;AAA_ExpAvg(,5,.TSLA210716C650,9,9,10,1,);Sell to Close;-1;-100.0;$132.04;12/7/20, 11:40 AM;$734.00;$2,213.00;0.0;
7;AAA_ExpAvg;Buy to Open;1;100.0;$155.63;12/18/20, 9:40 AM;;$2,224.00;100.0;
8;AAA_ExpAvg(,5,.TSLA210716C650,9,9,10,1,);Sell to Close;-1;-100.0;$143.00;12/18/20, 10:00 AM;($1,263.00);$950.00;0.0;
9;AAA_ExpAvg;Buy to Open;1;100.0;$140.00;12/28/20, 9:35 AM;;$1,165.00;100.0;
10;AAA_ExpAvg(,5,.TSLA210716C650,9,9,10,1,);Sell to Close;-1;-100.0;$139.10;12/28/20, 11:25 AM;($90.00);$860.00;0.0;
11;AAA_ExpAvg;Buy to Open;1;100.0;$156.50;12/31/20, 9:40 AM;;$860.00;100.0;
12;AAA_ExpAvg(,5,.TSLA210716C650,9,9,10,1,);Sell to Close;-1;-100.0;$154.50;12/31/20, 10:00 AM;($200.00);$660.00;0.0;
13;AAA_ExpAvg;Buy to Open;1;100.0;$176.20;1/4/21, 9:35 AM;;$660.00;100.0;
14;AAA_ExpAvg(,5,.TSLA210716C650,9,9,10,1,);Sell to Close;-1;-100.0;$185.20;1/4/21, 11:30 AM;$900.00;$1,560.00;0.0;
15;AAA_ExpAvg;Buy to Open;1;100.0;$197.68;1/6/21, 9:55 AM;;$1,560.00;100.0;
16;AAA_ExpAvg(,5,.TSLA210716C650,9,9,10,1,);Sell to Close;-1;-100.0;$205.35;1/6/21, 3:00 PM;$767.00;$2,327.00;0.0;
17;AAA_ExpAvg;Buy to Open;1;100.0;$227.00;1/7/21, 9:40 AM;;$2,327.00;100.0;
18;AAA_ExpAvg(,5,.TSLA210716C650,9,9,10,1,);Sell to Close;-1;-100.0;$303.05;1/8/21, 12:45 PM;$7,605.00;$9,932.00;0.0;
19;AAA_ExpAvg;Buy to Open;1;100.0;$87.00;3/9/21, 9:45 AM;;$9,932.00;100.0;
20;AAA_ExpAvg(,5,.TSLA210716C650,9,9,10,1,);Sell to Close;-1;-100.0;$99.24;3/9/21, 10:25 AM;$1,224.00;$11,156.00;0.0;
21;AAA_ExpAvg;Buy to Open;1;100.0;$146.45;3/10/21, 9:35 AM;;$11,156.00;100.0;
22;AAA_ExpAvg(,5,.TSLA210716C650,9,9,10,1,);Sell to Close;-1;-100.0;$133.97;3/10/21, 10:30 AM;($1,248.00);$9,908.00;0.0;
