Strategy report
Symbol: .AAPL210709C140
Work Time: 6/4/21, 3:30 PM - 7/2/21, 3:55 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1;100.0;$0.26;6/4/21, 3:30 PM;;$0.00;100.0;
2;MacdPerfect(SELL);Sell to Close;-1;-100.0;$0.26;6/4/21, 3:45 PM;$0.00;$0.00;0.0;
3;MacdPerfect(BUY);Buy to Open;1;100.0;$0.28;6/7/21, 1:05 PM;;$0.00;100.0;
4;MacdPerfect(SELL);Sell to Close;-1;-100.0;$0.25;6/7/21, 1:40 PM;($3.00);($3.00);0.0;
5;MacdPerfect(BUY);Buy to Open;1;100.0;$0.25;6/7/21, 1:50 PM;;($3.00);100.0;
6;MacdPerfect(SELL);Sell to Close;-1;-100.0;$0.25;6/7/21, 2:20 PM;$0.00;($3.00);0.0;
7;MacdPerfect(BUY);Buy to Open;1;100.0;$0.33;6/8/21, 9:40 AM;;($1.00);100.0;
8;MacdPerfect(SELL);Sell to Close;-1;-100.0;$0.26;6/8/21, 10:00 AM;($7.00);($10.00);0.0;
9;MacdPerfect(BUY);Buy to Open;1;100.0;$0.29;6/8/21, 10:10 AM;;($9.00);100.0;
10;MacdPerfect(SELL);Sell to Close;-1;-100.0;$0.27;6/8/21, 11:25 AM;($2.00);($12.00);0.0;
11;MacdPerfect(BUY);Buy to Open;1;100.0;$0.30;6/8/21, 3:00 PM;;($12.00);100.0;
12;MacdPerfect(SELL);Sell to Close;-1;-100.0;$0.28;6/8/21, 3:50 PM;($2.00);($14.00);0.0;
13;MacdPerfect(BUY);Buy to Open;1;100.0;$0.27;6/9/21, 9:45 AM;;($14.00);100.0;
14;MacdPerfect(SELL);Sell to Close;-1;-100.0;$0.26;6/9/21, 10:05 AM;($1.00);($15.00);0.0;
15;MacdPerfect(BUY);Buy to Open;1;100.0;$0.26;6/9/21, 12:55 PM;;($15.00);100.0;
16;MacdPerfect(SELL);Sell to Close;-1;-100.0;$0.25;6/9/21, 3:55 PM;($1.00);($16.00);0.0;
17;MacdPerfect(BUY);Buy to Open;1;100.0;$0.24;6/10/21, 10:05 AM;;($16.50);100.0;
