Strategy report
Symbol: AAPL
Work Time: 3/1/21, 10:45 AM - 6/18/21, 2:00 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;Bashir(Buy);Buy to Open;100.0;$125.19;3/1/21, 10:45 AM;;$42.22;100.0;
2;Bashir(CloseBuy);Sell to Close;-100.0;$126.54;3/1/21, 12:00 PM;$135.00;$135.00;0.0;
3;Bashir(Buy);Buy to Open;100.0;$126.07;3/1/21, 12:15 PM;;$151.50;100.0;
4;Bashir(CloseBuy);Sell to Close;-100.0;$127.44;3/1/21, 2:45 PM;$137.57;$272.57;0.0;
5;Bashir(Buy);Buy to Open;100.0;$127.59;3/1/21, 3:00 PM;;$257.57;100.0;
6;Bashir(CloseBuy);Sell to Close;-100.0;$126.92;3/2/21, 9:45 AM;($67.00);$205.57;0.0;
7;Bashir(Buy);Buy to Open;100.0;$121.84;3/9/21, 1:45 PM;;$184.57;100.0;
8;Bashir(CloseBuy);Sell to Close;-100.0;$121.16;3/9/21, 2:30 PM;($68.00);$137.57;0.0;
9;Bashir(Buy);Buy to Open;100.0;$120.67;3/10/21, 3:00 PM;;$116.57;100.0;
10;Bashir(CloseBuy);Sell to Close;-100.0;$122.31;3/11/21, 9:30 AM;$164.00;$301.57;0.0;
11;Bashir(Buy);Buy to Open;100.0;$122.00;3/11/21, 9:45 AM;;$271.57;100.0;
12;Bashir(CloseBuy);Sell to Close;-100.0;$121.39;3/11/21, 10:30 AM;($61.00);$240.57;0.0;
13;Bashir(Buy);Buy to Open;100.0;$122.18;3/11/21, 10:45 AM;;$259.55;100.0;
14;Bashir(CloseBuy);Sell to Close;-100.0;$119.59;3/12/21, 9:45 AM;($258.93);($18.36);0.0;
15;Bashir(Buy);Buy to Open;100.0;$120.85;3/12/21, 12:30 PM;;($28.34);100.0;
16;Bashir(CloseBuy);Sell to Close;-100.0;$123.25;3/15/21, 10:00 AM;$240.02;$221.66;0.0;
17;Bashir(Buy);Buy to Open;100.0;$123.22;3/15/21, 10:15 AM;;$159.50;100.0;
18;Bashir(CloseBuy);Sell to Close;-100.0;$122.60;3/15/21, 10:30 AM;($62.03);$159.63;0.0;
19;Bashir(Buy);Buy to Open;100.0;$122.84;3/15/21, 10:45 AM;;$186.63;100.0;
20;Bashir(CloseBuy);Sell to Close;-100.0;$122.31;3/15/21, 11:45 AM;($53.07);$106.56;0.0;
21;Bashir(Buy);Buy to Open;100.0;$123.10;3/15/21, 2:00 PM;;$128.56;100.0;
22;Bashir(CloseBuy);Sell to Close;-100.0;$125.84;3/16/21, 9:45 AM;$274.00;$380.56;0.0;
23;Bashir(Buy);Buy to Open;100.0;$126.52;3/16/21, 10:00 AM;;$388.59;100.0;
24;Bashir(CloseBuy);Sell to Close;-100.0;$125.71;3/16/21, 12:15 PM;($81.48);$299.08;0.0;
25;Bashir(Buy);Buy to Open;100.0;$124.27;3/17/21, 2:15 PM;;$259.90;100.0;
26;Bashir(CloseBuy);Sell to Close;-100.0;$122.13;3/18/21, 9:45 AM;($214.00);$85.08;0.0;
27;Bashir(Buy);Buy to Open;100.0;$122.98;3/22/21, 12:15 PM;;$130.08;100.0;
28;Bashir(CloseBuy);Sell to Close;-100.0;$122.07;3/24/21, 9:45 AM;($91.00);($5.92);0.0;
29;Bashir(Buy);Buy to Open;100.0;$121.82;3/29/21, 9:45 AM;;($54.93);100.0;
30;Bashir(CloseBuy);Sell to Close;-100.0;$121.24;3/29/21, 10:15 AM;($58.00);($63.92);0.0;
31;Bashir(Buy);Buy to Open;100.0;$122.02;3/29/21, 10:45 AM;;($105.92);100.0;
32;Bashir(CloseBuy);Sell to Close;-100.0;$121.15;3/29/21, 11:15 AM;($87.00);($150.92);0.0;
33;Bashir(Buy);Buy to Open;100.0;$121.82;3/29/21, 1:15 PM;;($173.45);100.0;
34;Bashir(CloseBuy);Sell to Close;-100.0;$121.15;3/29/21, 2:45 PM;($67.00);($217.92);0.0;
35;Bashir(Buy);Buy to Open;100.0;$122.10;3/31/21, 9:45 AM;;($131.02);100.0;
36;Bashir(CloseBuy);Sell to Close;-100.0;$123.70;4/1/21, 9:45 AM;$159.87;($58.05);0.0;
37;Bashir(Buy);Buy to Open;100.0;$124.54;4/5/21, 9:45 AM;;($30.43);100.0;
38;Bashir(CloseBuy);Sell to Close;-100.0;$125.83;4/5/21, 12:30 PM;$129.01;$70.96;0.0;
39;Bashir(Buy);Buy to Open;100.0;$125.93;4/5/21, 12:45 PM;;$34.60;100.0;
40;Bashir(CloseBuy);Sell to Close;-100.0;$127.33;4/7/21, 11:15 AM;$140.50;$211.46;0.0;
41;Bashir(Buy);Buy to Open;100.0;$127.23;4/7/21, 11:30 AM;;$182.45;100.0;
42;Bashir(CloseBuy);Sell to Close;-100.0;$129.31;4/8/21, 9:45 AM;$208.00;$419.46;0.0;
43;Bashir(Buy);Buy to Open;100.0;$129.97;4/8/21, 10:00 AM;;$355.87;100.0;
44;Bashir(CloseBuy);Sell to Close;-100.0;$129.34;4/8/21, 10:15 AM;($63.09);$356.37;0.0;
45;Bashir(Buy);Buy to Open;100.0;$129.33;4/8/21, 10:30 AM;;$369.87;100.0;
46;Bashir(CloseBuy);Sell to Close;-100.0;$130.84;4/9/21, 10:00 AM;$151.00;$507.37;0.0;
47;Bashir(Buy);Buy to Open;100.0;$131.05;4/9/21, 10:15 AM;;$504.87;100.0;
48;Bashir(CloseBuy);Sell to Close;-100.0;$132.46;4/9/21, 1:45 PM;$140.50;$647.87;0.0;
49;Bashir(Buy);Buy to Open;100.0;$132.41;4/9/21, 2:00 PM;;$632.87;100.0;
50;Bashir(CloseBuy);Sell to Close;-100.0;$131.64;4/12/21, 10:00 AM;($77.00);$570.87;0.0;
51;Bashir(Buy);Buy to Open;100.0;$132.18;4/12/21, 1:15 PM;;$531.86;100.0;
52;Bashir(CloseBuy);Sell to Close;-100.0;$131.50;4/12/21, 2:00 PM;($68.01);$502.86;0.0;
