Strategy report
Symbol: AAPL
Work Time: 10/29/20, 9:35 AM - 7/12/21, 9:50 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_hikenashi;Buy to Open;1.0;$113.65;10/29/20, 9:35 AM;;($0.68);1.0;
2;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$113.93;10/29/20, 10:10 AM;$0.28;$0.28;0.0;
3;AAA_hikenashi;Buy to Open;1.0;$109.87;11/2/20, 9:35 AM;;$0.68;1.0;
4;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$109.83;11/2/20, 10:00 AM;($0.04);$0.24;0.0;
5;AAA_hikenashi;Buy to Open;1.0;$109.04;11/3/20, 9:35 AM;;$0.33;1.0;
6;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$110.92;11/3/20, 10:25 AM;$1.88;$2.12;0.0;
7;AAA_hikenashi;Buy to Open;1.0;$113.85;11/4/20, 9:35 AM;;$1.02;1.0;
8;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$114.55;11/4/20, 10:10 AM;$0.70;$2.82;0.0;
9;AAA_hikenashi;Buy to Open;1.0;$117.47;11/5/20, 9:35 AM;;$3.49;1.0;
10;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$118.97;11/5/20, 10:05 AM;$1.49;$4.31;0.0;
11;AAA_hikenashi;Buy to Open;1.0;$119.90;11/9/20, 9:35 AM;;$3.51;1.0;
12;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$121.73;11/9/20, 10:35 AM;$1.82;$6.14;0.0;
13;AAA_hikenashi;Buy to Open;1.0;$117.35;11/10/20, 9:35 AM;;$5.57;1.0;
14;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$115.48;11/10/20, 10:30 AM;($1.87);$4.27;0.0;
15;AAA_hikenashi;Buy to Open;1.0;$119.83;11/12/20, 9:40 AM;;$4.14;1.0;
16;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$119.70;11/12/20, 9:45 AM;($0.13);$4.14;0.0;
17;AAA_hikenashi;Buy to Open;1.0;$119.09;11/18/20, 9:40 AM;;$4.04;1.0;
18;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$119.37;11/18/20, 11:15 AM;$0.28;$4.42;0.0;
19;AAA_hikenashi;Buy to Open;1.0;$115.74;11/25/20, 9:35 AM;;$4.91;1.0;
20;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$115.82;11/25/20, 10:05 AM;$0.08;$4.50;0.0;
21;AAA_hikenashi;Buy to Open;1.0;$117.03;11/27/20, 9:35 AM;;$4.42;1.0;
22;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$116.85;11/27/20, 10:05 AM;($0.18);$4.32;0.0;
23;AAA_hikenashi;Buy to Open;1.0;$118.24;11/30/20, 9:35 AM;;$5.01;1.0;
24;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$119.04;11/30/20, 10:05 AM;$0.80;$5.12;0.0;
25;AAA_hikenashi;Buy to Open;1.0;$120.32;12/1/20, 9:35 AM;;$6.06;1.0;
26;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$122.75;12/1/20, 10:15 AM;$2.43;$7.55;0.0;
27;AAA_hikenashi;Buy to Open;1.0;$123.09;12/7/20, 9:35 AM;;$7.92;1.0;
28;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$124.21;12/7/20, 10:10 AM;$1.12;$8.67;0.0;
29;AAA_hikenashi;Buy to Open;1.0;$124.40;12/9/20, 9:40 AM;;$9.12;1.0;
30;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$124.77;12/9/20, 10:15 AM;$0.37;$9.04;0.0;
31;AAA_hikenashi;Buy to Open;1.0;$122.74;12/14/20, 9:35 AM;;$9.34;1.0;
32;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$122.95;12/14/20, 10:00 AM;$0.22;$9.25;0.0;
33;AAA_hikenashi;Buy to Open;1.0;$125.17;12/15/20, 9:35 AM;;$10.30;1.0;
34;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$126.35;12/15/20, 10:05 AM;$1.18;$10.44;0.0;
35;AAA_hikenashi;Buy to Open;1.0;$129.19;12/17/20, 9:35 AM;;$10.79;1.0;
36;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$128.96;12/17/20, 10:00 AM;($0.24);$10.20;0.0;
37;AAA_hikenashi;Buy to Open;1.0;$130.91;12/22/20, 9:35 AM;;$11.08;1.0;
38;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$133.78;12/22/20, 10:05 AM;$2.87;$13.07;0.0;
39;AAA_hikenashi;Buy to Open;1.0;$131.95;12/24/20, 9:35 AM;;$13.07;1.0;
40;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$132.56;12/24/20, 10:10 AM;$0.61;$13.68;0.0;
41;AAA_hikenashi;Buy to Open;1.0;$134.38;12/28/20, 9:35 AM;;$14.11;1.0;
42;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$135.48;12/28/20, 10:05 AM;$1.10;$14.78;0.0;
43;AAA_hikenashi;Buy to Open;1.0;$138.42;12/29/20, 9:35 AM;;$14.22;1.0;
44;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$136.91;12/29/20, 9:55 AM;($1.51);$13.27;0.0;
45;AAA_hikenashi;Buy to Open;1.0;$130.49;1/5/21, 9:35 AM;;$13.48;1.0;
46;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$131.20;1/5/21, 10:05 AM;$0.71;$13.98;0.0;
47;AAA_hikenashi;Buy to Open;1.0;$132.32;1/8/21, 9:35 AM;;$13.13;1.0;
48;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$131.48;1/8/21, 9:40 AM;($0.84);$13.14;0.0;
49;AAA_hikenashi;Buy to Open;1.0;$129.27;1/13/21, 9:35 AM;;$13.14;1.0;
50;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$129.75;1/13/21, 10:10 AM;$0.48;$13.62;0.0;
51;AAA_hikenashi;Buy to Open;1.0;$130.01;1/15/21, 9:35 AM;;$13.44;1.0;
52;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$129.15;1/15/21, 10:00 AM;($0.86);$12.76;0.0;
53;AAA_hikenashi;Buy to Open;1.0;$128.31;1/19/21, 9:35 AM;;$12.49;1.0;
54;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$127.46;1/19/21, 10:00 AM;($0.85);$11.91;0.0;
55;AAA_hikenashi;Buy to Open;1.0;$129.32;1/20/21, 9:35 AM;;$12.55;1.0;
56;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$130.03;1/20/21, 10:05 AM;$0.71;$12.62;0.0;
57;AAA_hikenashi;Buy to Open;1.0;$133.99;1/21/21, 9:35 AM;;$13.12;1.0;
58;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$135.29;1/21/21, 10:10 AM;$1.30;$13.92;0.0;
59;AAA_hikenashi;Buy to Open;1.0;$144.54;1/25/21, 9:35 AM;;$14.26;1.0;
60;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$144.76;1/25/21, 10:05 AM;$0.22;$14.15;0.0;
61;AAA_hikenashi;Buy to Open;1.0;$143.95;1/26/21, 9:35 AM;;$13.99;1.0;
62;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$142.06;1/26/21, 9:45 AM;($1.89);$12.26;0.0;
63;AAA_hikenashi;Buy to Open;1.0;$134.66;2/1/21, 9:35 AM;;$11.23;1.0;
64;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$133.20;2/1/21, 9:45 AM;($1.47);$10.79;0.0;
65;AAA_hikenashi;Buy to Open;1.0;$135.95;2/2/21, 9:35 AM;;$10.58;1.0;
66;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$135.44;2/2/21, 10:00 AM;($0.51);$10.28;0.0;
67;AAA_hikenashi;Buy to Open;1.0;$135.93;2/4/21, 9:35 AM;;$10.01;1.0;
68;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$135.28;2/4/21, 10:00 AM;($0.66);$9.62;0.0;
69;AAA_hikenashi;Buy to Open;1.0;$137.36;2/9/21, 9:35 AM;;$9.72;1.0;
