Strategy report
Symbol: AAPL
Work Time: 10/27/20, 9:35 AM - 7/12/21, 9:50 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_vwap;Buy to Open;1.0;$114.75;10/27/20, 9:35 AM;;$0.21;1.0;
2;AAA_vwap(,5,AAPL,9,9,10,);Sell to Close;-1.0;$115.96;10/27/20, 10:15 AM;$1.21;$1.21;0.0;
3;AAA_vwap;Buy to Open;1.0;$109.87;11/2/20, 9:35 AM;;$1.61;1.0;
4;AAA_vwap(,5,AAPL,9,9,10,);Sell to Close;-1.0;$109.83;11/2/20, 10:00 AM;($0.04);$1.17;0.0;
5;AAA_vwap;Buy to Open;1.0;$109.04;11/3/20, 9:35 AM;;$1.26;1.0;
6;AAA_vwap(,5,AAPL,9,9,10,);Sell to Close;-1.0;$110.92;11/3/20, 10:25 AM;$1.88;$3.05;0.0;
7;AAA_vwap;Buy to Open;1.0;$113.85;11/4/20, 9:35 AM;;$1.95;1.0;
8;AAA_vwap(,5,AAPL,9,9,10,);Sell to Close;-1.0;$114.55;11/4/20, 10:10 AM;$0.70;$3.75;0.0;
9;AAA_vwap;Buy to Open;1.0;$117.47;11/5/20, 9:35 AM;;$4.42;1.0;
10;AAA_vwap(,5,AAPL,9,9,10,);Sell to Close;-1.0;$118.97;11/5/20, 10:05 AM;$1.49;$5.25;0.0;
11;AAA_vwap;Buy to Open;1.0;$119.90;11/9/20, 9:35 AM;;$4.45;1.0;
12;AAA_vwap(,5,AAPL,9,9,10,);Sell to Close;-1.0;$121.73;11/9/20, 10:35 AM;$1.82;$7.07;0.0;
13;AAA_vwap;Buy to Open;1.0;$119.29;11/12/20, 9:35 AM;;$7.61;1.0;
14;AAA_vwap(,5,AAPL,9,9,10,);Sell to Close;-1.0;$119.70;11/12/20, 9:45 AM;$0.41;$7.48;0.0;
15;AAA_vwap;Buy to Open;1.0;$119.10;11/13/20, 9:35 AM;;$7.56;1.0;
16;AAA_vwap(,5,AAPL,9,9,10,);Sell to Close;-1.0;$119.19;11/13/20, 9:40 AM;$0.09;$7.57;0.0;
17;AAA_vwap;Buy to Open;1.0;$119.08;11/13/20, 9:45 AM;;$7.16;1.0;
18;AAA_vwap(,5,AAPL,9,9,10,);Sell to Close;-1.0;$118.22;11/13/20, 10:55 AM;($0.86);$6.71;0.0;
