Strategy report
Symbol: AAPL
Work Time: 10/29/20, 9:35 AM - 7/14/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$113.65;10/29/20, 9:35 AM;;($0.68);1.0;
2;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$113.93;10/29/20, 10:10 AM;$0.28;$0.28;0.0;
3;AAA;Buy to Open;1.0;$109.87;11/2/20, 9:35 AM;;$0.68;1.0;
4;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$109.83;11/2/20, 10:00 AM;($0.04);$0.24;0.0;
5;AAA;Buy to Open;1.0;$109.04;11/3/20, 9:35 AM;;$0.33;1.0;
6;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$110.92;11/3/20, 10:25 AM;$1.88;$2.12;0.0;
7;AAA;Buy to Open;1.0;$113.85;11/4/20, 9:35 AM;;$1.02;1.0;
8;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$114.55;11/4/20, 10:10 AM;$0.70;$2.82;0.0;
9;AAA;Buy to Open;1.0;$117.47;11/5/20, 9:35 AM;;$3.49;1.0;
10;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$118.97;11/5/20, 10:05 AM;$1.49;$4.31;0.0;
11;AAA;Buy to Open;1.0;$119.90;11/9/20, 9:35 AM;;$3.51;1.0;
12;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$121.73;11/9/20, 10:35 AM;$1.82;$6.14;0.0;
13;AAA;Buy to Open;1.0;$117.85;11/11/20, 9:45 AM;;$6.28;1.0;
14;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$118.33;11/11/20, 10:10 AM;$0.48;$6.62;0.0;
15;AAA;Buy to Open;1.0;$119.29;11/12/20, 9:35 AM;;$7.15;1.0;
16;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$119.70;11/12/20, 9:45 AM;$0.41;$7.03;0.0;
17;AAA;Buy to Open;1.0;$119.10;11/13/20, 9:35 AM;;$7.11;1.0;
18;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$119.19;11/13/20, 9:40 AM;$0.09;$7.11;0.0;
19;AAA;Buy to Open;1.0;$119.93;11/16/20, 9:45 AM;;$7.16;1.0;
20;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$120.12;11/16/20, 10:15 AM;$0.19;$7.30;0.0;
21;AAA;Buy to Open;1.0;$115.74;11/25/20, 9:35 AM;;$7.80;1.0;
22;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$115.82;11/25/20, 10:05 AM;$0.08;$7.38;0.0;
23;AAA;Buy to Open;1.0;$117.03;11/27/20, 9:35 AM;;$7.31;1.0;
24;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$116.85;11/27/20, 10:05 AM;($0.18);$7.20;0.0;
25;AAA;Buy to Open;1.0;$118.24;11/30/20, 9:35 AM;;$7.90;1.0;
26;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$119.04;11/30/20, 10:05 AM;$0.80;$8.00;0.0;
27;AAA;Buy to Open;1.0;$120.32;12/1/20, 9:35 AM;;$8.94;1.0;
28;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$122.75;12/1/20, 10:15 AM;$2.43;$10.43;0.0;
29;AAA;Buy to Open;1.0;$123.09;12/7/20, 9:35 AM;;$10.80;1.0;
30;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$124.21;12/7/20, 10:10 AM;$1.12;$11.55;0.0;
31;AAA;Buy to Open;1.0;$124.40;12/9/20, 9:40 AM;;$12.00;1.0;
32;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$124.77;12/9/20, 10:15 AM;$0.37;$11.92;0.0;
33;AAA;Buy to Open;1.0;$122.74;12/14/20, 9:35 AM;;$12.22;1.0;
34;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$122.95;12/14/20, 10:00 AM;$0.22;$12.14;0.0;
35;AAA;Buy to Open;1.0;$125.17;12/15/20, 9:35 AM;;$13.18;1.0;
36;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$126.35;12/15/20, 10:05 AM;$1.18;$13.32;0.0;
37;AAA;Buy to Open;1.0;$129.19;12/17/20, 9:35 AM;;$13.68;1.0;
38;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$128.96;12/17/20, 10:00 AM;($0.24);$13.09;0.0;
39;AAA;Buy to Open;1.0;$130.91;12/22/20, 9:35 AM;;$13.96;1.0;
40;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$133.78;12/22/20, 10:05 AM;$2.87;$15.95;0.0;
41;AAA;Buy to Open;1.0;$131.64;12/23/20, 9:45 AM;;$16.19;1.0;
42;AAA(,5,AAPL,9,9,10,1,);Sell to Close;-1.0;$131.84;12/23/20, 10:20 AM;$0.20;$16.15;0.0;
43;AAA;Buy to Open;1.0;$131.95;12/24/20, 9:35 AM;;$16.15;1.0;
