Strategy report
Symbol: AAPL
Work Time: 10/28/20, 12:10 PM - 7/15/21, 10:15 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$113.23;10/28/20, 12:10 PM;;$0.01;1.0;
2;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$113.09;10/28/20, 12:25 PM;($0.14);($0.14);0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$112.98;10/28/20, 1:55 PM;;$0.05;1.0;
4;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$112.97;10/28/20, 2:10 PM;($0.02);($0.16);0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$113.65;10/29/20, 9:35 AM;;($0.84);1.0;
6;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$113.93;10/29/20, 10:10 AM;$0.28;$0.12;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$114.71;10/29/20, 11:30 AM;;$0.10;1.0;
8;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$114.77;10/29/20, 11:50 AM;$0.06;$0.18;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$115.09;10/29/20, 12:20 PM;;$0.11;1.0;
10;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$114.99;10/29/20, 12:45 PM;($0.11);$0.07;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$115.32;10/29/20, 1:15 PM;;$0.17;1.0;
12;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$115.82;10/29/20, 1:50 PM;$0.50;$0.58;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$116.38;10/29/20, 2:10 PM;;$0.68;1.0;
14;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$116.91;10/29/20, 2:35 PM;$0.53;$1.11;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$109.87;11/2/20, 9:35 AM;;$1.51;1.0;
16;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$109.83;11/2/20, 10:00 AM;($0.04);$1.07;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$107.76;11/2/20, 2:25 PM;;$1.12;1.0;
18;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$107.83;11/2/20, 3:00 PM;$0.07;$1.14;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$109.04;11/3/20, 9:35 AM;;$1.23;1.0;
20;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$110.92;11/3/20, 10:25 AM;$1.88;$3.02;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$110.20;11/3/20, 2:15 PM;;$2.99;1.0;
22;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$110.37;11/3/20, 3:00 PM;$0.17;$3.19;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$111.08;11/3/20, 3:35 PM;;$3.24;1.0;
24;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$111.06;11/3/20, 3:55 PM;($0.02);$3.18;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$113.85;11/4/20, 9:35 AM;;$2.07;1.0;
26;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$114.55;11/4/20, 10:10 AM;$0.70;$3.88;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$114.87;11/4/20, 10:15 AM;;$3.99;1.0;
28;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$114.93;11/4/20, 10:30 AM;$0.06;$3.94;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$114.89;11/4/20, 11:50 AM;;$3.91;1.0;
30;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$114.88;11/4/20, 12:10 PM;($0.01);$3.93;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$115.38;11/4/20, 1:35 PM;;$4.00;1.0;
32;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$114.88;11/4/20, 1:50 PM;($0.50);$3.42;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$114.89;11/4/20, 2:25 PM;;$3.41;1.0;
34;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$115.05;11/4/20, 3:15 PM;$0.16;$3.58;0.0;
35;AAA_ExpAvg;Buy to Open;1.0;$117.47;11/5/20, 9:35 AM;;$4.25;1.0;
36;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$118.97;11/5/20, 10:05 AM;$1.49;$5.07;0.0;
37;AAA_ExpAvg;Buy to Open;1.0;$118.04;11/5/20, 1:15 PM;;$5.09;1.0;
38;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$118.28;11/5/20, 1:50 PM;$0.25;$5.32;0.0;
39;AAA_ExpAvg;Buy to Open;1.0;$118.40;11/5/20, 2:00 PM;;$5.45;1.0;
40;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$119.03;11/5/20, 2:55 PM;$0.63;$5.95;0.0;
41;AAA_ExpAvg;Buy to Open;1.0;$116.72;11/6/20, 10:10 AM;;$6.23;1.0;
42;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$117.41;11/6/20, 11:00 AM;$0.69;$6.64;0.0;
43;AAA_ExpAvg;Buy to Open;1.0;$118.13;11/6/20, 11:30 AM;;$6.76;1.0;
44;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$118.93;11/6/20, 12:10 PM;$0.80;$7.44;0.0;
45;AAA_ExpAvg;Buy to Open;1.0;$119.13;11/6/20, 1:05 PM;;$7.37;1.0;
46;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$119.08;11/6/20, 1:20 PM;($0.04);$7.39;0.0;
47;AAA_ExpAvg;Buy to Open;1.0;$118.37;11/6/20, 3:30 PM;;$7.49;1.0;
48;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$121.73;11/9/20, 10:35 AM;$3.36;$10.75;0.0;
49;AAA_ExpAvg;Buy to Open;1.0;$121.56;11/9/20, 11:30 AM;;$10.64;1.0;
50;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$121.30;11/9/20, 11:45 AM;($0.26);$10.49;0.0;
51;AAA_ExpAvg;Buy to Open;1.0;$120.68;11/9/20, 12:25 PM;;$10.46;1.0;
52;AAA_ExpAvg(,5,AAPL,9,9,360,1,);Sell to Close;-1.0;$120.81;11/9/20, 1:00 PM;$0.13;$10.62;0.0;
53;AAA_ExpAvg;Buy to Open;1.0;$118.80;11/9/20, 2:40 PM;;$10.94;1.0;
