Strategy report
Symbol: AAPL
Work Time: 10/29/20, 9:35 AM - 7/14/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$113.65;10/29/20, 9:35 AM;;($0.68);1.0;
2;AAA_ExpAvg(,5,AAPL,9,9,30,1,);Sell to Close;-1.0;$113.93;10/29/20, 10:10 AM;$0.28;$0.28;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$109.87;11/2/20, 9:35 AM;;$0.68;1.0;
4;AAA_ExpAvg(,5,AAPL,9,9,30,1,);Sell to Close;-1.0;$109.83;11/2/20, 10:00 AM;($0.04);$0.24;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$109.04;11/3/20, 9:35 AM;;$0.33;1.0;
6;AAA_ExpAvg(,5,AAPL,9,9,30,1,);Sell to Close;-1.0;$110.92;11/3/20, 10:25 AM;$1.88;$2.12;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$113.85;11/4/20, 9:35 AM;;$1.02;1.0;
8;AAA_ExpAvg(,5,AAPL,9,9,30,1,);Sell to Close;-1.0;$114.55;11/4/20, 10:10 AM;$0.70;$2.82;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$117.47;11/5/20, 9:35 AM;;$3.49;1.0;
10;AAA_ExpAvg(,5,AAPL,9,9,30,1,);Sell to Close;-1.0;$118.97;11/5/20, 10:05 AM;$1.49;$4.31;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$119.90;11/9/20, 9:35 AM;;$3.51;1.0;
12;AAA_ExpAvg(,5,AAPL,9,9,30,1,);Sell to Close;-1.0;$121.73;11/9/20, 10:35 AM;$1.82;$6.14;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$116.51;11/10/20, 10:05 AM;;$6.36;1.0;
14;AAA_ExpAvg(,5,AAPL,9,9,30,1,);Sell to Close;-1.0;$115.48;11/10/20, 10:30 AM;($1.03);$5.11;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$117.85;11/11/20, 9:45 AM;;$5.25;1.0;
16;AAA_ExpAvg(,5,AAPL,9,9,30,1,);Sell to Close;-1.0;$118.33;11/11/20, 10:10 AM;$0.48;$5.59;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$119.29;11/12/20, 9:35 AM;;$6.12;1.0;
18;AAA_ExpAvg(,5,AAPL,9,9,30,1,);Sell to Close;-1.0;$119.70;11/12/20, 9:45 AM;$0.41;$6.00;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$119.73;11/12/20, 10:00 AM;;$6.14;1.0;
20;AAA_ExpAvg(,5,AAPL,9,9,30,1,);Sell to Close;-1.0;$119.99;11/12/20, 10:30 AM;$0.25;$6.25;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$119.10;11/13/20, 9:35 AM;;$6.34;1.0;
22;AAA_ExpAvg(,5,AAPL,9,9,30,1,);Sell to Close;-1.0;$119.19;11/13/20, 9:40 AM;$0.09;$6.34;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$119.93;11/16/20, 9:45 AM;;$6.39;1.0;
24;AAA_ExpAvg(,5,AAPL,9,9,30,1,);Sell to Close;-1.0;$120.12;11/16/20, 10:15 AM;$0.19;$6.53;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$113.02;11/24/20, 10:00 AM;;$6.97;1.0;
26;AAA_ExpAvg(,5,AAPL,9,9,30,1,);Sell to Close;-1.0;$113.44;11/24/20, 10:35 AM;$0.42;$6.95;0.0;
