Strategy report
Symbol: AAPL
Work Time: 6/2/21, 9:47 AM - 7/15/21, 9:53 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$124.97;6/2/21, 9:47 AM;;($0.05);1.0;
2;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$124.87;6/2/21, 9:51 AM;($0.10);($0.10);0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$124.95;6/2/21, 9:58 AM;;$0.04;1.0;
4;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$124.95;6/2/21, 10:01 AM;($0.01);($0.11);0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$124.95;6/2/21, 10:22 AM;;($0.07);1.0;
6;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$125.10;6/2/21, 10:29 AM;$0.14;$0.04;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$125.15;6/2/21, 10:43 AM;;$0.03;1.0;
8;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$125.15;6/2/21, 10:44 AM;($0.01);$0.03;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$124.97;6/2/21, 11:30 AM;;$0.04;1.0;
10;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$125.10;6/2/21, 11:35 AM;$0.13;$0.16;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$124.61;6/2/21, 12:36 PM;;$0.20;1.0;
12;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$124.58;6/2/21, 12:42 PM;($0.03);$0.13;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$124.31;6/2/21, 2:00 PM;;$0.15;1.0;
14;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$124.34;6/2/21, 2:01 PM;$0.02;$0.15;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$124.32;6/2/21, 2:02 PM;;$0.14;1.0;
16;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$124.32;6/2/21, 2:04 PM;$0.00;$0.15;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$124.17;6/2/21, 2:16 PM;;$0.22;1.0;
18;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$124.49;6/2/21, 2:29 PM;$0.32;$0.47;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$124.66;6/2/21, 2:50 PM;;$0.46;1.0;
20;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$124.68;6/2/21, 2:55 PM;$0.03;$0.50;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$124.61;6/2/21, 3:09 PM;;$0.50;1.0;
22;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$124.75;6/2/21, 3:18 PM;$0.14;$0.64;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$123.71;6/3/21, 10:14 AM;;$0.68;1.0;
24;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$123.75;6/3/21, 10:15 AM;$0.04;$0.69;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$123.58;6/3/21, 10:52 AM;;$0.69;1.0;
26;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$123.56;6/3/21, 10:55 AM;($0.02);$0.67;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$123.78;6/3/21, 10:58 AM;;$0.71;1.0;
28;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$124.04;6/3/21, 11:04 AM;$0.26;$0.93;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$123.96;6/3/21, 11:26 AM;;$0.90;1.0;
30;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$123.84;6/3/21, 11:31 AM;($0.12);$0.81;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$123.67;6/3/21, 11:43 AM;;$0.84;1.0;
32;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$123.64;6/3/21, 11:49 AM;($0.03);$0.78;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$123.52;6/3/21, 12:52 PM;;$0.82;1.0;
34;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$123.67;6/3/21, 1:03 PM;$0.15;$0.93;0.0;
35;AAA_ExpAvg;Buy to Open;1.0;$123.64;6/3/21, 1:20 PM;;$0.95;1.0;
36;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$123.73;6/3/21, 1:27 PM;$0.09;$1.01;0.0;
37;AAA_ExpAvg;Buy to Open;1.0;$123.78;6/3/21, 1:30 PM;;$1.04;1.0;
38;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$123.99;6/3/21, 1:41 PM;$0.21;$1.22;0.0;
39;AAA_ExpAvg;Buy to Open;1.0;$123.90;6/3/21, 1:55 PM;;$1.31;1.0;
40;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$123.90;6/3/21, 2:00 PM;$0.00;$1.22;0.0;
41;AAA_ExpAvg;Buy to Open;1.0;$123.93;6/3/21, 2:07 PM;;$1.25;1.0;
42;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$123.97;6/3/21, 2:12 PM;$0.04;$1.27;0.0;
43;AAA_ExpAvg;Buy to Open;1.0;$123.88;6/3/21, 2:21 PM;;$1.27;1.0;
44;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$123.80;6/3/21, 2:26 PM;($0.08);$1.19;0.0;
45;AAA_ExpAvg;Buy to Open;1.0;$123.71;6/3/21, 2:43 PM;;$1.22;1.0;
46;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$123.74;6/3/21, 2:50 PM;$0.03;$1.21;0.0;
47;AAA_ExpAvg;Buy to Open;1.0;$123.77;6/3/21, 3:12 PM;;$1.26;1.0;
48;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$123.89;6/3/21, 3:19 PM;$0.12;$1.33;0.0;
49;AAA_ExpAvg;Buy to Open;1.0;$123.84;6/3/21, 3:25 PM;;$1.33;1.0;
50;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$123.78;6/3/21, 3:28 PM;($0.06);$1.27;0.0;
51;AAA_ExpAvg;Buy to Open;1.0;$124.22;6/4/21, 9:32 AM;;$1.12;1.0;
52;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$124.37;6/4/21, 9:38 AM;$0.15;$1.42;0.0;
53;AAA_ExpAvg;Buy to Open;1.0;$124.75;6/4/21, 9:46 AM;;$1.47;1.0;
54;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$124.88;6/4/21, 9:51 AM;$0.13;$1.56;0.0;
55;AAA_ExpAvg;Buy to Open;1.0;$125.01;6/4/21, 10:01 AM;;$1.67;1.0;
56;AAA_ExpAvg(,1,AAPL,9,9,360,1,);Sell to Close;-1.0;$125.20;6/4/21, 10:06 AM;$0.19;$1.75;0.0;
