Strategy report
Symbol: AAPL
Work Time: 10/15/20, 1:45 PM - 7/2/21, 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;1.0;$120.19;10/15/20, 1:45 PM;;($0.05);1.0;
2;MacdPerfect(SELL);Sell to Close;-1.0;$120.39;10/15/20, 2:20 PM;$0.20;$0.20;0.0;
3;MacdPerfect(BUY);Buy to Open;1.0;$120.61;10/15/20, 2:35 PM;;$0.10;1.0;
4;MacdPerfect(SELL);Sell to Close;-1.0;$120.43;10/15/20, 2:40 PM;($0.19);$0.01;0.0;
5;MacdPerfect(BUY);Buy to Open;1.0;$120.79;10/15/20, 3:05 PM;;$0.15;1.0;
6;MacdPerfect(SELL);Sell to Close;-1.0;$120.96;10/15/20, 3:30 PM;$0.17;$0.17;0.0;
7;MacdPerfect(BUY);Buy to Open;1.0;$121.09;10/16/20, 10:30 AM;;$0.10;1.0;
8;MacdPerfect(SELL);Sell to Close;-1.0;$120.69;10/16/20, 10:45 AM;($0.40);($0.23);0.0;
9;MacdPerfect(BUY);Buy to Open;1.0;$120.09;10/16/20, 1:35 PM;;($0.26);1.0;
10;MacdPerfect(SELL);Sell to Close;-1.0;$119.99;10/16/20, 2:00 PM;($0.10);($0.32);0.0;
11;MacdPerfect(BUY);Buy to Open;1.0;$120.09;10/16/20, 2:15 PM;;($0.34);1.0;
12;MacdPerfect(SELL);Sell to Close;-1.0;$120.35;10/16/20, 2:50 PM;$0.26;($0.06);0.0;
13;MacdPerfect(BUY);Buy to Open;1.0;$120.23;10/16/20, 3:00 PM;;($0.22);1.0;
14;MacdPerfect(SELL);Sell to Close;-1.0;$120.05;10/16/20, 3:05 PM;($0.18);($0.24);0.0;
15;MacdPerfect(BUY);Buy to Open;1.0;$117.19;10/20/20, 10:20 AM;;($0.25);1.0;
16;MacdPerfect(SELL);Sell to Close;-1.0;$116.99;10/20/20, 10:30 AM;($0.20);($0.44);0.0;
17;MacdPerfect(BUY);Buy to Open;1.0;$117.10;10/20/20, 11:55 AM;;($0.38);1.0;
18;MacdPerfect(SELL);Sell to Close;-1.0;$118.07;10/20/20, 12:55 PM;$0.97;$0.52;0.0;
19;MacdPerfect(BUY);Buy to Open;1.0;$118.29;10/20/20, 1:05 PM;;$0.54;1.0;
