Strategy report
Symbol: AMC
Work Time: 5/4/21, 9:35 AM - 6/16/21, 12:50 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;Supertrend_macd(Sell);Sell to Open;-100.0;$9.50;5/4/21, 9:35 AM;;$4.50;-100.0;
2;Supertrend_macd(CloseSell);Buy to Close;100.0;$10.04;5/10/21, 9:35 AM;($53.99);($53.99);0.0;
3;Supertrend_macd(Buy);Buy to Open;100.0;$9.80;5/10/21, 9:40 AM;;($70.49);100.0;
4;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$11.36;5/13/21, 9:45 AM;$156.41;$102.42;0.0;
5;Supertrend_macd(Buy);Buy to Open;100.0;$11.29;5/13/21, 9:50 AM;;$132.32;100.0;
6;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$12.57;5/13/21, 1:20 PM;$127.90;$230.32;0.0;
7;Supertrend_macd(Buy);Buy to Open;100.0;$13.00;5/13/21, 1:40 PM;;$226.20;100.0;
8;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$14.26;5/17/21, 10:10 AM;$126.00;$356.32;0.0;
9;Supertrend_macd(Buy);Buy to Open;100.0;$14.18;5/17/21, 10:15 AM;;$333.92;100.0;
10;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$13.64;5/17/21, 10:25 AM;($53.29);$303.03;0.0;
11;Supertrend_macd(Sell);Sell to Open;-100.0;$13.59;5/17/21, 10:30 AM;;$286.53;-100.0;
12;Supertrend_macd(CloseSell);Buy to Close;100.0;$14.17;5/18/21, 9:35 AM;($58.50);$244.53;0.0;
13;Supertrend_macd(Buy);Buy to Open;100.0;$14.39;5/18/21, 9:40 AM;;$205.53;100.0;
14;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$13.82;5/18/21, 10:10 AM;($57.01);$187.52;0.0;
15;Supertrend_macd(Sell);Sell to Open;-100.0;$13.87;5/18/21, 10:15 AM;;$209.02;-100.0;
16;Supertrend_macd(CloseSell);Buy to Close;100.0;$14.37;5/18/21, 1:25 PM;($50.00);$137.52;0.0;
17;Supertrend_macd(Buy);Buy to Open;100.0;$14.33;5/18/21, 1:30 PM;;$165.74;100.0;
18;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$12.71;5/19/21, 9:35 AM;($161.81);($24.29);0.0;
19;Supertrend_macd(Sell);Sell to Open;-100.0;$12.99;5/19/21, 9:40 AM;;($51.99);-100.0;
20;Supertrend_macd(CloseSell);Buy to Close;100.0;$13.68;5/24/21, 11:10 AM;($69.48);($93.77);0.0;
21;Supertrend_macd(Buy);Buy to Open;100.0;$13.72;5/24/21, 11:15 AM;;($77.27);100.0;
22;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$15.04;5/25/21, 2:30 PM;$132.00;$38.23;0.0;
23;Supertrend_macd(Buy);Buy to Open;100.0;$15.40;5/25/21, 2:35 PM;;$30.33;100.0;
24;Supertrend_macd(CloseBuy);Sell to Close;-100.0;$18.33;5/26/21, 9:35 AM;$293.00;$331.23;0.0;
25;Supertrend_macd(Buy);Buy to Open;100.0;$17.70;5/26/21, 9:40 AM;;$356.73;100.0;
