Strategy report
Symbol: AMC
Work Time: 5/7/21, 9:35 AM - 6/18/21, 3:45 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;SuperTrendStrategy(Buy);Buy to Open;100.0;$9.21;5/7/21, 9:35 AM;;$20.40;100.0;
2;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$10.49;5/12/21, 1:50 PM;$128.50;$128.50;0.0;
3;SuperTrendStrategy(Buy);Buy to Open;100.0;$10.50;5/12/21, 1:55 PM;;$121.00;100.0;
4;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$11.79;5/13/21, 10:05 AM;$129.41;$257.91;0.0;
5;SuperTrendStrategy(Buy);Buy to Open;100.0;$11.63;5/13/21, 10:10 AM;;$269.00;100.0;
6;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$13.00;5/13/21, 1:40 PM;$137.00;$394.91;0.0;
7;SuperTrendStrategy(Buy);Buy to Open;100.0;$12.96;5/13/21, 1:45 PM;;$384.80;100.0;
8;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$14.26;5/17/21, 10:10 AM;$130.01;$524.92;0.0;
9;SuperTrendStrategy(Buy);Buy to Open;100.0;$14.18;5/17/21, 10:15 AM;;$502.52;100.0;
10;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$13.64;5/17/21, 10:25 AM;($53.29);$471.63;0.0;
11;SuperTrendStrategy(Sell);Sell to Open;-100.0;$13.59;5/17/21, 10:30 AM;;$455.13;-100.0;
12;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$14.17;5/18/21, 9:35 AM;($58.50);$413.13;0.0;
13;SuperTrendStrategy(Buy);Buy to Open;100.0;$14.39;5/18/21, 9:40 AM;;$374.13;100.0;
14;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$13.82;5/18/21, 10:10 AM;($57.01);$356.12;0.0;
15;SuperTrendStrategy(Sell);Sell to Open;-100.0;$13.87;5/18/21, 10:15 AM;;$377.12;-100.0;
16;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$14.37;5/18/21, 1:25 PM;($50.50);$305.62;0.0;
17;SuperTrendStrategy(Buy);Buy to Open;100.0;$14.33;5/18/21, 1:30 PM;;$333.84;100.0;
18;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$12.71;5/19/21, 9:35 AM;($161.81);$143.81;0.0;
19;SuperTrendStrategy(Sell);Sell to Open;-100.0;$12.99;5/19/21, 9:40 AM;;$116.11;-100.0;
20;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$13.68;5/24/21, 11:10 AM;($69.48);$74.33;0.0;
21;SuperTrendStrategy(Buy);Buy to Open;100.0;$13.72;5/24/21, 11:15 AM;;$90.83;100.0;
22;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$15.04;5/25/21, 2:30 PM;$132.00;$206.33;0.0;
23;SuperTrendStrategy(Buy);Buy to Open;100.0;$15.40;5/25/21, 2:35 PM;;$198.43;100.0;
24;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$18.33;5/26/21, 9:35 AM;$293.00;$499.33;0.0;
25;SuperTrendStrategy(Buy);Buy to Open;100.0;$17.70;5/26/21, 9:40 AM;;$525.83;100.0;
26;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$19.25;5/26/21, 11:25 AM;$155.37;$654.70;0.0;
27;SuperTrendStrategy(Buy);Buy to Open;100.0;$19.20;5/26/21, 11:30 AM;;$636.20;100.0;
28;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$18.54;5/26/21, 1:00 PM;($66.21);$588.49;0.0;
29;SuperTrendStrategy(Sell);Sell to Open;-100.0;$18.81;5/26/21, 1:05 PM;;$589.01;-100.0;
30;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$19.53;5/26/21, 2:05 PM;($72.50);$515.99;0.0;
31;SuperTrendStrategy(Buy);Buy to Open;100.0;$19.44;5/26/21, 2:10 PM;;$511.50;100.0;
32;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$18.45;5/27/21, 9:35 AM;($99.09);$416.90;0.0;
33;SuperTrendStrategy(Sell);Sell to Open;-100.0;$18.76;5/27/21, 9:40 AM;;$413.90;-100.0;
34;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$21.62;5/27/21, 10:15 AM;($285.50);$131.40;0.0;
35;SuperTrendStrategy(Buy);Buy to Open;100.0;$21.40;5/27/21, 10:20 AM;;$176.30;100.0;
36;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$23.37;5/27/21, 11:10 AM;$196.40;$327.80;0.0;
37;SuperTrendStrategy(Buy);Buy to Open;100.0;$22.85;5/27/21, 11:15 AM;;$355.78;100.0;
38;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$21.85;5/27/21, 11:35 AM;($100.12);$227.68;0.0;
39;SuperTrendStrategy(Sell);Sell to Open;-100.0;$22.18;5/27/21, 11:40 AM;;$233.89;-100.0;
40;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$22.80;5/27/21, 12:20 PM;($62.00);$165.68;0.0;
41;SuperTrendStrategy(Buy);Buy to Open;100.0;$22.73;5/27/21, 12:25 PM;;$168.18;100.0;
42;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$27.24;5/27/21, 2:30 PM;$451.09;$616.77;0.0;
43;SuperTrendStrategy(Buy);Buy to Open;100.0;$27.01;5/27/21, 2:35 PM;;$689.27;100.0;
44;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$28.60;5/27/21, 3:00 PM;$159.00;$775.77;0.0;
45;SuperTrendStrategy(Buy);Buy to Open;100.0;$28.44;5/27/21, 3:05 PM;;$761.12;100.0;
46;SuperTrendStrategy(CloseBuy);Sell to Close;-100.0;$27.85;5/27/21, 3:25 PM;($58.77);$717.00;0.0;
47;SuperTrendStrategy(Sell);Sell to Open;-100.0;$28.28;5/27/21, 3:30 PM;;$719.00;-100.0;
48;SuperTrendStrategy(CloseSell);Buy to Close;100.0;$26.04;5/27/21, 3:50 PM;$224.00;$941.00;0.0;
49;SuperTrendStrategy(Sell);Sell to Open;-100.0;$25.75;5/27/21, 3:55 PM;;$846.49;-100.0;
