Strategy report
Symbol: AMD
Work Time: 10/29/20, 9:40 AM - 6/30/21, 10:10 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$77.22;10/29/20, 9:40 AM;;$0.42;1.0;
2;AAA_ExpAvg(,5,AMD,9,9,10,1,);Sell to Close;-1.0;$77.97;10/29/20, 10:10 AM;$0.75;$0.75;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$74.91;11/2/20, 9:35 AM;;$1.39;1.0;
4;AAA_ExpAvg(,5,AMD,9,9,10,1,);Sell to Close;-1.0;$75.77;11/2/20, 10:05 AM;$0.86;$1.61;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$74.78;11/3/20, 9:35 AM;;$2.14;1.0;
6;AAA_ExpAvg(,5,AMD,9,9,10,1,);Sell to Close;-1.0;$76.43;11/3/20, 10:35 AM;$1.65;$3.26;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$80.41;11/4/20, 9:35 AM;;$2.34;1.0;
8;AAA_ExpAvg(,5,AMD,9,9,10,1,);Sell to Close;-1.0;$80.57;11/4/20, 10:05 AM;$0.16;$3.42;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$82.44;11/5/20, 9:35 AM;;$3.63;1.0;
10;AAA_ExpAvg(,5,AMD,9,9,10,1,);Sell to Close;-1.0;$83.27;11/5/20, 10:10 AM;$0.83;$4.25;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$84.54;11/6/20, 9:35 AM;;$3.26;1.0;
12;AAA_ExpAvg(,5,AMD,9,9,10,1,);Sell to Close;-1.0;$83.30;11/6/20, 9:50 AM;($1.24);$3.01;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$79.98;11/11/20, 9:40 AM;;$3.07;1.0;
14;AAA_ExpAvg(,5,AMD,9,9,10,1,);Sell to Close;-1.0;$79.47;11/11/20, 10:05 AM;($0.51);$2.51;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$82.23;11/13/20, 9:40 AM;;$2.78;1.0;
16;AAA_ExpAvg(,5,AMD,9,9,10,1,);Sell to Close;-1.0;$82.54;11/13/20, 10:10 AM;$0.31;$2.82;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$81.59;11/16/20, 9:35 AM;;$3.25;1.0;
18;AAA_ExpAvg(,5,AMD,9,9,10,1,);Sell to Close;-1.0;$82.96;11/16/20, 10:40 AM;$1.37;$4.19;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$84.76;11/17/20, 9:35 AM;;$3.16;1.0;
20;AAA_ExpAvg(,5,AMD,9,9,10,1,);Sell to Close;-1.0;$83.73;11/17/20, 9:40 AM;($1.03);$3.16;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$85.84;11/23/20, 9:35 AM;;$3.03;1.0;
22;AAA_ExpAvg(,5,AMD,9,9,10,1,);Sell to Close;-1.0;$86.78;11/23/20, 10:10 AM;$0.94;$4.10;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$86.77;11/25/20, 9:35 AM;;$4.54;1.0;
24;AAA_ExpAvg(,5,AMD,9,9,10,1,);Sell to Close;-1.0;$87.13;11/25/20, 10:05 AM;$0.36;$4.46;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$87.48;11/27/20, 9:35 AM;;$4.06;1.0;
26;AAA_ExpAvg(,5,AMD,9,9,10,1,);Sell to Close;-1.0;$87.13;11/27/20, 10:00 AM;($0.35);$4.11;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$88.95;11/30/20, 9:35 AM;;$4.36;1.0;
