Strategy report
Symbol: AMZN
Work Time: 11/2/20, 9:35 AM - 7/13/21, 10:40 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$3,071.73;11/2/20, 9:35 AM;;($8.60);1.0;
2;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,052.64;11/2/20, 9:55 AM;($19.09);($19.09);0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$2,984.44;11/3/20, 9:40 AM;;($10.35);1.0;
4;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,073.40;11/3/20, 10:25 AM;$88.96;$69.87;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$3,184.00;11/4/20, 9:35 AM;;$63.42;1.0;
6;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,182.59;11/4/20, 10:05 AM;($1.41);$68.46;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$3,323.99;11/5/20, 9:40 AM;;$72.47;1.0;
8;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,364.53;11/5/20, 10:10 AM;$40.54;$109.00;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$3,084.13;11/11/20, 9:40 AM;;$123.72;1.0;
10;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,112.36;11/11/20, 10:10 AM;$28.23;$137.23;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$3,152.38;11/12/20, 9:35 AM;;$155.78;1.0;
12;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,139.10;11/12/20, 9:50 AM;($13.28);$123.95;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$3,118.80;11/13/20, 9:35 AM;;$137.44;1.0;
14;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,127.42;11/13/20, 10:00 AM;$8.62;$132.57;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$3,176.76;11/17/20, 9:35 AM;;$123.88;1.0;
16;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,160.18;11/17/20, 10:00 AM;($16.58);$115.99;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$3,123.01;11/23/20, 9:35 AM;;$128.45;1.0;
18;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,116.00;11/23/20, 10:05 AM;($7.01);$108.98;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$3,153.15;11/25/20, 9:35 AM;;$107.77;1.0;
20;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,184.30;11/25/20, 10:10 AM;$31.15;$140.13;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$3,213.23;11/27/20, 9:35 AM;;$130.65;1.0;
22;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,201.79;11/27/20, 10:05 AM;($11.44);$128.69;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$3,211.02;11/30/20, 9:35 AM;;$130.46;1.0;
24;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,211.89;11/30/20, 9:40 AM;$0.87;$129.56;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$3,174.94;12/1/20, 9:45 AM;;$131.38;1.0;
26;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,176.01;12/1/20, 10:05 AM;$1.07;$130.63;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$3,225.00;12/3/20, 9:35 AM;;$121.49;1.0;
28;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,211.15;12/3/20, 10:00 AM;($13.86);$116.77;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$3,175.32;12/7/20, 9:40 AM;;$116.46;1.0;
30;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,165.82;12/7/20, 10:05 AM;($9.50);$107.27;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$3,142.00;12/14/20, 9:35 AM;;$124.87;1.0;
32;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,173.68;12/14/20, 10:05 AM;$31.68;$138.95;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$3,177.14;12/15/20, 9:35 AM;;$136.05;1.0;
34;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,166.06;12/15/20, 10:10 AM;($11.08);$127.87;0.0;
35;AAA_ExpAvg;Buy to Open;1.0;$3,168.90;12/16/20, 9:40 AM;;$133.27;1.0;
36;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,200.03;12/16/20, 10:15 AM;$31.13;$159.00;0.0;
37;AAA_ExpAvg;Buy to Open;1.0;$3,262.51;12/17/20, 9:35 AM;;$154.48;1.0;
38;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,252.18;12/17/20, 10:00 AM;($10.34);$148.66;0.0;
39;AAA_ExpAvg;Buy to Open;1.0;$3,205.40;12/21/20, 9:35 AM;;$162.55;1.0;
40;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,204.48;12/21/20, 9:50 AM;($0.92);$147.74;0.0;
41;AAA_ExpAvg;Buy to Open;1.0;$3,191.01;12/24/20, 9:35 AM;;$154.96;1.0;
42;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,187.73;12/24/20, 10:00 AM;($3.28);$144.46;0.0;
43;AAA_ExpAvg;Buy to Open;1.0;$3,189.70;12/28/20, 9:35 AM;;$148.86;1.0;
44;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,189.42;12/28/20, 10:00 AM;($0.28);$144.18;0.0;
45;AAA_ExpAvg;Buy to Open;1.0;$3,311.99;12/29/20, 9:35 AM;;$151.40;1.0;
46;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,303.25;12/29/20, 10:00 AM;($8.74);$135.44;0.0;
47;AAA_ExpAvg;Buy to Open;1.0;$3,328.75;12/30/20, 9:35 AM;;$133.98;1.0;
48;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,322.95;12/30/20, 10:05 AM;($5.80);$129.65;0.0;
49;AAA_ExpAvg;Buy to Open;1.0;$3,184.18;1/5/21, 9:40 AM;;$145.13;1.0;
50;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,209.64;1/5/21, 10:15 AM;$25.46;$155.10;0.0;
51;AAA_ExpAvg;Buy to Open;1.0;$3,187.85;1/7/21, 9:45 AM;;$144.93;1.0;
52;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,204.15;1/7/21, 10:10 AM;$16.30;$171.40;0.0;
53;AAA_ExpAvg;Buy to Open;1.0;$3,126.00;1/19/21, 9:35 AM;;$164.03;1.0;
54;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,106.65;1/19/21, 9:55 AM;($19.35);$152.05;0.0;
55;AAA_ExpAvg;Buy to Open;1.0;$3,198.38;1/20/21, 9:35 AM;;$166.35;1.0;
56;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,213.33;1/20/21, 10:05 AM;$14.95;$167.00;0.0;
57;AAA_ExpAvg;Buy to Open;1.0;$3,327.28;1/21/21, 9:40 AM;;$143.85;1.0;
58;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,315.28;1/21/21, 10:05 AM;($11.99);$155.01;0.0;
59;AAA_ExpAvg;Buy to Open;1.0;$3,349.00;1/25/21, 9:35 AM;;$164.92;1.0;
60;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,346.19;1/25/21, 10:00 AM;($2.81);$152.20;0.0;
61;AAA_ExpAvg;Buy to Open;1.0;$3,309.00;1/26/21, 9:35 AM;;$145.42;1.0;
62;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,303.00;1/26/21, 9:40 AM;($6.00);$146.20;0.0;
63;AAA_ExpAvg;Buy to Open;1.0;$3,255.39;2/1/21, 9:35 AM;;$157.90;1.0;
64;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,279.26;2/1/21, 10:10 AM;$23.87;$170.07;0.0;
65;AAA_ExpAvg;Buy to Open;1.0;$3,412.00;2/2/21, 9:35 AM;;$172.30;1.0;
66;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,386.65;2/2/21, 9:55 AM;($25.35);$144.72;0.0;
67;AAA_ExpAvg;Buy to Open;1.0;$3,329.59;2/4/21, 9:35 AM;;$142.13;1.0;
68;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,310.13;2/4/21, 9:50 AM;($19.46);$125.26;0.0;
69;AAA_ExpAvg;Buy to Open;1.0;$3,319.32;2/9/21, 9:40 AM;;$136.94;1.0;
70;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,331.71;2/9/21, 9:45 AM;$12.39;$137.64;0.0;
71;AAA_ExpAvg;Buy to Open;1.0;$3,269.62;2/16/21, 9:40 AM;;$162.02;1.0;
72;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,287.02;2/16/21, 10:10 AM;$17.40;$155.04;0.0;
73;AAA_ExpAvg;Buy to Open;1.0;$3,286.13;2/17/21, 9:45 AM;;$159.39;1.0;
74;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,285.84;2/17/21, 10:05 AM;($0.29);$154.75;0.0;
75;AAA_ExpAvg;Buy to Open;1.0;$3,162.73;2/25/21, 9:35 AM;;$165.88;1.0;
76;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,156.31;2/25/21, 9:50 AM;($6.42);$148.33;0.0;
77;AAA_ExpAvg;Buy to Open;1.0;$3,130.59;3/1/21, 9:35 AM;;$132.41;1.0;
78;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,109.17;3/1/21, 9:50 AM;($21.42);$126.91;0.0;
79;AAA_ExpAvg;Buy to Open;1.0;$3,042.60;3/4/21, 9:40 AM;;$114.23;1.0;
80;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,007.22;3/4/21, 9:50 AM;($35.38);$91.53;0.0;
81;AAA_ExpAvg;Buy to Open;1.0;$3,012.30;3/8/21, 9:35 AM;;$107.97;1.0;
82;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,018.36;3/8/21, 10:00 AM;$6.05;$97.59;0.0;
83;AAA_ExpAvg;Buy to Open;1.0;$3,028.81;3/9/21, 9:35 AM;;$103.13;1.0;
84;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,056.68;3/9/21, 10:10 AM;$27.87;$125.46;0.0;
85;AAA_ExpAvg;Buy to Open;1.0;$3,074.37;3/10/21, 9:45 AM;;$142.82;1.0;
86;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,088.01;3/10/21, 10:10 AM;$13.64;$139.09;0.0;
87;AAA_ExpAvg;Buy to Open;1.0;$3,107.67;3/11/21, 9:35 AM;;$135.95;1.0;
88;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,104.84;3/11/21, 10:05 AM;($2.83);$136.26;0.0;
89;AAA_ExpAvg;Buy to Open;1.0;$3,099.71;3/16/21, 9:35 AM;;$135.04;1.0;
90;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,122.77;3/16/21, 10:05 AM;$23.05;$159.32;0.0;
91;AAA_ExpAvg;Buy to Open;1.0;$3,082.96;3/22/21, 9:35 AM;;$167.05;1.0;
92;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,099.36;3/22/21, 10:00 AM;$16.40;$175.72;0.0;
93;AAA_ExpAvg;Buy to Open;1.0;$3,127.18;3/23/21, 9:35 AM;;$186.47;1.0;
94;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,144.46;3/23/21, 10:10 AM;$17.28;$193.00;0.0;
95;AAA_ExpAvg;Buy to Open;1.0;$3,054.40;3/29/21, 9:35 AM;;$201.23;1.0;
96;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,056.51;3/29/21, 9:50 AM;$2.11;$195.10;0.0;
97;AAA_ExpAvg;Buy to Open;1.0;$3,067.75;3/31/21, 9:40 AM;;$195.21;1.0;
98;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,099.95;3/31/21, 10:30 AM;$32.20;$227.30;0.0;
99;AAA_ExpAvg;Buy to Open;1.0;$3,124.94;4/1/21, 9:35 AM;;$232.36;1.0;
100;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,120.52;4/1/21, 10:05 AM;($4.42);$222.88;0.0;
101;AAA_ExpAvg;Buy to Open;1.0;$3,176.07;4/5/21, 9:35 AM;;$219.81;1.0;
102;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,199.44;4/5/21, 10:10 AM;$23.37;$246.25;0.0;
103;AAA_ExpAvg;Buy to Open;1.0;$3,235.62;4/6/21, 9:35 AM;;$250.45;1.0;
104;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,242.03;4/6/21, 10:10 AM;$6.41;$252.66;0.0;
105;AAA_ExpAvg;Buy to Open;1.0;$3,227.00;4/7/21, 9:35 AM;;$258.86;1.0;
106;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,262.30;4/7/21, 10:20 AM;$35.30;$287.96;0.0;
107;AAA_ExpAvg;Buy to Open;1.0;$3,321.35;4/8/21, 9:35 AM;;$281.62;1.0;
108;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,313.08;4/8/21, 10:05 AM;($8.27);$279.69;0.0;
109;AAA_ExpAvg;Buy to Open;1.0;$3,306.28;4/9/21, 9:45 AM;;$287.40;1.0;
110;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,321.56;4/9/21, 10:25 AM;$15.28;$294.97;0.0;
111;AAA_ExpAvg;Buy to Open;1.0;$3,376.81;4/12/21, 9:35 AM;;$307.97;1.0;
112;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,378.71;4/12/21, 9:45 AM;$1.90;$296.87;0.0;
113;AAA_ExpAvg;Buy to Open;1.0;$3,411.37;4/13/21, 9:35 AM;;$307.87;1.0;
114;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,419.87;4/13/21, 10:05 AM;$8.50;$305.37;0.0;
115;AAA_ExpAvg;Buy to Open;1.0;$3,384.49;4/15/21, 9:35 AM;;$312.55;1.0;
116;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,380.23;4/15/21, 10:00 AM;($4.26);$301.12;0.0;
117;AAA_ExpAvg;Buy to Open;1.0;$3,418.00;4/19/21, 9:35 AM;;$305.40;1.0;
118;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,421.95;4/19/21, 10:00 AM;$3.95;$305.07;0.0;
119;AAA_ExpAvg;Buy to Open;1.0;$3,365.62;4/22/21, 9:35 AM;;$303.73;1.0;
120;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,364.90;4/22/21, 9:40 AM;($0.72);$304.35;0.0;
121;AAA_ExpAvg;Buy to Open;1.0;$3,451.13;4/27/21, 9:35 AM;;$290.73;1.0;
122;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,426.00;4/27/21, 9:55 AM;($25.13);$279.22;0.0;
123;AAA_ExpAvg;Buy to Open;1.0;$3,430.29;4/28/21, 9:35 AM;;$281.51;1.0;
124;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,479.92;4/28/21, 10:20 AM;$49.63;$328.85;0.0;
125;AAA_ExpAvg;Buy to Open;1.0;$3,505.71;4/29/21, 9:35 AM;;$318.15;1.0;
126;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,487.08;4/29/21, 10:05 AM;($18.63);$310.22;0.0;
127;AAA_ExpAvg;Buy to Open;1.0;$3,501.82;4/30/21, 9:35 AM;;$307.59;1.0;
128;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,533.65;4/30/21, 10:10 AM;$31.84;$342.05;0.0;
129;AAA_ExpAvg;Buy to Open;1.0;$3,341.42;5/5/21, 9:35 AM;;$329.72;1.0;
130;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,328.13;5/5/21, 9:55 AM;($13.30);$328.76;0.0;
131;AAA_ExpAvg;Buy to Open;1.0;$3,307.19;5/7/21, 9:35 AM;;$325.27;1.0;
132;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,300.60;5/7/21, 9:45 AM;($6.59);$322.17;0.0;
133;AAA_ExpAvg;Buy to Open;1.0;$3,187.85;5/13/21, 9:35 AM;;$312.32;1.0;
134;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,177.96;5/13/21, 10:05 AM;($9.90);$312.27;0.0;
135;AAA_ExpAvg;Buy to Open;1.0;$3,199.40;5/14/21, 9:35 AM;;$318.88;1.0;
136;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,199.78;5/14/21, 10:05 AM;$0.38;$312.65;0.0;
137;AAA_ExpAvg;Buy to Open;1.0;$3,250.06;5/17/21, 9:35 AM;;$335.49;1.0;
138;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,264.23;5/17/21, 10:05 AM;$14.17;$326.82;0.0;
139;AAA_ExpAvg;Buy to Open;1.0;$3,280.26;5/18/21, 9:35 AM;;$344.56;1.0;
140;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,291.98;5/18/21, 10:05 AM;$11.72;$338.54;0.0;
141;AAA_ExpAvg;Buy to Open;1.0;$3,244.97;5/20/21, 9:35 AM;;$339.86;1.0;
142;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,254.99;5/20/21, 10:00 AM;$10.02;$348.56;0.0;
143;AAA_ExpAvg;Buy to Open;1.0;$3,222.67;5/24/21, 9:35 AM;;$354.91;1.0;
144;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,235.92;5/24/21, 10:10 AM;$13.25;$361.81;0.0;
145;AAA_ExpAvg;Buy to Open;1.0;$3,274.73;5/25/21, 9:35 AM;;$355.75;1.0;
146;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,260.86;5/25/21, 10:00 AM;($13.87);$347.94;0.0;
147;AAA_ExpAvg;Buy to Open;1.0;$3,234.69;5/28/21, 9:35 AM;;$352.88;1.0;
148;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,237.59;5/28/21, 10:10 AM;$2.91;$350.85;0.0;
149;AAA_ExpAvg;Buy to Open;1.0;$3,243.90;6/1/21, 9:40 AM;;$351.70;1.0;
150;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,238.47;6/1/21, 10:00 AM;($5.43);$345.42;0.0;
151;AAA_ExpAvg;Buy to Open;1.0;$3,208.99;6/4/21, 9:40 AM;;$345.39;1.0;
152;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,210.98;6/4/21, 10:05 AM;$1.99;$347.41;0.0;
153;AAA_ExpAvg;Buy to Open;1.0;$3,228.12;6/8/21, 9:35 AM;;$358.44;1.0;
154;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,231.37;6/8/21, 10:00 AM;$3.25;$350.66;0.0;
155;AAA_ExpAvg;Buy to Open;1.0;$3,276.27;6/9/21, 9:35 AM;;$356.94;1.0;
156;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,282.92;6/9/21, 10:05 AM;$6.65;$357.31;0.0;
157;AAA_ExpAvg;Buy to Open;1.0;$3,304.24;6/10/21, 9:35 AM;;$365.32;1.0;
158;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,322.85;6/10/21, 10:10 AM;$18.61;$375.92;0.0;
159;AAA_ExpAvg;Buy to Open;1.0;$3,351.77;6/11/21, 9:35 AM;;$378.89;1.0;
160;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,366.29;6/11/21, 9:55 AM;$14.51;$390.44;0.0;
161;AAA_ExpAvg;Buy to Open;1.0;$3,338.45;6/14/21, 9:35 AM;;$409.76;1.0;
162;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,364.07;6/14/21, 10:10 AM;$25.62;$416.06;0.0;
163;AAA_ExpAvg;Buy to Open;1.0;$3,372.00;6/15/21, 9:35 AM;;$417.99;1.0;
164;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,385.49;6/15/21, 10:00 AM;$13.49;$429.54;0.0;
165;AAA_ExpAvg;Buy to Open;1.0;$3,394.20;6/16/21, 9:35 AM;;$436.48;1.0;
166;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,411.69;6/16/21, 10:10 AM;$17.49;$447.03;0.0;
167;AAA_ExpAvg;Buy to Open;1.0;$3,493.00;6/18/21, 9:45 AM;;$449.14;1.0;
168;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,495.32;6/18/21, 9:50 AM;$2.32;$449.35;0.0;
169;AAA_ExpAvg;Buy to Open;1.0;$3,477.92;6/22/21, 9:35 AM;;$453.58;1.0;
170;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,488.00;6/22/21, 10:05 AM;$10.08;$459.43;0.0;
171;AAA_ExpAvg;Buy to Open;1.0;$3,516.79;6/24/21, 9:35 AM;;$458.35;1.0;
172;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,515.31;6/24/21, 10:00 AM;($1.48);$457.95;0.0;
173;AAA_ExpAvg;Buy to Open;1.0;$3,430.11;6/28/21, 9:35 AM;;$467.34;1.0;
174;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,433.03;6/28/21, 10:05 AM;$2.92;$460.87;0.0;
175;AAA_ExpAvg;Buy to Open;1.0;$3,460.00;6/30/21, 9:40 AM;;$462.04;1.0;
176;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,463.82;6/30/21, 10:10 AM;$3.82;$464.69;0.0;
177;AAA_ExpAvg;Buy to Open;1.0;$3,450.58;7/1/21, 9:35 AM;;$464.11;1.0;
178;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,443.26;7/1/21, 10:05 AM;($7.32);$457.37;0.0;
179;AAA_ExpAvg;Buy to Open;1.0;$3,442.05;7/2/21, 9:35 AM;;$467.58;1.0;
180;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,445.24;7/2/21, 10:00 AM;$3.19;$460.57;0.0;
181;AAA_ExpAvg;Buy to Open;1.0;$3,568.00;7/6/21, 9:35 AM;;$472.08;1.0;
182;AAA_ExpAvg(,5,AMZN,9,9,10,1,);Sell to Close;-1.0;$3,627.02;7/6/21, 10:10 AM;$59.02;$519.59;0.0;
183;AAA_ExpAvg;Buy to Open;1.0;$3,700.61;7/7/21, 9:35 AM;;$537.09;1.0;
