Strategy report
Symbol: AMZN
Work Time: 10/28/20, 1:30 PM - 7/15/21, 11:45 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$3,185.00;10/28/20, 1:30 PM;;$4.89;1.0;
2;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,192.64;10/28/20, 2:05 PM;$7.64;$7.64;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$3,195.06;10/29/20, 10:05 AM;;$6.65;1.0;
4;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,199.62;10/29/20, 10:30 AM;$4.56;$12.20;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$3,192.49;10/29/20, 11:20 AM;;$13.83;1.0;
6;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,190.00;10/29/20, 11:45 AM;($2.49);$9.71;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$3,198.21;10/29/20, 12:20 PM;;$10.24;1.0;
8;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,217.89;10/29/20, 1:05 PM;$19.68;$29.39;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$3,226.69;10/29/20, 1:25 PM;;$35.60;1.0;
10;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,227.51;10/29/20, 1:45 PM;$0.82;$30.21;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$3,244.44;10/29/20, 2:10 PM;;$32.95;1.0;
12;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,256.24;10/29/20, 2:35 PM;$11.80;$42.01;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$3,233.95;10/29/20, 3:25 PM;;$45.70;1.0;
14;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,230.60;10/29/20, 3:55 PM;($3.35);$38.66;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$3,071.73;11/2/20, 9:35 AM;;$30.06;1.0;
16;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,052.64;11/2/20, 9:55 AM;($19.09);$19.57;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$2,997.44;11/2/20, 11:45 AM;;$22.00;1.0;
18;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$2,992.40;11/2/20, 12:15 PM;($5.03);$14.54;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$2,981.44;11/2/20, 3:15 PM;;$25.09;1.0;
20;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$2,985.35;11/2/20, 3:40 PM;$3.91;$18.45;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$2,984.44;11/3/20, 9:40 AM;;$27.18;1.0;
22;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,073.40;11/3/20, 10:25 AM;$88.96;$107.41;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$3,059.29;11/3/20, 12:25 PM;;$116.60;1.0;
24;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,064.56;11/3/20, 12:55 PM;$5.27;$112.68;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$3,050.66;11/3/20, 2:15 PM;;$117.17;1.0;
26;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,055.04;11/3/20, 2:50 PM;$4.38;$117.06;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$3,066.67;11/3/20, 3:35 PM;;$115.61;1.0;
28;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,057.98;11/3/20, 3:55 PM;($8.69);$108.37;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$3,184.00;11/4/20, 9:35 AM;;$101.92;1.0;
30;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,182.59;11/4/20, 10:05 AM;($1.41);$106.96;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$3,214.58;11/4/20, 10:25 AM;;$103.31;1.0;
32;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,219.54;11/4/20, 10:35 AM;$4.97;$111.92;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$3,228.46;11/4/20, 1:35 PM;;$114.32;1.0;
34;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,232.44;11/4/20, 2:30 PM;$3.98;$115.91;0.0;
35;AAA_ExpAvg;Buy to Open;1.0;$3,323.99;11/5/20, 9:40 AM;;$119.92;1.0;
36;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,364.53;11/5/20, 10:10 AM;$40.54;$156.45;0.0;
37;AAA_ExpAvg;Buy to Open;1.0;$3,328.54;11/5/20, 12:55 PM;;$160.24;1.0;
38;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,336.95;11/5/20, 1:30 PM;$8.41;$164.86;0.0;
39;AAA_ExpAvg;Buy to Open;1.0;$3,337.98;11/5/20, 2:00 PM;;$167.54;1.0;
40;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,337.68;11/5/20, 2:15 PM;($0.30);$164.56;0.0;
41;AAA_ExpAvg;Buy to Open;1.0;$3,343.00;11/5/20, 2:30 PM;;$166.05;1.0;
42;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,353.22;11/5/20, 3:05 PM;$10.22;$174.78;0.0;
43;AAA_ExpAvg;Buy to Open;1.0;$3,288.39;11/6/20, 11:45 AM;;$176.39;1.0;
44;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,288.53;11/6/20, 12:00 PM;$0.14;$174.92;0.0;
45;AAA_ExpAvg;Buy to Open;1.0;$3,297.74;11/6/20, 12:30 PM;;$182.88;1.0;
46;AAA_ExpAvg(,5,AMZN,9,9,360,1,);Sell to Close;-1.0;$3,305.24;11/6/20, 12:45 PM;$7.50;$182.42;0.0;
