Strategy report
Symbol: BAC
Work Time: 11/2/20, 9:35 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$23.80;11/2/20, 9:35 AM;;($0.09);1.0;
2;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$23.48;11/2/20, 9:45 AM;($0.32);($0.32);0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$24.58;11/3/20, 9:35 AM;;($0.25);1.0;
4;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$24.79;11/3/20, 10:05 AM;$0.21;($0.11);0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$24.16;11/5/20, 9:35 AM;;($0.11);1.0;
6;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$24.28;11/5/20, 10:05 AM;$0.12;$0.01;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$26.96;11/9/20, 9:35 AM;;($0.22);1.0;
8;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$26.88;11/9/20, 10:05 AM;($0.07);($0.06);0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$26.81;11/13/20, 9:35 AM;;($0.04);1.0;
10;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$27.02;11/13/20, 10:05 AM;$0.21;$0.14;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$27.78;11/16/20, 9:35 AM;;$0.12;1.0;
12;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$27.62;11/16/20, 10:00 AM;($0.16);($0.02);0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$27.61;11/18/20, 9:35 AM;;$0.03;1.0;
14;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$27.88;11/18/20, 10:05 AM;$0.27;$0.26;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$27.11;11/23/20, 9:35 AM;;$0.24;1.0;
16;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$27.32;11/23/20, 10:10 AM;$0.21;$0.47;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$28.06;11/24/20, 9:35 AM;;$0.52;1.0;
18;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$28.39;11/24/20, 10:05 AM;$0.34;$0.80;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$29.03;11/27/20, 9:40 AM;;$0.79;1.0;
20;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$29.00;11/27/20, 9:50 AM;($0.03);$0.77;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$28.74;12/1/20, 9:35 AM;;$0.93;1.0;
22;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$28.95;12/1/20, 10:05 AM;$0.21;$0.98;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$28.86;12/2/20, 9:40 AM;;$1.08;1.0;
24;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$28.96;12/2/20, 10:10 AM;$0.10;$1.08;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$29.34;12/4/20, 9:35 AM;;$1.12;1.0;
26;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$29.19;12/4/20, 10:00 AM;($0.15);$0.93;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$29.06;12/8/20, 9:40 AM;;$0.94;1.0;
28;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$29.03;12/8/20, 10:00 AM;($0.02);$0.91;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$29.12;12/9/20, 9:35 AM;;$0.87;1.0;
30;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$29.21;12/9/20, 10:05 AM;$0.10;$1.00;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$28.85;12/14/20, 9:35 AM;;$0.93;1.0;
32;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$28.69;12/14/20, 10:00 AM;($0.15);$0.85;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$28.52;12/15/20, 9:40 AM;;$0.85;1.0;
34;AAA_ExpAvg(,5,BAC,9,9,10,1,);Sell to Close;-1.0;$28.36;12/15/20, 9:55 AM;($0.16);$0.69;0.0;
