Strategy report
Symbol: BA
Work Time: 11/2/20, 9:35 AM - 7/14/21, 10:10 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$144.32;11/2/20, 9:35 AM;;$0.52;1.0;
2;AAA_ExpAvg(,5,BA,9,9,10,1,);Sell to Close;-1.0;$144.17;11/2/20, 9:55 AM;($0.15);($0.15);0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$152.35;11/3/20, 9:35 AM;;($0.58);1.0;
4;AAA_ExpAvg(,5,BA,9,9,10,1,);Sell to Close;-1.0;$153.32;11/3/20, 10:05 AM;$0.97;$0.82;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$153.54;11/5/20, 9:40 AM;;$1.96;1.0;
6;AAA_ExpAvg(,5,BA,9,9,10,1,);Sell to Close;-1.0;$154.66;11/5/20, 10:05 AM;$1.12;$1.93;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$180.28;11/9/20, 9:35 AM;;($0.15);1.0;
8;AAA_ExpAvg(,5,BA,9,9,10,1,);Sell to Close;-1.0;$178.63;11/9/20, 10:05 AM;($1.65);$0.28;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$185.59;11/10/20, 9:45 AM;;$2.84;1.0;
10;AAA_ExpAvg(,5,BA,9,9,10,1,);Sell to Close;-1.0;$191.26;11/10/20, 10:20 AM;$5.67;$5.95;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$180.65;11/13/20, 9:45 AM;;$6.22;1.0;
12;AAA_ExpAvg(,5,BA,9,9,10,1,);Sell to Close;-1.0;$181.21;11/13/20, 10:10 AM;$0.56;$6.51;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$192.44;11/16/20, 9:35 AM;;$7.19;1.0;
14;AAA_ExpAvg(,5,BA,9,9,10,1,);Sell to Close;-1.0;$196.28;11/16/20, 10:05 AM;$3.84;$10.35;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$218.14;11/18/20, 9:35 AM;;$8.84;1.0;
16;AAA_ExpAvg(,5,BA,9,9,10,1,);Sell to Close;-1.0;$217.77;11/18/20, 10:05 AM;($0.37);$9.98;0.0;
