Strategy report
Symbol: BIDU
Work Time: 10/27/20, 9:40 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$133.04;10/27/20, 9:40 AM;;($0.06);1.0;
2;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$132.91;10/27/20, 9:45 AM;($0.13);($0.13);0.0;
3;AAA;Buy to Open;1.0;$132.90;11/2/20, 9:35 AM;;$2.37;1.0;
4;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$137.03;11/2/20, 10:10 AM;$4.13;$4.00;0.0;
5;AAA;Buy to Open;1.0;$137.91;11/4/20, 9:35 AM;;$3.55;1.0;
6;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$142.01;11/4/20, 10:10 AM;$4.10;$8.10;0.0;
7;AAA;Buy to Open;1.0;$143.90;11/5/20, 9:35 AM;;$7.74;1.0;
8;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$143.62;11/5/20, 10:00 AM;($0.28);$7.82;0.0;
9;AAA;Buy to Open;1.0;$144.96;11/6/20, 9:35 AM;;$6.59;1.0;
10;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$144.16;11/6/20, 9:45 AM;($0.80);$7.02;0.0;
11;AAA;Buy to Open;1.0;$145.11;11/9/20, 9:35 AM;;$6.90;1.0;
12;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$145.15;11/9/20, 10:00 AM;$0.04;$7.06;0.0;
13;AAA;Buy to Open;1.0;$144.67;11/10/20, 9:40 AM;;$4.52;1.0;
14;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$142.28;11/10/20, 10:50 AM;($2.39);$4.67;0.0;
15;AAA;Buy to Open;1.0;$146.68;11/16/20, 9:35 AM;;$6.33;1.0;
16;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$150.18;11/16/20, 10:10 AM;$3.50;$8.17;0.0;
17;AAA;Buy to Open;1.0;$134.64;11/24/20, 9:35 AM;;$7.77;1.0;
18;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$133.85;11/24/20, 10:00 AM;($0.79);$7.38;0.0;
19;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$135.91;11/27/20, 9:35 AM;$0.00;$8.07;-1.0;
20;AAA;Buy to Open;1.0;$135.91;11/27/20, 9:35 AM;;$7.38;0.0;
21;AAA;Buy to Open;1.0;$137.80;12/1/20, 9:35 AM;;$7.64;1.0;
22;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$139.91;12/1/20, 10:20 AM;$2.11;$9.49;0.0;
23;AAA;Buy to Open;1.0;$145.82;12/4/20, 9:35 AM;;$9.71;1.0;
24;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$145.17;12/4/20, 10:00 AM;($0.65);$8.84;0.0;
25;AAA;Buy to Open;1.0;$146.03;12/8/20, 9:35 AM;;$8.70;1.0;
26;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$145.20;12/8/20, 9:55 AM;($0.83);$8.01;0.0;
27;AAA;Buy to Open;1.0;$147.19;12/9/20, 9:35 AM;;$9.83;1.0;
28;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$155.16;12/9/20, 10:15 AM;$7.97;$15.98;0.0;
29;AAA;Buy to Open;1.0;$159.71;12/11/20, 9:35 AM;;$17.65;1.0;
30;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$161.73;12/11/20, 10:05 AM;$2.02;$18.00;0.0;
31;AAA;Buy to Open;1.0;$164.50;12/14/20, 9:35 AM;;$20.43;1.0;
32;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$165.48;12/14/20, 10:05 AM;$0.98;$18.98;0.0;
33;AAA;Buy to Open;1.0;$169.13;12/15/20, 9:35 AM;;$20.41;1.0;
34;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$179.14;12/15/20, 10:15 AM;$10.01;$28.99;0.0;
35;AAA;Buy to Open;1.0;$190.73;12/16/20, 9:35 AM;;$31.20;1.0;
36;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$198.41;12/16/20, 10:10 AM;$7.68;$36.67;0.0;
37;AAA;Buy to Open;1.0;$190.39;12/18/20, 9:35 AM;;$38.03;1.0;
38;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$198.60;12/18/20, 10:20 AM;$8.21;$44.89;0.0;
39;AAA;Buy to Open;1.0;$194.20;12/21/20, 9:40 AM;;$46.16;1.0;
40;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$199.52;12/21/20, 10:15 AM;$5.32;$50.20;0.0;
41;AAA;Buy to Open;1.0;$195.61;12/22/20, 9:40 AM;;$47.72;1.0;
42;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$193.97;12/22/20, 10:00 AM;($1.64);$48.56;0.0;
43;AAA;Buy to Open;1.0;$192.07;12/23/20, 9:35 AM;;$48.70;1.0;
44;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$190.08;12/23/20, 9:45 AM;($1.99);$46.57;0.0;
45;AAA;Buy to Open;1.0;$191.63;12/28/20, 9:35 AM;;$48.36;1.0;
46;AAA(,5,BIDU,9,9,10,);Sell to Close;-1.0;$195.42;12/28/20, 10:10 AM;$3.79;$50.36;0.0;
47;AAA;Buy to Open;1.0;$198.31;12/29/20, 9:35 AM;;$50.01;1.0;
