Strategy report
Symbol: CCL
Work Time: 10/29/20, 9:45 AM - 7/14/21, 10:00 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$12.26;10/29/20, 9:45 AM;;$0.12;1.0;
2;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$12.84;10/29/20, 10:55 AM;$0.58;$0.58;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$13.82;11/3/20, 9:35 AM;;$0.59;1.0;
4;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$13.92;11/3/20, 10:05 AM;$0.11;$0.68;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$13.69;11/5/20, 9:40 AM;;$0.79;1.0;
6;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$13.87;11/5/20, 10:05 AM;$0.18;$0.86;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$19.18;11/9/20, 9:35 AM;;$0.98;1.0;
8;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$18.02;11/9/20, 10:00 AM;($1.16);($0.30);0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$17.04;11/16/20, 9:35 AM;;($0.14);1.0;
10;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$17.54;11/16/20, 10:05 AM;$0.50;$0.20;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$17.90;11/19/20, 9:40 AM;;$0.10;1.0;
12;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$17.90;11/19/20, 10:05 AM;$0.00;$0.20;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$17.70;11/23/20, 9:35 AM;;$0.33;1.0;
14;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$17.80;11/23/20, 10:05 AM;$0.10;$0.29;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$19.13;11/24/20, 9:35 AM;;$0.69;1.0;
16;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$19.88;11/24/20, 10:10 AM;$0.75;$1.05;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$21.14;11/27/20, 9:35 AM;;$1.17;1.0;
18;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$21.23;11/27/20, 10:05 AM;$0.09;$1.13;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$20.56;12/1/20, 9:35 AM;;$1.36;1.0;
20;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$20.76;12/1/20, 10:05 AM;$0.20;$1.33;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$21.70;12/3/20, 9:35 AM;;$1.41;1.0;
22;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$21.99;12/3/20, 10:05 AM;$0.29;$1.63;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$23.37;12/4/20, 9:35 AM;;$1.54;1.0;
24;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$23.42;12/4/20, 10:00 AM;$0.05;$1.68;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$23.55;12/8/20, 9:35 AM;;$2.01;1.0;
26;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$23.61;12/8/20, 10:00 AM;$0.05;$1.73;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$24.00;12/9/20, 9:35 AM;;$1.51;1.0;
28;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$23.96;12/9/20, 10:05 AM;($0.04);$1.69;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$22.75;12/11/20, 9:40 AM;;$1.54;1.0;
30;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$22.47;12/11/20, 9:50 AM;($0.28);$1.42;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$22.23;12/14/20, 9:35 AM;;$1.42;1.0;
32;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$22.04;12/14/20, 10:00 AM;($0.19);$1.23;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$20.36;12/23/20, 9:35 AM;;$1.48;1.0;
34;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$20.87;12/23/20, 10:10 AM;$0.51;$1.74;0.0;
35;AAA_ExpAvg;Buy to Open;1.0;$21.36;12/28/20, 9:35 AM;;$1.54;1.0;
36;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$22.03;12/28/20, 10:30 AM;$0.67;$2.41;0.0;
37;AAA_ExpAvg;Buy to Open;1.0;$22.04;12/29/20, 9:35 AM;;$2.19;1.0;
38;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$21.70;12/29/20, 10:00 AM;($0.34);$2.07;0.0;
39;AAA_ExpAvg;Buy to Open;1.0;$21.73;12/30/20, 9:40 AM;;$1.99;1.0;
40;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$21.77;12/30/20, 10:05 AM;$0.03;$2.10;0.0;
41;AAA_ExpAvg;Buy to Open;1.0;$20.94;1/7/21, 9:45 AM;;$2.09;1.0;
42;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$21.26;1/7/21, 10:05 AM;$0.32;$2.42;0.0;
43;AAA_ExpAvg;Buy to Open;1.0;$20.98;1/14/21, 9:35 AM;;$2.67;1.0;
44;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$21.11;1/14/21, 10:05 AM;$0.13;$2.55;0.0;
45;AAA_ExpAvg;Buy to Open;1.0;$21.02;1/19/21, 9:35 AM;;$2.46;1.0;
46;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$20.85;1/19/21, 10:00 AM;($0.18);$2.38;0.0;
47;AAA_ExpAvg;Buy to Open;1.0;$20.22;1/28/21, 9:35 AM;;$2.78;1.0;
48;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$20.27;1/28/21, 10:00 AM;$0.05;$2.43;0.0;
49;AAA_ExpAvg;Buy to Open;1.0;$19.01;2/1/21, 9:35 AM;;$2.34;1.0;
50;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$18.70;2/1/21, 9:50 AM;($0.31);$2.12;0.0;
51;AAA_ExpAvg;Buy to Open;1.0;$19.37;2/2/21, 9:35 AM;;$1.91;1.0;
52;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$19.26;2/2/21, 10:05 AM;($0.11);$2.01;0.0;
53;AAA_ExpAvg;Buy to Open;1.0;$19.60;2/3/21, 9:35 AM;;$2.11;1.0;
54;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$19.99;2/3/21, 10:10 AM;$0.39;$2.40;0.0;
55;AAA_ExpAvg;Buy to Open;1.0;$21.17;2/4/21, 9:35 AM;;$2.28;1.0;
56;AAA_ExpAvg(,5,CCL,9,9,10,1,);Sell to Close;-1.0;$21.18;2/4/21, 10:00 AM;$0.02;$2.42;0.0;
57;AAA_ExpAvg;Buy to Open;1.0;$21.47;2/5/21, 9:35 AM;;$2.33;1.0;
