Strategy report
Symbol: DAL
Work Time: 10/29/20, 9:45 AM - 7/15/21, 10:10 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$29.88;10/29/20, 9:45 AM;;$0.21;1.0;
2;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$30.20;10/29/20, 10:15 AM;$0.32;$0.32;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$31.13;11/3/20, 9:35 AM;;$0.30;1.0;
4;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$31.36;11/3/20, 10:05 AM;$0.23;$0.55;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$31.29;11/5/20, 9:35 AM;;$0.50;1.0;
6;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$31.27;11/5/20, 10:00 AM;($0.02);$0.54;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$38.18;11/9/20, 9:35 AM;;($0.68);1.0;
8;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$36.13;11/9/20, 10:00 AM;($2.05);($1.51);0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$35.01;11/13/20, 9:35 AM;;($1.25);1.0;
10;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$35.82;11/13/20, 10:10 AM;$0.81;($0.70);0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$37.69;11/16/20, 9:35 AM;;($0.85);1.0;
12;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$37.60;11/16/20, 10:05 AM;($0.09);($0.79);0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$38.29;11/18/20, 9:35 AM;;($0.47);1.0;
14;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$39.03;11/18/20, 10:05 AM;$0.74;($0.05);0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$37.57;11/23/20, 9:35 AM;;$0.15;1.0;
16;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$38.03;11/23/20, 10:10 AM;$0.46;$0.41;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$39.45;11/24/20, 9:35 AM;;$0.88;1.0;
18;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$40.84;11/24/20, 10:10 AM;$1.38;$1.80;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$42.18;11/27/20, 9:35 AM;;$1.68;1.0;
20;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$41.60;11/27/20, 9:55 AM;($0.58);$1.22;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$40.68;12/1/20, 9:35 AM;;$1.43;1.0;
22;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$40.87;12/1/20, 10:05 AM;$0.19;$1.41;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$41.87;12/3/20, 9:35 AM;;$1.43;1.0;
24;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$42.05;12/3/20, 10:05 AM;$0.18;$1.58;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$42.45;12/8/20, 9:35 AM;;$1.91;1.0;
26;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$42.55;12/8/20, 9:55 AM;$0.09;$1.68;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$42.87;12/9/20, 9:35 AM;;$1.86;1.0;
28;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$43.23;12/9/20, 10:05 AM;$0.36;$2.04;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$42.17;12/14/20, 9:35 AM;;$2.05;1.0;
30;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$42.00;12/14/20, 9:55 AM;($0.17);$1.87;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$41.30;12/15/20, 9:35 AM;;$1.70;1.0;
32;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$40.95;12/15/20, 9:45 AM;($0.35);$1.52;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$39.84;12/23/20, 9:35 AM;;$1.62;1.0;
34;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$40.42;12/23/20, 10:10 AM;$0.58;$2.10;0.0;
35;AAA_ExpAvg;Buy to Open;1.0;$40.38;12/28/20, 9:35 AM;;$2.06;1.0;
36;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$40.58;12/28/20, 10:05 AM;$0.20;$2.30;0.0;
37;AAA_ExpAvg;Buy to Open;1.0;$40.51;12/29/20, 9:35 AM;;$2.25;1.0;
38;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$40.38;12/29/20, 10:00 AM;($0.13);$2.17;0.0;
39;AAA_ExpAvg;Buy to Open;1.0;$40.44;12/30/20, 9:35 AM;;$2.19;1.0;
40;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$40.62;12/30/20, 10:05 AM;$0.18;$2.35;0.0;
41;AAA_ExpAvg;Buy to Open;1.0;$38.88;1/5/21, 9:40 AM;;$2.46;1.0;
42;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$38.79;1/5/21, 9:55 AM;($0.09);$2.26;0.0;
43;AAA_ExpAvg;Buy to Open;1.0;$40.01;1/6/21, 9:35 AM;;$1.99;1.0;
44;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$39.80;1/6/21, 9:50 AM;($0.21);$2.05;0.0;
45;AAA_ExpAvg;Buy to Open;1.0;$40.35;1/8/21, 9:35 AM;;$2.15;1.0;
46;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$40.47;1/8/21, 10:10 AM;$0.12;$2.17;0.0;
47;AAA_ExpAvg;Buy to Open;1.0;$41.23;1/14/21, 9:35 AM;;$2.95;1.0;
48;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$41.88;1/14/21, 10:05 AM;$0.65;$2.82;0.0;
49;AAA_ExpAvg;Buy to Open;1.0;$40.94;1/20/21, 9:35 AM;;$2.91;1.0;
50;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$41.01;1/20/21, 10:05 AM;$0.07;$2.89;0.0;
51;AAA_ExpAvg;Buy to Open;1.0;$39.40;1/26/21, 9:40 AM;;$2.91;1.0;
52;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$39.09;1/26/21, 10:00 AM;($0.31);$2.58;0.0;
53;AAA_ExpAvg;Buy to Open;1.0;$39.59;1/28/21, 9:35 AM;;$2.60;1.0;
54;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$39.19;1/28/21, 10:00 AM;($0.40);$2.18;0.0;
55;AAA_ExpAvg;Buy to Open;1.0;$38.14;2/1/21, 9:40 AM;;$2.33;1.0;
56;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$37.89;2/1/21, 9:50 AM;($0.25);$1.93;0.0;
57;AAA_ExpAvg;Buy to Open;1.0;$38.60;2/2/21, 9:35 AM;;$1.64;1.0;
58;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$38.09;2/2/21, 10:00 AM;($0.51);$1.42;0.0;
59;AAA_ExpAvg;Buy to Open;1.0;$39.10;2/3/21, 9:35 AM;;$1.48;1.0;
60;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$39.40;2/3/21, 10:05 AM;$0.30;$1.72;0.0;
61;AAA_ExpAvg;Buy to Open;1.0;$40.24;2/4/21, 9:35 AM;;$1.58;1.0;
62;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$40.28;2/4/21, 10:00 AM;$0.04;$1.76;0.0;
63;AAA_ExpAvg;Buy to Open;1.0;$41.08;2/5/21, 9:35 AM;;$1.79;1.0;
64;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$41.11;2/5/21, 10:00 AM;$0.03;$1.79;0.0;
65;AAA_ExpAvg;Buy to Open;1.0;$41.96;2/8/21, 9:35 AM;;$2.11;1.0;
66;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$42.97;2/8/21, 10:05 AM;$1.01;$2.80;0.0;
67;AAA_ExpAvg;Buy to Open;1.0;$42.72;2/12/21, 9:35 AM;;$2.86;1.0;
68;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$42.84;2/12/21, 10:00 AM;$0.12;$2.92;0.0;
69;AAA_ExpAvg;Buy to Open;1.0;$44.02;2/16/21, 9:35 AM;;$2.81;1.0;
70;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$44.16;2/16/21, 10:05 AM;$0.14;$3.06;0.0;
71;AAA_ExpAvg;Buy to Open;1.0;$45.34;2/19/21, 9:35 AM;;$3.24;1.0;
72;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$45.63;2/19/21, 10:05 AM;$0.29;$3.34;0.0;
73;AAA_ExpAvg;Buy to Open;1.0;$46.60;2/22/21, 9:35 AM;;$4.12;1.0;
74;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$48.06;2/22/21, 10:10 AM;$1.46;$4.80;0.0;
75;AAA_ExpAvg;Buy to Open;1.0;$49.22;2/24/21, 9:35 AM;;$4.85;1.0;
76;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$49.67;2/24/21, 10:05 AM;$0.45;$5.25;0.0;
77;AAA_ExpAvg;Buy to Open;1.0;$48.82;2/26/21, 9:45 AM;;$5.24;1.0;
78;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$48.42;2/26/21, 9:55 AM;($0.40);$4.86;0.0;
79;AAA_ExpAvg;Buy to Open;1.0;$49.86;3/1/21, 9:35 AM;;$4.34;1.0;
80;AAA_ExpAvg(,5,DAL,9,9,10,1,);Sell to Close;-1.0;$49.28;3/1/21, 10:00 AM;($0.58);$4.28;0.0;
81;AAA_ExpAvg;Buy to Open;1.0;$48.66;3/3/21, 9:35 AM;;$4.43;1.0;
