Strategy report
Symbol: DIS
Work Time: 10/27/20, 9:35 AM - 7/12/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$123.52;10/27/20, 9:35 AM;;$0.04;1.0;
2;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$123.71;10/27/20, 10:00 AM;$0.19;$0.19;0.0;
3;AAA;Buy to Open;1.0;$118.10;10/29/20, 9:45 AM;;$0.77;1.0;
4;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$120.28;10/29/20, 10:30 AM;$2.18;$2.37;0.0;
5;AAA;Buy to Open;1.0;$121.27;11/2/20, 9:35 AM;;$2.79;1.0;
6;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$122.65;11/2/20, 10:05 AM;$1.38;$3.75;0.0;
7;AAA;Buy to Open;1.0;$122.00;11/3/20, 9:35 AM;;$3.46;1.0;
8;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$122.82;11/3/20, 10:10 AM;$0.82;$4.57;0.0;
9;AAA;Buy to Open;1.0;$124.25;11/4/20, 9:35 AM;;$3.97;1.0;
10;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$125.41;11/4/20, 10:25 AM;$1.16;$5.73;0.0;
11;AAA;Buy to Open;1.0;$126.61;11/5/20, 9:40 AM;;$6.78;1.0;
12;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$128.01;11/5/20, 10:10 AM;$1.40;$7.13;0.0;
13;AAA;Buy to Open;1.0;$144.27;11/9/20, 9:35 AM;;$6.59;1.0;
14;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$144.06;11/9/20, 10:05 AM;($0.21);$6.91;0.0;
15;AAA;Buy to Open;1.0;$139.94;11/13/20, 9:35 AM;;$5.01;1.0;
16;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$138.36;11/13/20, 10:00 AM;($1.57);$5.34;0.0;
17;AAA;Buy to Open;1.0;$141.83;11/16/20, 9:35 AM;;$6.03;1.0;
18;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$143.35;11/16/20, 10:05 AM;$1.51;$6.85;0.0;
19;AAA;Buy to Open;1.0;$144.57;11/18/20, 9:40 AM;;$7.13;1.0;
20;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$144.56;11/18/20, 9:50 AM;$0.00;$6.85;0.0;
21;AAA;Buy to Open;1.0;$142.18;11/20/20, 9:35 AM;;$6.88;1.0;
22;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$141.86;11/20/20, 10:05 AM;($0.32);$6.53;0.0;
23;AAA;Buy to Open;1.0;$143.12;11/23/20, 9:35 AM;;$6.73;1.0;
24;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$143.90;11/23/20, 10:05 AM;$0.78;$7.31;0.0;
25;AAA;Buy to Open;1.0;$148.18;11/24/20, 9:35 AM;;$7.94;1.0;
26;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$149.11;11/24/20, 10:05 AM;$0.93;$8.24;0.0;
27;AAA;Buy to Open;1.0;$149.07;11/27/20, 9:35 AM;;$9.33;1.0;
28;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$149.35;11/27/20, 9:50 AM;$0.28;$8.52;0.0;
29;AAA;Buy to Open;1.0;$147.69;11/30/20, 9:45 AM;;$7.83;1.0;
30;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$146.99;11/30/20, 9:50 AM;($0.70);$7.82;0.0;
31;AAA;Buy to Open;1.0;$149.54;12/1/20, 9:35 AM;;$7.94;1.0;
32;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$150.17;12/1/20, 10:05 AM;$0.63;$8.45;0.0;
33;AAA;Buy to Open;1.0;$153.32;12/7/20, 9:45 AM;;$8.13;1.0;
34;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$153.57;12/7/20, 11:20 AM;$0.25;$8.70;0.0;
35;AAA;Buy to Open;1.0;$153.70;12/8/20, 9:40 AM;;$8.47;1.0;
36;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$153.64;12/8/20, 10:00 AM;($0.06);$8.64;0.0;
37;AAA;Buy to Open;1.0;$155.88;12/9/20, 9:35 AM;;$9.64;1.0;
38;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$156.95;12/9/20, 10:05 AM;$1.07;$9.71;0.0;
39;AAA;Buy to Open;1.0;$165.57;12/11/20, 9:35 AM;;$10.87;1.0;
40;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$169.43;12/11/20, 10:05 AM;$3.86;$13.56;0.0;
41;AAA;Buy to Open;1.0;$169.79;12/15/20, 9:35 AM;;$14.10;1.0;
42;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$169.55;12/15/20, 10:10 AM;($0.24);$13.32;0.0;
43;AAA;Buy to Open;1.0;$174.46;12/17/20, 9:40 AM;;$12.80;1.0;
44;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$173.91;12/17/20, 9:55 AM;($0.55);$12.77;0.0;
45;AAA;Buy to Open;1.0;$170.50;12/22/20, 9:40 AM;;$13.09;1.0;
46;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$170.78;12/22/20, 9:45 AM;$0.28;$13.05;0.0;
47;AAA;Buy to Open;1.0;$172.91;12/23/20, 9:35 AM;;$13.33;1.0;
48;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$173.73;12/23/20, 10:05 AM;$0.82;$13.88;0.0;
49;AAA;Buy to Open;1.0;$173.79;12/24/20, 9:45 AM;;$14.19;1.0;
50;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$173.81;12/24/20, 10:20 AM;$0.02;$13.90;0.0;
51;AAA;Buy to Open;1.0;$175.68;12/28/20, 9:35 AM;;$14.43;1.0;
52;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$177.67;12/28/20, 10:10 AM;$1.98;$15.88;0.0;
53;AAA;Buy to Open;1.0;$178.67;12/30/20, 9:35 AM;;$17.25;1.0;
54;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$182.83;12/30/20, 10:10 AM;$4.16;$20.05;0.0;
55;AAA;Buy to Open;1.0;$181.74;12/31/20, 9:40 AM;;$20.79;1.0;
56;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$182.32;12/31/20, 10:10 AM;$0.58;$20.63;0.0;
57;AAA;Buy to Open;1.0;$177.59;1/5/21, 9:35 AM;;$21.45;1.0;
58;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$179.85;1/5/21, 10:15 AM;$2.26;$22.89;0.0;
59;AAA;Buy to Open;1.0;$178.23;1/6/21, 9:45 AM;;$24.33;1.0;
60;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$180.11;1/6/21, 10:25 AM;$1.88;$24.77;0.0;
61;AAA;Buy to Open;1.0;$179.79;1/8/21, 9:35 AM;;$24.06;1.0;
62;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$179.28;1/8/21, 9:50 AM;($0.51);$24.26;0.0;
63;AAA;Buy to Open;1.0;$179.28;1/11/21, 9:40 AM;;$24.04;1.0;
64;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$180.34;1/11/21, 10:20 AM;$1.06;$25.32;0.0;
65;AAA(,5,DIS,9,9,10,);Sell to Close;-1.0;$175.96;1/13/21, 9:40 AM;$0.00;$25.90;-1.0;
66;AAA;Buy to Open;1.0;$175.96;1/13/21, 9:40 AM;;$25.32;0.0;
