Strategy report
Symbol: DIS
Work Time: 11/2/20, 9:35 AM - 7/15/21, 10:25 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$121.27;11/2/20, 9:35 AM;;$0.42;1.0;
2;AAA_ExpAvg(,5,DIS,9,9,10,1,);Sell to Close;-1.0;$122.65;11/2/20, 10:05 AM;$1.38;$1.38;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$122.00;11/3/20, 9:35 AM;;$1.09;1.0;
4;AAA_ExpAvg(,5,DIS,9,9,10,1,);Sell to Close;-1.0;$122.82;11/3/20, 10:10 AM;$0.82;$2.20;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$126.61;11/5/20, 9:40 AM;;$3.25;1.0;
6;AAA_ExpAvg(,5,DIS,9,9,10,1,);Sell to Close;-1.0;$128.01;11/5/20, 10:10 AM;$1.40;$3.60;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$144.27;11/9/20, 9:35 AM;;$3.07;1.0;
8;AAA_ExpAvg(,5,DIS,9,9,10,1,);Sell to Close;-1.0;$144.06;11/9/20, 10:05 AM;($0.21);$3.39;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$139.94;11/13/20, 9:35 AM;;$1.48;1.0;
10;AAA_ExpAvg(,5,DIS,9,9,10,1,);Sell to Close;-1.0;$138.36;11/13/20, 10:00 AM;($1.57);$1.81;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$141.83;11/16/20, 9:35 AM;;$2.50;1.0;
12;AAA_ExpAvg(,5,DIS,9,9,10,1,);Sell to Close;-1.0;$143.35;11/16/20, 10:05 AM;$1.51;$3.33;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$144.57;11/18/20, 9:40 AM;;$3.60;1.0;
14;AAA_ExpAvg(,5,DIS,9,9,10,1,);Sell to Close;-1.0;$144.56;11/18/20, 9:50 AM;$0.00;$3.32;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$142.18;11/20/20, 9:35 AM;;$3.35;1.0;
16;AAA_ExpAvg(,5,DIS,9,9,10,1,);Sell to Close;-1.0;$141.86;11/20/20, 10:05 AM;($0.32);$3.00;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$143.12;11/23/20, 9:35 AM;;$3.20;1.0;
18;AAA_ExpAvg(,5,DIS,9,9,10,1,);Sell to Close;-1.0;$143.90;11/23/20, 10:05 AM;$0.78;$3.79;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$148.18;11/24/20, 9:35 AM;;$4.42;1.0;
20;AAA_ExpAvg(,5,DIS,9,9,10,1,);Sell to Close;-1.0;$149.11;11/24/20, 10:05 AM;$0.93;$4.72;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$149.07;11/27/20, 9:35 AM;;$5.81;1.0;
22;AAA_ExpAvg(,5,DIS,9,9,10,1,);Sell to Close;-1.0;$149.35;11/27/20, 9:50 AM;$0.28;$5.00;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$149.54;12/1/20, 9:35 AM;;$5.12;1.0;
24;AAA_ExpAvg(,5,DIS,9,9,10,1,);Sell to Close;-1.0;$150.17;12/1/20, 10:05 AM;$0.63;$5.63;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$155.88;12/9/20, 9:35 AM;;$6.63;1.0;
26;AAA_ExpAvg(,5,DIS,9,9,10,1,);Sell to Close;-1.0;$156.95;12/9/20, 10:05 AM;$1.07;$6.70;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$165.57;12/11/20, 9:35 AM;;$7.86;1.0;
28;AAA_ExpAvg(,5,DIS,9,9,10,1,);Sell to Close;-1.0;$169.43;12/11/20, 10:05 AM;$3.86;$10.55;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$169.79;12/15/20, 9:35 AM;;$11.09;1.0;
30;AAA_ExpAvg(,5,DIS,9,9,10,1,);Sell to Close;-1.0;$169.55;12/15/20, 10:10 AM;($0.24);$10.31;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$174.46;12/17/20, 9:40 AM;;$9.79;1.0;
