Strategy report
Symbol: F
Work Time: 10/29/20, 9:35 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$8.15;10/29/20, 9:35 AM;;($0.04);1.0;
2;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$8.16;10/29/20, 10:05 AM;$0.01;$0.01;0.0;
3;AAA;Buy to Open;1.0;$7.78;11/2/20, 9:35 AM;;$0.01;1.0;
4;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$7.81;11/2/20, 10:00 AM;$0.03;$0.05;0.0;
5;AAA;Buy to Open;1.0;$7.77;11/3/20, 9:40 AM;;$0.06;1.0;
6;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$7.81;11/3/20, 10:05 AM;$0.04;$0.08;0.0;
7;AAA;Buy to Open;1.0;$7.77;11/5/20, 9:40 AM;;$0.14;1.0;
8;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$7.82;11/5/20, 10:05 AM;$0.05;$0.13;0.0;
9;AAA;Buy to Open;1.0;$8.20;11/9/20, 9:35 AM;;$0.06;1.0;
10;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$8.21;11/9/20, 10:05 AM;$0.01;$0.15;0.0;
11;AAA;Buy to Open;1.0;$8.23;11/10/20, 9:35 AM;;$0.19;1.0;
12;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$8.49;11/10/20, 10:25 AM;$0.26;$0.41;0.0;
13;AAA;Buy to Open;1.0;$8.54;11/11/20, 9:35 AM;;$0.33;1.0;
14;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$8.40;11/11/20, 9:55 AM;($0.14);$0.27;0.0;
15;AAA;Buy to Open;1.0;$8.28;11/13/20, 9:35 AM;;$0.28;1.0;
16;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$8.28;11/13/20, 10:00 AM;$0.00;$0.27;0.0;
17;AAA;Buy to Open;1.0;$8.71;11/16/20, 9:35 AM;;$0.25;1.0;
18;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$8.72;11/16/20, 10:05 AM;$0.02;$0.29;0.0;
19;AAA;Buy to Open;1.0;$8.87;11/18/20, 9:35 AM;;$0.28;1.0;
20;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$8.93;11/18/20, 10:10 AM;$0.06;$0.34;0.0;
21;AAA;Buy to Open;1.0;$8.81;11/19/20, 9:40 AM;;$0.35;1.0;
22;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$8.82;11/19/20, 10:20 AM;$0.02;$0.36;0.0;
23;AAA;Buy to Open;1.0;$8.81;11/23/20, 9:35 AM;;$0.38;1.0;
24;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$8.97;11/23/20, 10:25 AM;$0.17;$0.53;0.0;
25;AAA;Buy to Open;1.0;$9.16;11/24/20, 9:35 AM;;$0.57;1.0;
26;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$9.45;11/24/20, 10:10 AM;$0.28;$0.81;0.0;
27;AAA;Buy to Open;1.0;$9.08;11/27/20, 9:35 AM;;$0.86;1.0;
28;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$9.09;11/27/20, 9:50 AM;$0.01;$0.81;0.0;
29;AAA;Buy to Open;1.0;$9.20;12/1/20, 9:35 AM;;$0.86;1.0;
30;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$9.29;12/1/20, 10:10 AM;$0.09;$0.90;0.0;
31;AAA;Buy to Open;1.0;$9.29;12/8/20, 9:40 AM;;$0.88;1.0;
32;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$9.28;12/8/20, 10:00 AM;($0.01);$0.89;0.0;
33;AAA;Buy to Open;1.0;$9.38;12/9/20, 9:35 AM;;$0.87;1.0;
34;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$9.39;12/9/20, 10:05 AM;$0.01;$0.90;0.0;
35;AAA;Buy to Open;1.0;$9.18;12/11/20, 9:40 AM;;$0.84;1.0;
36;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$9.13;12/11/20, 9:55 AM;($0.05);$0.85;0.0;
37;AAA;Buy to Open;1.0;$9.14;12/14/20, 9:35 AM;;$0.82;1.0;
38;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$9.05;12/14/20, 9:55 AM;($0.08);$0.76;0.0;
39;AAA;Buy to Open;1.0;$9.06;12/15/20, 9:35 AM;;$0.77;1.0;
40;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$9.01;12/15/20, 10:00 AM;($0.05);$0.71;0.0;
41;AAA;Buy to Open;1.0;$8.87;12/23/20, 9:35 AM;;$0.72;1.0;
42;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$8.91;12/23/20, 10:05 AM;$0.04;$0.75;0.0;
43;AAA;Buy to Open;1.0;$8.91;12/28/20, 9:35 AM;;$0.72;1.0;
44;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$8.90;12/28/20, 10:00 AM;($0.01);$0.75;0.0;
45;AAA;Buy to Open;1.0;$8.88;12/30/20, 9:40 AM;;$0.75;1.0;
46;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$8.90;12/30/20, 10:05 AM;$0.01;$0.76;0.0;
47;AAA;Buy to Open;1.0;$8.56;1/5/21, 9:35 AM;;$0.77;1.0;
48;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$8.56;1/5/21, 9:50 AM;$0.00;$0.76;0.0;
49;AAA;Buy to Open;1.0;$8.79;1/6/21, 9:35 AM;;$0.73;1.0;
50;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$8.77;1/6/21, 10:05 AM;($0.02);$0.74;0.0;
51;AAA;Buy to Open;1.0;$8.90;1/7/21, 9:35 AM;;$0.73;1.0;
52;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$8.91;1/7/21, 10:10 AM;$0.01;$0.75;0.0;
53;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$9.07;1/8/21, 9:35 AM;$0.00;$0.79;-1.0;
54;AAA;Buy to Open;1.0;$9.07;1/8/21, 9:35 AM;;$0.75;0.0;
55;AAA;Buy to Open;1.0;$9.03;1/8/21, 9:40 AM;;$0.74;1.0;
56;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$9.04;1/8/21, 11:05 AM;$0.01;$0.76;0.0;
57;AAA;Buy to Open;1.0;$9.33;1/12/21, 9:35 AM;;$0.76;1.0;
58;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$9.71;1/12/21, 10:40 AM;$0.37;$1.13;0.0;
59;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$9.83;1/13/21, 9:40 AM;$0.00;$1.24;-1.0;
60;AAA;Buy to Open;1.0;$9.83;1/13/21, 9:40 AM;;$1.13;0.0;
61;AAA;Buy to Open;1.0;$9.94;1/14/21, 9:40 AM;;$1.18;1.0;
62;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$10.15;1/14/21, 10:15 AM;$0.22;$1.35;0.0;
63;AAA;Buy to Open;1.0;$10.05;1/19/21, 9:35 AM;;$1.41;1.0;
64;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$10.04;1/19/21, 10:05 AM;($0.01);$1.34;0.0;
65;AAA;Buy to Open;1.0;$10.33;1/20/21, 9:35 AM;;$1.35;1.0;
66;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$10.47;1/20/21, 10:10 AM;$0.14;$1.48;0.0;
67;AAA;Buy to Open;1.0;$11.23;1/21/21, 9:35 AM;;$1.53;1.0;
68;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$11.27;1/21/21, 10:05 AM;$0.04;$1.52;0.0;
69;AAA;Buy to Open;1.0;$11.42;1/26/21, 9:35 AM;;$1.61;1.0;
70;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$11.34;1/26/21, 9:55 AM;($0.08);$1.44;0.0;
71;AAA;Buy to Open;1.0;$10.65;2/1/21, 9:35 AM;;$1.39;1.0;
72;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$10.56;2/1/21, 9:50 AM;($0.09);$1.34;0.0;
73;AAA;Buy to Open;1.0;$11.11;2/2/21, 9:35 AM;;$1.21;1.0;
74;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$11.02;2/2/21, 10:00 AM;($0.09);$1.25;0.0;
75;AAA;Buy to Open;1.0;$10.93;2/3/21, 9:35 AM;;$1.36;1.0;
76;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$11.17;2/3/21, 10:10 AM;$0.24;$1.50;0.0;
77;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$11.31;2/4/21, 9:35 AM;$0.00;$1.58;-1.0;
78;AAA;Buy to Open;1.0;$11.31;2/4/21, 9:35 AM;;$1.50;0.0;
79;AAA;Buy to Open;1.0;$11.22;2/4/21, 9:40 AM;;$1.57;1.0;
80;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$11.39;2/4/21, 10:20 AM;$0.17;$1.67;0.0;
81;AAA;Buy to Open;1.0;$11.58;2/5/21, 9:40 AM;;$1.54;1.0;
82;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$11.44;2/5/21, 10:00 AM;($0.14);$1.52;0.0;
83;AAA;Buy to Open;1.0;$11.64;2/9/21, 9:35 AM;;$1.49;1.0;
84;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$11.73;2/9/21, 10:25 AM;$0.09;$1.61;0.0;
85;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$11.89;2/10/21, 9:35 AM;$0.00;$1.69;-1.0;
86;AAA;Buy to Open;1.0;$11.89;2/10/21, 9:35 AM;;$1.61;0.0;
87;AAA;Buy to Open;1.0;$11.47;2/16/21, 9:35 AM;;$1.58;1.0;
88;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$11.40;2/16/21, 9:50 AM;($0.07);$1.54;0.0;
89;AAA;Buy to Open;1.0;$11.56;2/19/21, 9:35 AM;;$1.53;1.0;
90;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$11.51;2/19/21, 10:00 AM;($0.04);$1.50;0.0;
91;AAA;Buy to Open;1.0;$11.61;2/22/21, 9:40 AM;;$1.58;1.0;
92;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$11.81;2/22/21, 10:20 AM;$0.20;$1.70;0.0;
93;AAA;Buy to Open;1.0;$11.83;2/24/21, 9:35 AM;;$1.63;1.0;
94;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$11.88;2/24/21, 10:05 AM;$0.05;$1.75;0.0;
95;AAA;Buy to Open;1.0;$11.83;3/1/21, 9:40 AM;;$1.79;1.0;
96;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$11.99;3/1/21, 10:40 AM;$0.17;$1.92;0.0;
97;AAA;Buy to Open;1.0;$12.01;3/2/21, 9:35 AM;;$1.89;1.0;
98;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$12.34;3/2/21, 10:20 AM;$0.33;$2.24;0.0;
99;AAA;Buy to Open;1.0;$12.40;3/4/21, 9:40 AM;;$2.27;1.0;
100;AAA(,5,F,9,9,10,);Sell to Close;-1.0;$12.29;3/4/21, 9:55 AM;($0.11);$2.13;0.0;
101;AAA;Buy to Open;1.0;$12.05;3/5/21, 9:40 AM;;$2.18;1.0;
