Strategy report
Symbol: HD
Work Time: 10/27/20, 9:35 AM - 7/12/21, 10:10 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$277.22;10/27/20, 9:35 AM;;$0.74;1.0;
2;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$278.48;10/27/20, 10:05 AM;$1.26;$1.26;0.0;
3;AAA;Buy to Open;1.0;$270.13;11/2/20, 9:35 AM;;$1.85;1.0;
4;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$273.95;11/2/20, 10:05 AM;$3.82;$5.08;0.0;
5;AAA;Buy to Open;1.0;$274.64;11/3/20, 9:35 AM;;$4.67;1.0;
6;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$276.99;11/3/20, 10:10 AM;$2.35;$7.44;0.0;
7;AAA;Buy to Open;1.0;$280.45;11/4/20, 9:35 AM;;$6.84;1.0;
8;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$282.42;11/4/20, 10:10 AM;$1.97;$9.40;0.0;
9;AAA;Buy to Open;1.0;$287.48;11/5/20, 9:35 AM;;$8.70;1.0;
10;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$287.64;11/5/20, 10:10 AM;$0.16;$9.56;0.0;
11;AAA;Buy to Open;1.0;$277.62;11/11/20, 9:45 AM;;$10.30;1.0;
12;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$276.88;11/11/20, 10:05 AM;($0.74);$8.82;0.0;
13;AAA;Buy to Open;1.0;$280.35;11/12/20, 9:40 AM;;$7.45;1.0;
14;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$277.96;11/12/20, 9:50 AM;($2.39);$6.43;0.0;
15;AAA;Buy to Open;1.0;$277.70;11/13/20, 9:35 AM;;$6.55;1.0;
16;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$279.06;11/13/20, 10:05 AM;$1.36;$7.79;0.0;
17;AAA;Buy to Open;1.0;$279.33;11/16/20, 9:35 AM;;$8.88;1.0;
18;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$278.98;11/16/20, 10:00 AM;($0.35);$7.44;0.0;
19;AAA;Buy to Open;1.0;$274.66;11/18/20, 9:40 AM;;$7.05;1.0;
20;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$274.36;11/18/20, 10:05 AM;($0.31);$7.13;0.0;
21;AAA;Buy to Open;1.0;$270.20;11/19/20, 9:45 AM;;$8.09;1.0;
22;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$271.68;11/19/20, 10:20 AM;$1.48;$8.61;0.0;
23;AAA;Buy to Open;1.0;$270.53;11/23/20, 9:35 AM;;$8.88;1.0;
24;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$272.10;11/23/20, 10:05 AM;$1.57;$10.18;0.0;
25;AAA;Buy to Open;1.0;$273.36;11/24/20, 9:35 AM;;$9.83;1.0;
26;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$273.65;11/24/20, 10:10 AM;$0.29;$10.47;0.0;
27;AAA;Buy to Open;1.0;$274.15;11/25/20, 9:35 AM;;$10.82;1.0;
28;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$273.66;11/25/20, 10:00 AM;($0.49);$9.98;0.0;
29;AAA;Buy to Open;1.0;$274.77;11/27/20, 9:35 AM;;$10.97;1.0;
30;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$276.47;11/27/20, 10:10 AM;$1.71;$11.69;0.0;
31;AAA;Buy to Open;1.0;$278.22;12/1/20, 9:35 AM;;$11.49;1.0;
32;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$278.31;12/1/20, 10:00 AM;$0.09;$11.78;0.0;
33;AAA;Buy to Open;1.0;$270.73;12/3/20, 9:35 AM;;$11.41;1.0;
34;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$269.78;12/3/20, 11:05 AM;($0.95);$10.83;0.0;
35;AAA;Buy to Open;1.0;$267.79;12/4/20, 9:40 AM;;$11.23;1.0;
36;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$267.05;12/4/20, 10:05 AM;($0.74);$10.09;0.0;
37;AAA;Buy to Open;1.0;$263.89;12/9/20, 9:35 AM;;$11.17;1.0;
38;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$263.69;12/9/20, 10:00 AM;($0.20);$9.89;0.0;
39;AAA;Buy to Open;1.0;$267.01;12/14/20, 9:35 AM;;$10.94;1.0;
40;AAA(,5,HD,9,9,10,);Sell to Close;-1.0;$267.97;12/14/20, 10:05 AM;$0.96;$10.85;0.0;
41;AAA;Buy to Open;1.0;$267.47;12/15/20, 9:35 AM;;$11.42;1.0;
