Strategy report
Symbol: HD
Work Time: 11/2/20, 9:35 AM - 7/14/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$270.13;11/2/20, 9:35 AM;;$0.59;1.0;
2;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$273.95;11/2/20, 10:05 AM;$3.82;$3.82;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$274.64;11/3/20, 9:35 AM;;$3.41;1.0;
4;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$276.99;11/3/20, 10:10 AM;$2.35;$6.17;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$280.45;11/4/20, 9:35 AM;;$5.58;1.0;
6;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$282.42;11/4/20, 10:10 AM;$1.97;$8.14;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$287.48;11/5/20, 9:35 AM;;$7.44;1.0;
8;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$287.64;11/5/20, 10:10 AM;$0.16;$8.30;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$277.62;11/11/20, 9:45 AM;;$9.04;1.0;
10;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$276.88;11/11/20, 10:05 AM;($0.74);$7.56;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$280.35;11/12/20, 9:40 AM;;$6.19;1.0;
12;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$277.96;11/12/20, 9:50 AM;($2.39);$5.17;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$277.70;11/13/20, 9:35 AM;;$5.29;1.0;
14;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$279.06;11/13/20, 10:05 AM;$1.36;$6.53;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$279.33;11/16/20, 9:35 AM;;$7.62;1.0;
16;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$278.98;11/16/20, 10:00 AM;($0.35);$6.18;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$274.66;11/18/20, 9:40 AM;;$5.79;1.0;
18;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$274.36;11/18/20, 10:05 AM;($0.31);$5.87;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$270.20;11/19/20, 9:45 AM;;$6.83;1.0;
20;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$271.68;11/19/20, 10:20 AM;$1.48;$7.35;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$270.53;11/23/20, 9:35 AM;;$7.62;1.0;
22;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$272.10;11/23/20, 10:05 AM;$1.57;$8.92;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$273.36;11/24/20, 9:35 AM;;$8.57;1.0;
24;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$273.65;11/24/20, 10:10 AM;$0.29;$9.21;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$274.15;11/25/20, 9:35 AM;;$9.56;1.0;
26;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$273.66;11/25/20, 10:00 AM;($0.49);$8.72;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$274.77;11/27/20, 9:35 AM;;$9.71;1.0;
28;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$276.47;11/27/20, 10:10 AM;$1.71;$10.43;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$278.22;12/1/20, 9:35 AM;;$10.23;1.0;
30;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$278.31;12/1/20, 10:00 AM;$0.09;$10.52;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$267.79;12/4/20, 9:40 AM;;$10.92;1.0;
32;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$267.05;12/4/20, 10:05 AM;($0.74);$9.78;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$263.89;12/9/20, 9:35 AM;;$10.86;1.0;
34;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$263.69;12/9/20, 10:00 AM;($0.20);$9.58;0.0;
35;AAA_ExpAvg;Buy to Open;1.0;$267.01;12/14/20, 9:35 AM;;$10.63;1.0;
36;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$267.97;12/14/20, 10:05 AM;$0.96;$10.54;0.0;
37;AAA_ExpAvg;Buy to Open;1.0;$267.47;12/15/20, 9:35 AM;;$11.11;1.0;
38;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$267.50;12/15/20, 10:05 AM;$0.03;$10.57;0.0;
39;AAA_ExpAvg;Buy to Open;1.0;$269.81;12/16/20, 9:35 AM;;$10.35;1.0;
40;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$269.40;12/16/20, 10:00 AM;($0.41);$10.16;0.0;
41;AAA_ExpAvg;Buy to Open;1.0;$272.24;12/17/20, 9:35 AM;;$9.86;1.0;
42;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$272.95;12/17/20, 10:10 AM;$0.71;$10.87;0.0;
43;AAA_ExpAvg;Buy to Open;1.0;$274.93;12/18/20, 9:35 AM;;$10.60;1.0;
44;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$274.71;12/18/20, 10:00 AM;($0.22);$10.65;0.0;
45;AAA_ExpAvg;Buy to Open;1.0;$270.76;12/24/20, 9:45 AM;;$10.52;1.0;
46;AAA_ExpAvg(,5,HD,9,9,10,1,);Sell to Close;-1.0;$270.23;12/24/20, 10:10 AM;($0.53);$10.13;0.0;
