Strategy report
Symbol: IBM
Work Time: 10/29/20, 9:45 AM - 7/9/21, 10:00 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$107.34;10/29/20, 9:45 AM;;$0.69;1.0;
2;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$107.58;10/29/20, 10:10 AM;$0.24;$0.24;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$109.47;10/30/20, 9:35 AM;;$0.75;1.0;
4;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$109.82;10/30/20, 10:00 AM;$0.35;$0.59;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$113.38;11/2/20, 9:35 AM;;($0.03);1.0;
6;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$113.59;11/2/20, 10:05 AM;$0.21;$0.80;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$113.86;11/3/20, 9:35 AM;;$1.20;1.0;
8;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$114.94;11/3/20, 10:10 AM;$1.08;$1.88;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$113.39;11/5/20, 9:40 AM;;$2.39;1.0;
10;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$114.00;11/5/20, 10:05 AM;$0.61;$2.50;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$119.44;11/9/20, 9:35 AM;;$1.83;1.0;
12;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$116.81;11/9/20, 9:55 AM;($2.63);($0.13);0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$115.57;11/13/20, 9:35 AM;;($0.15);1.0;
14;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$115.90;11/13/20, 10:00 AM;$0.33;$0.20;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$118.17;11/16/20, 9:35 AM;;($0.13);1.0;
16;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$117.47;11/16/20, 9:50 AM;($0.70);($0.51);0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$117.53;11/18/20, 9:40 AM;;$0.12;1.0;
18;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$118.30;11/18/20, 10:20 AM;$0.77;$0.26;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$117.94;11/23/20, 9:35 AM;;$0.40;1.0;
20;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$119.03;11/23/20, 10:10 AM;$1.09;$1.35;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$121.14;11/24/20, 9:35 AM;;$2.28;1.0;
22;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$121.98;11/24/20, 10:05 AM;$0.85;$2.19;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$124.52;11/27/20, 9:35 AM;;$2.73;1.0;
24;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$124.63;11/27/20, 9:55 AM;$0.11;$2.30;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$124.60;12/1/20, 9:45 AM;;$2.50;1.0;
26;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$125.29;12/1/20, 10:15 AM;$0.69;$2.99;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$123.70;12/2/20, 9:40 AM;;$3.25;1.0;
28;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$123.61;12/2/20, 10:10 AM;($0.09);$2.90;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$124.73;12/4/20, 9:45 AM;;$2.70;1.0;
30;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$124.59;12/4/20, 10:10 AM;($0.14);$2.76;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$125.83;12/8/20, 9:45 AM;;$2.45;1.0;
32;AAA_ExpAvg(,5,IBM,9,9,10,1,);Sell to Close;-1.0;$125.35;12/8/20, 10:05 AM;($0.48);$2.28;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$127.05;12/9/20, 9:40 AM;;$2.35;1.0;
