Strategy report
Symbol: JPM
Work Time: 11/2/20, 9:35 AM - 7/14/21, 9:50 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$98.83;11/2/20, 9:35 AM;;($0.16);1.0;
2;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$98.33;11/2/20, 9:55 AM;($0.50);($0.50);0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$103.00;11/3/20, 9:35 AM;;$0.11;1.0;
4;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$103.70;11/3/20, 10:05 AM;$0.70;$0.20;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$102.28;11/5/20, 9:35 AM;;$0.14;1.0;
6;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$102.75;11/5/20, 10:05 AM;$0.47;$0.67;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$114.68;11/9/20, 9:35 AM;;($0.94);1.0;
8;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$112.30;11/9/20, 10:00 AM;($2.38);($1.71);0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$114.11;11/13/20, 9:35 AM;;($1.83);1.0;
10;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$114.17;11/13/20, 10:00 AM;$0.06;($1.65);0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$117.56;11/16/20, 9:35 AM;;($1.86);1.0;
12;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$116.70;11/16/20, 10:05 AM;($0.87);($2.52);0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$117.14;11/18/20, 9:35 AM;;($2.19);1.0;
14;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$118.50;11/18/20, 10:05 AM;$1.36;($1.16);0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$115.72;11/23/20, 9:35 AM;;($1.10);1.0;
16;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$116.74;11/23/20, 10:10 AM;$1.02;($0.14);0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$120.45;11/24/20, 9:35 AM;;($0.18);1.0;
18;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$121.80;11/24/20, 10:05 AM;$1.35;$1.21;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$119.84;12/1/20, 9:35 AM;;$1.87;1.0;
20;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$120.92;12/1/20, 10:05 AM;$1.08;$2.29;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$122.87;12/4/20, 9:35 AM;;$2.41;1.0;
22;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$122.30;12/4/20, 10:00 AM;($0.57);$1.72;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$122.06;12/9/20, 9:40 AM;;$2.02;1.0;
24;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$122.36;12/9/20, 9:45 AM;$0.30;$2.02;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$120.80;12/14/20, 9:35 AM;;$1.50;1.0;
26;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$120.13;12/14/20, 10:00 AM;($0.67);$1.35;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$119.49;12/15/20, 9:45 AM;;$0.98;1.0;
28;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$118.87;12/15/20, 10:00 AM;($0.62);$0.73;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$120.60;12/16/20, 9:45 AM;;$0.96;1.0;
30;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$120.49;12/16/20, 10:05 AM;($0.11);$0.62;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$122.18;12/21/20, 9:35 AM;;$1.56;1.0;
32;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$122.97;12/21/20, 10:05 AM;$0.79;$1.41;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$123.16;12/23/20, 9:35 AM;;$1.80;1.0;
34;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$125.07;12/23/20, 10:10 AM;$1.90;$3.32;0.0;
35;AAA_ExpAvg;Buy to Open;1.0;$124.95;12/28/20, 9:35 AM;;$3.22;1.0;
36;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$126.43;12/28/20, 10:25 AM;$1.48;$4.80;0.0;
37;AAA_ExpAvg;Buy to Open;1.0;$125.47;12/30/20, 9:35 AM;;$4.93;1.0;
38;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$125.33;12/30/20, 10:05 AM;($0.14);$4.66;0.0;
39;AAA_ExpAvg;Buy to Open;1.0;$127.58;1/4/21, 9:35 AM;;$4.68;1.0;
40;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$127.31;1/4/21, 9:55 AM;($0.27);$4.38;0.0;
41;AAA_ExpAvg;Buy to Open;1.0;$128.91;1/6/21, 9:35 AM;;$5.32;1.0;
42;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$130.63;1/6/21, 10:05 AM;$1.72;$6.10;0.0;
43;AAA_ExpAvg;Buy to Open;1.0;$136.38;1/7/21, 9:40 AM;;$5.96;1.0;
44;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$137.85;1/7/21, 10:05 AM;$1.47;$7.57;0.0;
45;AAA_ExpAvg;Buy to Open;1.0;$135.84;1/8/21, 9:45 AM;;$7.70;1.0;
46;AAA_ExpAvg(,5,JPM,9,9,10,1,);Sell to Close;-1.0;$135.98;1/8/21, 9:50 AM;$0.14;$7.71;0.0;
