Strategy report
Symbol: MMM
Work Time: 10/15/20, 1:00 PM - 7/2/21, 2:25 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect(BUY);Buy to Open;10.0;$169.12;10/15/20, 1:00 PM;;($1.18);10.0;
2;MacdPerfect(SELL);Sell to Close;-10.0;$168.89;10/15/20, 1:05 PM;($2.33);($2.33);0.0;
3;MacdPerfect(BUY);Buy to Open;10.0;$169.36;10/15/20, 1:20 PM;;($1.78);10.0;
4;MacdPerfect(SELL);Sell to Close;-10.0;$169.16;10/15/20, 1:35 PM;($2.00);($4.33);0.0;
5;MacdPerfect(BUY);Buy to Open;10.0;$170.17;10/16/20, 9:50 AM;;($2.69);10.0;
6;MacdPerfect(SELL);Sell to Close;-10.0;$171.49;10/16/20, 10:40 AM;$13.19;$8.86;0.0;
7;MacdPerfect(BUY);Buy to Open;10.0;$171.16;10/16/20, 1:20 PM;;$8.24;10.0;
8;MacdPerfect(SELL);Sell to Close;-10.0;$171.20;10/16/20, 1:25 PM;$0.37;$9.24;0.0;
9;MacdPerfect(BUY);Buy to Open;10.0;$171.21;10/16/20, 1:35 PM;;$9.64;10.0;
10;MacdPerfect(SELL);Sell to Close;-10.0;$171.34;10/16/20, 2:05 PM;$1.25;$10.49;0.0;
11;MacdPerfect(BUY);Buy to Open;10.0;$171.53;10/16/20, 2:15 PM;;$10.34;10.0;
12;MacdPerfect(SELL);Sell to Close;-10.0;$171.44;10/16/20, 2:45 PM;($0.95);$9.54;0.0;
13;MacdPerfect(BUY);Buy to Open;10.0;$171.71;10/19/20, 9:50 AM;;$9.74;10.0;
14;MacdPerfect(SELL);Sell to Close;-10.0;$171.38;10/19/20, 10:05 AM;($3.30);$6.24;0.0;
15;MacdPerfect(BUY);Buy to Open;10.0;$172.08;10/19/20, 10:20 AM;;$7.01;10.0;
16;MacdPerfect(SELL);Sell to Close;-10.0;$171.45;10/19/20, 10:45 AM;($6.27);($0.04);0.0;
17;MacdPerfect(BUY);Buy to Open;10.0;$171.71;10/19/20, 12:55 PM;;$0.21;10.0;
18;MacdPerfect(SELL);Sell to Close;-10.0;$171.30;10/19/20, 1:05 PM;($4.05);($4.09);0.0;
19;MacdPerfect(BUY);Buy to Open;10.0;$170.84;10/20/20, 9:45 AM;;($3.64);10.0;
20;MacdPerfect(SELL);Sell to Close;-10.0;$171.17;10/20/20, 10:20 AM;$3.28;($0.81);0.0;
21;MacdPerfect(BUY);Buy to Open;10.0;$171.78;10/20/20, 10:45 AM;;($0.56);10.0;
22;MacdPerfect(SELL);Sell to Close;-10.0;$171.46;10/20/20, 11:00 AM;($3.13);($3.93);0.0;
23;MacdPerfect(BUY);Buy to Open;10.0;$172.44;10/20/20, 12:40 PM;;($4.36);10.0;
24;MacdPerfect(SELL);Sell to Close;-10.0;$172.16;10/20/20, 12:50 PM;($2.75);($6.68);0.0;
25;MacdPerfect(BUY);Buy to Open;10.0;$172.74;10/20/20, 1:20 PM;;($5.13);10.0;
26;MacdPerfect(SELL);Sell to Close;-10.0;$172.89;10/20/20, 1:40 PM;$1.53;($5.15);0.0;
27;MacdPerfect(BUY);Buy to Open;10.0;$171.67;10/21/20, 10:10 AM;;($6.00);10.0;
28;MacdPerfect(SELL);Sell to Close;-10.0;$171.28;10/21/20, 10:20 AM;($3.90);($9.05);0.0;
29;MacdPerfect(BUY);Buy to Open;10.0;$169.41;10/22/20, 11:50 AM;;($9.85);10.0;
30;MacdPerfect(SELL);Sell to Close;-10.0;$169.37;10/22/20, 11:55 AM;($0.40);($9.45);0.0;
31;MacdPerfect(BUY);Buy to Open;10.0;$169.49;10/22/20, 12:15 PM;;($9.60);10.0;
32;MacdPerfect(SELL);Sell to Close;-10.0;$169.76;10/22/20, 12:55 PM;$2.70;($6.75);0.0;
33;MacdPerfect(BUY);Buy to Open;10.0;$170.33;10/22/20, 1:15 PM;;($7.46);10.0;
