Strategy report
Symbol: MSFT
Work Time: 11/2/20, 9:35 AM - 7/14/21, 10:20 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$203.96;11/2/20, 9:35 AM;;$0.89;1.0;
2;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$204.46;11/2/20, 10:00 AM;$0.50;$0.50;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$203.37;11/3/20, 9:35 AM;;$1.10;1.0;
4;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$207.62;11/3/20, 10:30 AM;$4.25;$4.75;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$215.00;11/4/20, 9:35 AM;;$2.85;1.0;
6;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$214.78;11/4/20, 10:05 AM;($0.22);$4.53;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$223.12;11/5/20, 9:40 AM;;$3.51;1.0;
8;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$223.29;11/5/20, 10:05 AM;$0.17;$4.70;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$223.91;11/9/20, 9:35 AM;;$5.08;1.0;
10;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$226.90;11/9/20, 10:25 AM;$2.99;$7.69;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$215.25;11/11/20, 9:45 AM;;$7.95;1.0;
12;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$215.60;11/11/20, 10:05 AM;$0.35;$8.04;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$218.55;11/12/20, 9:40 AM;;$7.82;1.0;
14;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$218.44;11/12/20, 10:10 AM;($0.11);$7.93;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$216.52;11/13/20, 9:40 AM;;$7.66;1.0;
16;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$215.69;11/13/20, 9:55 AM;($0.82);$7.11;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$217.51;11/17/20, 9:35 AM;;$6.58;1.0;
18;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$216.78;11/17/20, 9:45 AM;($0.73);$6.38;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$211.25;11/19/20, 9:45 AM;;$6.90;1.0;
20;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$211.02;11/19/20, 10:20 AM;($0.23);$6.15;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$211.62;11/23/20, 9:35 AM;;$6.18;1.0;
22;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$211.39;11/23/20, 10:05 AM;($0.23);$5.92;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$214.33;11/25/20, 9:35 AM;;$6.04;1.0;
24;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$214.32;11/25/20, 9:55 AM;($0.01);$5.91;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$214.68;11/27/20, 9:40 AM;;$5.68;1.0;
26;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$215.74;11/27/20, 10:45 AM;$1.06;$6.97;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$214.19;12/1/20, 9:35 AM;;$6.37;1.0;
28;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$213.96;12/1/20, 9:55 AM;($0.23);$6.74;0.0;
29;AAA_ExpAvg;Buy to Open;1.0;$214.55;12/4/20, 9:45 AM;;$7.13;1.0;
30;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$215.13;12/4/20, 10:20 AM;$0.58;$7.32;0.0;
31;AAA_ExpAvg;Buy to Open;1.0;$214.85;12/7/20, 9:35 AM;;$7.79;1.0;
32;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$214.76;12/7/20, 9:55 AM;($0.09);$7.23;0.0;
33;AAA_ExpAvg;Buy to Open;1.0;$212.24;12/10/20, 9:40 AM;;$7.40;1.0;
34;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$212.38;12/10/20, 10:15 AM;$0.14;$7.37;0.0;
35;AAA_ExpAvg;Buy to Open;1.0;$213.48;12/14/20, 9:35 AM;;$7.91;1.0;
36;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$214.98;12/14/20, 10:05 AM;$1.50;$8.87;0.0;
37;AAA_ExpAvg;Buy to Open;1.0;$215.16;12/16/20, 9:35 AM;;$8.68;1.0;
38;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$216.31;12/16/20, 10:10 AM;$1.15;$10.02;0.0;
39;AAA_ExpAvg;Buy to Open;1.0;$220.66;12/17/20, 9:35 AM;;$9.89;1.0;
40;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$219.74;12/17/20, 9:50 AM;($0.92);$9.10;0.0;
41;AAA_ExpAvg;Buy to Open;1.0;$219.13;12/21/20, 9:35 AM;;$9.96;1.0;
42;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$218.31;12/21/20, 9:50 AM;($0.82);$8.28;0.0;
43;AAA_ExpAvg;Buy to Open;1.0;$223.57;12/22/20, 9:40 AM;;$9.79;1.0;
44;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$224.35;12/22/20, 10:10 AM;$0.78;$9.06;0.0;
45;AAA_ExpAvg;Buy to Open;1.0;$222.71;12/24/20, 9:35 AM;;$9.20;1.0;
46;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$222.61;12/24/20, 10:10 AM;($0.10);$8.96;0.0;
47;AAA_ExpAvg;Buy to Open;1.0;$224.02;12/28/20, 9:35 AM;;$8.82;1.0;
48;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$223.75;12/28/20, 10:00 AM;($0.27);$8.69;0.0;
49;AAA_ExpAvg;Buy to Open;1.0;$226.42;12/29/20, 9:35 AM;;$9.33;1.0;
50;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$225.79;12/29/20, 10:00 AM;($0.63);$8.06;0.0;
51;AAA_ExpAvg;Buy to Open;1.0;$214.90;1/7/21, 9:35 AM;;$8.62;1.0;
52;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$217.57;1/7/21, 10:10 AM;$2.67;$10.73;0.0;
53;AAA_ExpAvg;Buy to Open;1.0;$219.83;1/8/21, 9:40 AM;;$11.06;1.0;
54;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$219.49;1/8/21, 10:10 AM;($0.34);$10.39;0.0;
55;AAA_ExpAvg;Buy to Open;1.0;$214.47;1/19/21, 9:35 AM;;$9.45;1.0;
56;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$213.74;1/19/21, 10:25 AM;($0.73);$9.66;0.0;
57;AAA_ExpAvg;Buy to Open;1.0;$218.76;1/20/21, 9:35 AM;;$11.11;1.0;
58;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$222.56;1/20/21, 10:10 AM;$3.80;$13.46;0.0;
59;AAA_ExpAvg;Buy to Open;1.0;$227.70;1/22/21, 9:35 AM;;$13.24;1.0;
60;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$229.79;1/22/21, 10:10 AM;$2.09;$15.55;0.0;
61;AAA_ExpAvg;Buy to Open;1.0;$229.47;1/25/21, 9:35 AM;;$15.01;1.0;
62;AAA_ExpAvg(,5,MSFT,9,9,10,1,);Sell to Close;-1.0;$227.48;1/25/21, 9:55 AM;($1.99);$13.56;0.0;
63;AAA_ExpAvg;Buy to Open;1.0;$232.78;1/26/21, 9:35 AM;;$11.86;1.0;
