Strategy report
Symbol: QQQ
Work Time: 11/2/20, 9:35 AM - 7/14/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$271.45;11/2/20, 9:35 AM;;$0.93;1.0;
2;AAA_ExpAvg(,5,QQQ,9,9,10,1,);Sell to Close;-1.0;$272.57;11/2/20, 10:05 AM;$1.12;$1.12;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$271.04;11/3/20, 9:35 AM;;$1.44;1.0;
4;AAA_ExpAvg(,5,QQQ,9,9,10,1,);Sell to Close;-1.0;$275.72;11/3/20, 10:30 AM;$4.68;$5.80;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$284.35;11/4/20, 9:35 AM;;$3.87;1.0;
6;AAA_ExpAvg(,5,QQQ,9,9,10,1,);Sell to Close;-1.0;$285.08;11/4/20, 10:05 AM;$0.73;$6.53;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$292.56;11/5/20, 9:35 AM;;$7.73;1.0;
8;AAA_ExpAvg(,5,QQQ,9,9,10,1,);Sell to Close;-1.0;$294.95;11/5/20, 10:05 AM;$2.39;$8.92;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$294.96;11/9/20, 9:35 AM;;$9.30;1.0;
10;AAA_ExpAvg(,5,QQQ,9,9,10,1,);Sell to Close;-1.0;$298.73;11/9/20, 10:35 AM;$3.77;$12.69;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$288.38;11/11/20, 9:45 AM;;$12.51;1.0;
12;AAA_ExpAvg(,5,QQQ,9,9,10,1,);Sell to Close;-1.0;$287.60;11/11/20, 10:05 AM;($0.78);$11.91;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$290.82;11/12/20, 9:35 AM;;$12.67;1.0;
14;AAA_ExpAvg(,5,QQQ,9,9,10,1,);Sell to Close;-1.0;$290.94;11/12/20, 9:55 AM;$0.12;$12.03;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$289.99;11/13/20, 9:35 AM;;$12.58;1.0;
16;AAA_ExpAvg(,5,QQQ,9,9,10,1,);Sell to Close;-1.0;$289.82;11/13/20, 10:00 AM;($0.17);$11.86;0.0;
