Strategy report
Symbol: QQQ
Work Time: 10/28/20, 3:25 PM - 7/14/21, 3:15 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_ExpAvg;Buy to Open;1.0;$274.43;10/28/20, 3:25 PM;;($0.23);1.0;
2;AAA_ExpAvg(,5,QQQ,9,9,360,1,);Sell to Close;-1.0;$274.88;10/28/20, 3:35 PM;$0.45;$0.45;0.0;
3;AAA_ExpAvg;Buy to Open;1.0;$274.74;10/29/20, 10:00 AM;;$1.00;1.0;
4;AAA_ExpAvg(,5,QQQ,9,9,360,1,);Sell to Close;-1.0;$275.63;10/29/20, 10:30 AM;$0.89;$1.34;0.0;
5;AAA_ExpAvg;Buy to Open;1.0;$276.10;10/29/20, 11:35 AM;;$1.43;1.0;
6;AAA_ExpAvg(,5,QQQ,9,9,360,1,);Sell to Close;-1.0;$276.15;10/29/20, 11:40 AM;$0.05;$1.39;0.0;
7;AAA_ExpAvg;Buy to Open;1.0;$275.62;10/29/20, 12:15 PM;;$1.69;1.0;
8;AAA_ExpAvg(,5,QQQ,9,9,360,1,);Sell to Close;-1.0;$276.18;10/29/20, 12:55 PM;$0.56;$1.95;0.0;
9;AAA_ExpAvg;Buy to Open;1.0;$276.13;10/29/20, 1:00 PM;;$2.19;1.0;
10;AAA_ExpAvg(,5,QQQ,9,9,360,1,);Sell to Close;-1.0;$276.39;10/29/20, 1:05 PM;$0.26;$2.21;0.0;
11;AAA_ExpAvg;Buy to Open;1.0;$276.77;10/29/20, 1:25 PM;;$2.62;1.0;
12;AAA_ExpAvg(,5,QQQ,9,9,360,1,);Sell to Close;-1.0;$277.70;10/29/20, 2:00 PM;$0.93;$3.14;0.0;
13;AAA_ExpAvg;Buy to Open;1.0;$278.09;10/29/20, 2:10 PM;;$3.29;1.0;
14;AAA_ExpAvg(,5,QQQ,9,9,360,1,);Sell to Close;-1.0;$278.84;10/29/20, 2:40 PM;$0.75;$3.89;0.0;
15;AAA_ExpAvg;Buy to Open;1.0;$271.45;11/2/20, 9:35 AM;;$4.82;1.0;
16;AAA_ExpAvg(,5,QQQ,9,9,360,1,);Sell to Close;-1.0;$272.57;11/2/20, 10:05 AM;$1.12;$5.01;0.0;
17;AAA_ExpAvg;Buy to Open;1.0;$270.70;11/2/20, 11:45 AM;;$5.03;1.0;
18;AAA_ExpAvg(,5,QQQ,9,9,360,1,);Sell to Close;-1.0;$270.00;11/2/20, 12:15 PM;($0.70);$4.31;0.0;
19;AAA_ExpAvg;Buy to Open;1.0;$269.00;11/2/20, 3:15 PM;;$4.74;1.0;
20;AAA_ExpAvg(,5,QQQ,9,9,360,1,);Sell to Close;-1.0;$268.79;11/2/20, 3:35 PM;($0.21);$4.10;0.0;
21;AAA_ExpAvg;Buy to Open;1.0;$271.04;11/3/20, 9:35 AM;;$4.41;1.0;
22;AAA_ExpAvg(,5,QQQ,9,9,360,1,);Sell to Close;-1.0;$275.72;11/3/20, 10:30 AM;$4.68;$8.78;0.0;
23;AAA_ExpAvg;Buy to Open;1.0;$276.23;11/3/20, 12:30 PM;;$8.64;1.0;
24;AAA_ExpAvg(,5,QQQ,9,9,360,1,);Sell to Close;-1.0;$276.03;11/3/20, 12:50 PM;($0.20);$8.58;0.0;
25;AAA_ExpAvg;Buy to Open;1.0;$274.68;11/3/20, 2:15 PM;;$8.59;1.0;
26;AAA_ExpAvg(,5,QQQ,9,9,360,1,);Sell to Close;-1.0;$275.05;11/3/20, 3:00 PM;$0.37;$8.95;0.0;
27;AAA_ExpAvg;Buy to Open;1.0;$275.94;11/3/20, 3:35 PM;;$8.96;1.0;
28;AAA_ExpAvg(,5,QQQ,9,9,360,1,);Sell to Close;-1.0;$276.19;11/3/20, 3:55 PM;$0.25;$9.20;0.0;
